Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,45.27,45.55,45.14,45.16,34.76,609300
2010-01-04,45.57,46.07,45.38,45.92,35.35,1302400
2010-01-05,45.89,45.89,45.12,45.37,34.93,1011900
2010-01-06,45.49,45.69,45.12,45.32,34.89,729200
2010-01-07,45.2,45.2,44.48,44.56,34.3,1242500
2010-01-08,44.46,44.58,44.16,44.5,34.26,1128000
2010-01-11,44.72,45.15,44.55,45.01,34.65,816200
2010-01-12,44.94,45.3,44.65,45.17,34.77,702800
2010-01-13,45.12,45.58,44.82,45.35,34.91,725100
2010-01-14,45.23,45.72,45.22,45.59,35.09,830500
2010-01-15,45.42,45.88,45.09,45.18,34.78,1120900
2010-01-19,44.98,45.1,44.23,44.58,34.32,1823300
2010-01-20,44.24,44.36,43.27,43.76,33.69,1385000
2010-01-21,43.86,44.2,43.25,43.36,33.38,1391100
2010-01-22,43.38,43.69,43.0,43.02,33.12,890700
2010-01-25,43.32,43.38,42.76,42.8,32.95,915900
2010-01-26,42.59,43.1,42.38,42.91,33.03,1077100
2010-01-27,42.91,43.0,42.58,42.88,33.01,1021600
2010-01-28,42.93,43.03,42.41,42.46,32.69,676500
2010-01-29,42.52,42.65,41.86,42.0,32.33,1369100
2010-02-01,42.15,42.71,42.08,42.5,32.72,1017200
2010-02-02,42.45,42.54,42.0,42.35,32.6,1387400
2010-02-03,42.2,42.72,42.08,42.65,32.83,909300
2010-02-04,42.42,42.46,40.38,40.43,31.12,2138200
2010-02-05,40.59,41.38,40.43,41.22,31.73,1714900
2010-02-08,41.22,41.81,41.1,41.31,31.8,1213800
2010-02-09,41.51,41.63,39.76,39.98,30.78,3747400
2010-02-10,40.11,40.42,38.87,39.0,30.02,2462600
2010-02-11,38.96,39.51,38.44,39.44,30.36,3022400
2010-02-12,39.2,39.2,38.6,38.9,29.94,2394500
2010-02-16,39.08,39.96,38.89,39.88,30.7,2199600
2010-02-17,40.1,40.63,39.97,40.47,31.15,1843600
2010-02-18,40.33,40.84,40.25,40.64,31.28,1567300
2010-02-19,40.62,41.47,40.45,41.11,31.65,1653700
2010-02-22,40.94,41.58,40.72,41.35,31.83,1354800
2010-02-23,41.29,41.34,40.61,40.86,31.45,1269400
2010-02-24,40.8,41.09,40.53,40.98,31.73,1053700
2010-02-25,40.52,40.88,40.16,40.85,31.63,1393200
2010-02-26,40.9,40.9,40.02,40.38,31.27,1893500
2010-03-01,40.53,41.08,40.26,41.08,31.81,1190200
2010-03-02,41.21,41.49,40.96,41.07,31.8,1285900
2010-03-03,41.18,41.41,40.95,41.32,32.0,2124200
2010-03-04,41.51,42.22,41.4,42.18,32.66,1604200
2010-03-05,42.46,42.81,42.24,42.81,33.15,1705500
2010-03-08,42.72,42.92,42.23,42.69,33.06,1260800
2010-03-09,42.55,43.06,42.39,42.94,33.25,2591900
2010-03-10,43.01,43.12,42.62,43.01,33.3,1335300
2010-03-11,43.0,43.14,42.6,43.13,33.4,787300
2010-03-12,43.23,43.23,42.88,43.15,33.41,742400
2010-03-15,43.15,43.28,42.99,43.13,33.4,924900
2010-03-16,43.09,43.41,43.06,43.34,33.56,1198300
2010-03-17,43.38,43.61,43.31,43.46,33.65,1141000
2010-03-18,43.5,43.75,43.27,43.32,33.54,1116500
2010-03-19,43.36,43.69,43.05,43.36,33.58,1417800
2010-03-22,43.2,43.37,43.01,43.15,33.41,1183900
2010-03-23,43.13,43.33,42.81,43.0,33.3,1196000
2010-03-24,42.97,42.97,42.68,42.8,33.14,1253000
2010-03-25,43.34,43.58,42.49,42.66,33.03,2015400
2010-03-26,42.67,42.9,42.47,42.61,32.99,1554400
2010-03-29,42.1,42.21,41.59,41.73,32.31,2119100
2010-03-30,41.85,42.43,41.85,42.13,32.62,1442800
2010-03-31,42.12,42.26,41.93,42.06,32.57,1057600
2010-04-01,42.32,43.15,42.32,43.1,33.37,2196400
2010-04-05,43.28,43.4,42.94,43.17,33.43,872200
2010-04-06,42.95,43.02,42.63,42.89,33.21,991900
2010-04-07,42.88,43.12,42.78,42.92,33.23,1355900
2010-04-08,42.92,43.11,42.7,43.05,33.34,910800
2010-04-09,43.08,43.63,43.04,43.58,33.75,781500
2010-04-12,43.65,44.14,43.57,44.01,34.08,1689900
2010-04-13,43.87,44.78,43.75,44.57,34.51,2151300
2010-04-14,44.59,44.74,44.29,44.56,34.5,1258300
2010-04-15,44.4,44.55,44.03,44.46,34.43,1120200
2010-04-16,44.42,44.48,43.67,43.98,34.06,1230200
2010-04-19,43.84,44.21,43.38,43.76,33.88,1169800
2010-04-20,43.88,44.14,43.78,44.09,34.14,857800
2010-04-21,44.06,44.16,43.91,43.98,34.06,530700
2010-04-22,43.84,44.08,43.63,44.01,34.08,755000
2010-04-23,43.9,44.14,43.56,44.14,34.18,754100
2010-04-26,44.16,44.5,43.98,44.01,34.08,833700
2010-04-27,43.95,44.0,42.87,42.95,33.26,986500
2010-04-28,43.02,43.12,42.53,42.87,33.2,1696200
2010-04-29,43.19,44.91,43.19,44.65,34.57,2247200
2010-04-30,44.56,45.0,44.33,44.36,34.35,1209000
2010-05-03,44.55,44.99,44.35,44.54,34.49,1501900
2010-05-04,43.82,44.55,43.18,44.13,34.17,1764000
2010-05-05,43.67,44.14,43.22,43.41,33.61,1749800
2010-05-06,43.44,43.44,40.75,42.8,33.14,2576500
2010-05-07,42.77,42.79,41.56,41.96,32.49,3537800
2010-05-10,43.5,43.56,42.82,42.9,33.22,2196200
2010-05-11,42.58,42.96,42.16,42.19,32.67,2526800
2010-05-12,42.35,42.63,42.09,42.46,32.88,2167200
2010-05-13,42.5,43.44,42.48,42.97,33.27,1119700
2010-05-14,42.89,43.44,42.49,42.7,33.06,1753500
2010-05-17,42.66,43.09,42.49,42.95,33.26,1323200
2010-05-18,43.41,44.15,43.41,43.6,33.76,1820800
2010-05-19,43.46,43.63,42.9,43.11,33.38,1767300
2010-05-20,42.63,42.63,41.33,41.33,32.0,2222000
2010-05-21,40.85,41.89,40.65,41.89,32.44,2283900
2010-05-24,41.69,41.9,41.22,41.53,32.16,1321300
2010-05-25,40.76,40.77,39.89,40.75,31.55,2550600
2010-05-26,40.46,41.07,40.07,40.15,31.3,2771000
2010-05-27,40.61,40.97,40.3,40.59,31.65,3186900
2010-05-28,40.58,41.42,40.48,41.04,32.0,2202800
2010-06-01,40.55,41.21,40.35,40.47,31.55,1359300
2010-06-02,40.66,41.7,40.46,41.7,32.51,1494900
2010-06-03,41.62,42.12,41.39,42.11,32.83,1751300
2010-06-04,41.43,41.95,41.13,41.64,32.47,3803700
2010-06-07,41.86,42.66,41.7,42.22,32.92,3029900
2010-06-08,42.16,42.98,42.07,42.95,33.49,2733400
2010-06-09,43.17,43.7,42.93,43.15,33.64,1622900
2010-06-10,43.61,44.16,43.53,43.93,34.25,1205200
2010-06-11,43.55,43.68,43.15,43.68,34.06,1377400
2010-06-14,43.87,44.22,43.74,44.01,34.31,1113900
2010-06-15,44.15,44.35,43.89,44.34,34.57,1361400
2010-06-16,44.23,44.54,44.16,44.37,34.59,794200
2010-06-17,44.41,44.45,44.02,44.35,34.58,655400
2010-06-18,44.45,44.7,44.2,44.55,34.74,1148800
2010-06-21,44.9,44.95,43.77,43.99,34.3,927200
2010-06-22,43.98,44.7,43.98,44.13,34.41,1036900
2010-06-23,44.09,44.25,43.61,44.16,34.43,949800
2010-06-24,44.06,44.28,43.7,43.89,34.22,887600
2010-06-25,43.81,43.89,43.14,43.4,33.84,1377600
2010-06-28,43.38,43.79,43.13,43.61,34.0,1195300
2010-06-29,43.29,43.66,42.55,42.82,33.39,1271800
2010-06-30,42.82,43.02,42.25,42.36,33.03,1073400
2010-07-01,42.49,42.82,41.88,42.69,33.29,1281700
2010-07-02,42.69,42.77,42.1,42.18,32.89,993900
