Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,24.62,24.96,24.43,24.55,19.43,1606500
2010-01-04,24.82,25.03,24.58,25.03,19.81,1793700
2010-01-05,24.96,25.01,24.5,24.66,19.52,1843000
2010-01-06,24.66,25.36,24.51,25.16,19.92,2189300
2010-01-07,25.06,25.16,24.63,24.69,19.54,1736800
2010-01-08,24.66,25.05,24.64,25.0,19.79,1137300
2010-01-11,25.03,25.03,24.52,24.78,19.61,1143900
2010-01-12,24.54,24.91,24.4,24.74,19.58,1547500
2010-01-13,24.77,25.76,24.55,25.52,20.2,2678700
2010-01-14,25.51,25.72,25.38,25.66,20.31,2028700
2010-01-15,25.65,25.65,25.02,25.24,19.98,1734000
2010-01-19,25.13,25.46,25.07,25.46,20.15,1196300
2010-01-20,25.25,25.62,25.08,25.56,20.23,2032900
2010-01-21,25.61,26.24,25.48,25.8,20.42,2429600
2010-01-22,25.61,25.72,24.96,24.98,19.77,2673200
2010-01-25,25.31,25.49,25.05,25.09,19.86,2081100
2010-01-26,25.1,25.48,24.51,25.37,20.08,3496300
2010-01-27,26.1,26.35,24.89,25.75,20.38,5674500
2010-01-28,26.08,26.36,24.97,25.27,20.0,2348500
2010-01-29,25.36,25.38,24.76,24.88,19.69,4299600
2010-02-01,25.11,25.61,24.99,25.53,20.21,2332800
2010-02-02,25.66,26.14,25.58,25.67,20.32,3865500
2010-02-03,25.61,25.77,25.29,25.44,20.14,3082600
2010-02-04,25.2,25.29,24.73,24.79,19.62,4079700
2010-02-05,24.88,24.95,24.18,24.6,19.47,3618200
2010-02-08,24.66,24.98,24.13,24.68,19.54,3492100
2010-02-09,24.94,25.13,24.86,24.89,19.7,4447800
2010-02-10,24.98,25.1,24.59,24.69,19.54,3336800
2010-02-11,24.53,25.19,24.29,25.13,19.89,3501000
2010-02-12,24.84,25.3,24.52,25.3,20.03,2134600
2010-02-16,25.36,25.89,25.36,25.82,20.44,1960800
2010-02-17,25.92,26.29,25.7,26.21,20.75,1623300
2010-02-18,26.12,26.36,25.96,26.17,20.71,2548100
2010-02-19,26.02,26.73,26.01,26.4,20.9,2279200
2010-02-22,26.4,26.52,26.15,26.17,20.71,1657400
2010-02-23,26.15,26.2,25.54,25.63,20.29,1569500
2010-02-24,25.74,26.38,25.62,26.33,20.84,1967000
2010-02-25,25.94,25.99,25.56,25.74,20.37,2227400
