Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,10.75,10.92,10.7,10.73,10.08,2510700
2010-01-04,10.86,11.07,10.86,10.96,10.29,5172900
2010-01-05,10.91,11.22,10.82,11.0,10.33,6131900
2010-01-06,10.91,11.14,10.85,10.9,10.24,5843800
2010-01-07,10.8,10.98,10.76,10.96,10.29,4347200
2010-01-08,10.87,11.08,10.87,11.08,10.41,4084500
2010-01-11,11.41,11.54,11.27,11.52,10.82,7892800
2010-01-12,11.54,11.57,10.99,11.06,10.39,5991400
2010-01-13,11.2,11.28,10.73,10.91,10.25,6349700
2010-01-14,10.82,10.97,10.62,10.8,10.14,5130900
2010-01-15,10.8,10.87,10.23,10.33,9.7,5314700
2010-01-19,10.4,10.58,10.27,10.56,9.92,5055300
2010-01-20,10.41,10.48,10.27,10.4,9.77,6742500
2010-01-21,10.39,10.67,10.2,10.43,9.8,7504500
2010-01-22,10.35,10.35,9.72,9.76,9.17,6836600
2010-01-25,9.85,10.11,9.78,9.91,9.31,3992700
2010-01-26,9.88,10.25,9.79,10.12,9.51,6601200
2010-01-27,10.11,10.3,9.91,10.26,9.64,6750500
2010-01-28,10.78,10.78,9.26,9.49,8.91,15228400
2010-01-29,9.74,9.94,9.23,9.34,8.77,9828100
2010-02-01,9.36,9.69,9.34,9.64,9.05,7691500
2010-02-02,9.67,10.0,9.59,9.8,9.2,5874400
2010-02-03,9.8,9.94,9.56,9.62,9.04,4865900
2010-02-04,9.56,9.56,8.98,9.07,8.52,8511400
2010-02-05,9.07,9.35,8.95,9.3,8.74,7401200
2010-02-08,9.29,9.55,9.2,9.25,8.69,4570000
2010-02-09,9.5,9.53,9.2,9.32,8.75,6137400
2010-02-10,9.3,9.44,9.18,9.36,8.79,4853600
2010-02-11,9.32,9.76,9.27,9.72,9.13,4922500
2010-02-12,9.59,9.95,9.45,9.81,9.21,4757300
2010-02-16,9.86,10.15,9.84,10.12,9.51,3847400
2010-02-17,10.13,10.2,9.95,10.0,9.39,2417400
2010-02-18,9.91,10.01,9.85,9.97,9.36,3525600
2010-02-19,9.91,10.11,9.84,10.07,9.46,3482300
2010-02-22,10.12,10.16,9.97,10.04,9.43,2293400
2010-02-23,10.04,10.04,9.54,9.64,9.05,4057900
2010-02-24,9.68,10.07,9.61,9.98,9.37,4306700
2010-02-25,9.75,10.04,9.63,10.03,9.42,4439000
2010-02-26,10.09,10.09,9.78,9.99,9.38,4775800
2010-03-01,10.05,10.41,10.05,10.39,9.76,4227300
2010-03-02,10.34,10.67,10.34,10.59,9.95,6375700
2010-03-03,10.67,10.74,10.47,10.52,9.88,4719900
2010-03-04,10.62,10.64,10.33,10.56,9.92,4797100
2010-03-05,10.64,10.84,10.51,10.7,10.05,3330200
2010-03-08,10.7,10.75,10.58,10.63,9.98,2809300
2010-03-09,10.53,10.85,10.5,10.81,10.15,6680600
2010-03-10,10.75,11.0,10.75,10.89,10.23,3948300
2010-03-11,10.85,10.85,10.6,10.66,10.01,6256200
