Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,25.49,25.7,25.37,25.37,18.32,2344700
2010-01-04,25.69,25.87,25.4,25.81,18.63,4550800
2010-01-05,25.71,26.22,25.59,26.18,18.9,7023400
2010-01-06,25.95,26.91,25.95,26.58,19.3,7824000
2010-01-07,26.53,27.96,26.42,27.65,20.08,9981500
2010-01-08,27.52,27.8,26.98,27.34,19.85,5948300
2010-01-11,27.54,27.54,27.0,27.34,19.85,4074200
2010-01-12,27.14,27.8,27.14,27.43,19.92,8415800
2010-01-13,27.41,28.0,27.34,27.9,20.26,5030400
2010-01-14,27.75,28.64,27.75,28.52,20.71,5784200
2010-01-15,28.29,28.38,27.63,27.76,20.16,7970000
2010-01-19,27.59,28.19,27.5,28.17,20.45,6210700
2010-01-20,27.98,28.63,27.75,28.5,20.69,6385100
2010-01-21,28.5,29.85,28.5,29.08,21.11,18024900
2010-01-22,28.99,29.28,27.29,28.15,20.44,16433600
2010-01-25,28.39,28.67,27.34,27.57,20.02,11303800
2010-01-26,27.39,27.76,26.72,26.8,19.46,10534100
2010-01-27,27.08,28.45,27.0,28.28,20.53,12624400
2010-01-28,28.28,28.79,28.05,28.32,20.56,11803700
2010-01-29,28.36,28.5,27.8,27.87,20.24,7489100
2010-02-01,28.0,28.32,27.85,28.22,20.49,6697800
2010-02-02,28.25,28.5,27.94,28.42,20.64,8551200
2010-02-03,28.25,28.34,27.61,27.8,20.19,7098300
2010-02-04,27.59,27.84,26.82,26.93,19.55,9222500
2010-02-05,27.03,27.77,26.76,27.51,19.97,8191000
2010-02-08,27.5,27.8,27.11,27.13,19.7,5785400
2010-02-09,27.37,27.61,26.94,27.2,19.75,6255300
2010-02-10,27.18,27.74,27.09,27.37,19.87,4674400
2010-02-11,27.48,27.48,27.07,27.19,19.74,4456000
2010-02-12,27.0,27.22,26.61,26.92,19.55,6218400
2010-02-16,27.14,27.43,26.88,27.41,19.9,5202500
2010-02-17,27.35,27.47,27.05,27.22,19.76,4871200
2010-02-18,27.06,27.39,27.05,27.25,19.79,3649800
2010-02-19,27.11,27.45,27.1,27.31,19.83,4684500
2010-02-22,27.34,28.41,27.2,28.21,20.48,7221700
2010-02-23,28.07,28.34,27.62,27.75,20.15,6083700
2010-02-24,27.83,28.69,27.76,28.48,20.68,6612000
2010-02-25,28.15,28.27,27.86,28.23,20.5,5600100
2010-02-26,28.22,28.63,27.99,28.53,20.72,5643900
2010-03-01,28.55,28.59,27.59,27.8,20.19,7718200
2010-03-02,27.9,28.08,27.75,27.81,20.19,4871400
2010-03-03,27.72,27.98,27.35,27.38,19.88,6655800
2010-03-04,27.88,28.12,27.61,27.81,20.19,6131300
2010-03-05,28.03,28.64,27.97,28.53,20.72,6500900
2010-03-08,28.51,28.82,28.4,28.71,20.85,4245200
2010-03-09,28.54,29.01,28.3,28.82,20.93,4891000
2010-03-10,28.85,29.75,28.81,29.63,21.51,8718200
2010-03-11,29.52,30.46,29.52,30.42,22.09,10564100
2010-03-12,30.42,30.95,30.39,30.7,22.29,8331800
2010-03-15,30.61,30.87,30.51,30.78,22.35,6248600
2010-03-16,30.84,31.69,30.76,31.59,22.94,8346500
2010-03-17,31.65,32.18,31.59,32.16,23.35,8175400
2010-03-18,32.0,32.39,31.72,31.91,23.17,8593100
2010-03-19,31.85,32.31,31.6,31.85,23.13,7386400
2010-03-22,31.57,32.09,31.44,32.0,23.23,4084400
2010-03-23,32.0,32.14,31.54,32.1,23.31,4567900
2010-03-24,31.95,32.42,31.92,32.12,23.32,5057300
2010-03-25,32.37,32.93,32.26,32.29,23.45,5651100
2010-03-26,32.32,32.84,31.94,32.25,23.42,6044900
2010-03-29,32.4,32.57,32.01,32.2,23.38,4444000
2010-03-30,32.23,32.36,31.82,31.97,23.21,4840200
2010-03-31,31.88,32.68,31.84,32.39,23.52,5135800
2010-04-01,32.62,32.73,32.17,32.47,23.58,4347800
2010-04-05,32.6,32.92,32.41,32.92,23.9,4836600
2010-04-06,32.85,33.72,32.68,33.53,24.35,5037100
2010-04-07,33.61,33.75,32.93,33.22,24.23,5566500
2010-04-08,33.06,33.9,33.03,33.68,24.56,6136000
2010-04-09,33.81,33.96,33.51,33.85,24.69,4564100
2010-04-12,33.86,34.27,33.81,34.05,24.83,4176900
2010-04-13,33.91,33.91,33.08,33.51,24.44,6632600
2010-04-14,33.87,34.63,33.79,34.55,25.2,6119400
2010-04-15,34.31,34.62,34.05,34.18,24.93,5090100
2010-04-16,34.09,34.19,32.68,33.76,24.62,13102600
2010-04-19,33.46,34.22,33.18,34.01,24.8,7595000
2010-04-20,34.26,34.56,33.94,34.56,25.21,6253800
2010-04-21,34.54,35.4,34.51,35.11,25.61,7761600
2010-04-22,33.5,34.36,33.01,34.34,25.05,11664300
2010-04-23,34.21,34.55,33.59,34.28,25.0,6454400
2010-04-26,34.39,34.7,33.2,33.33,24.31,7656500
2010-04-27,33.18,33.55,32.51,32.56,23.75,9164700
2010-04-28,32.98,33.38,32.55,32.7,23.85,7252000
2010-04-29,32.96,33.79,32.89,33.52,24.45,4931000
2010-04-30,33.36,33.88,33.2,33.24,24.24,6080200
2010-05-03,33.57,34.28,33.53,34.17,24.92,6100700
2010-05-04,33.81,34.05,33.26,33.54,24.46,7623000
2010-05-05,33.11,33.81,32.82,33.2,24.21,5896600
2010-05-06,33.02,33.46,30.64,32.22,23.5,11629600
2010-05-07,31.98,32.92,31.46,32.24,23.51,12374500
2010-05-10,33.04,34.38,33.01,34.02,24.81,7562800
2010-05-11,33.51,35.16,33.51,34.82,25.4,9214500
2010-05-12,35.04,35.72,34.76,35.61,25.97,8132400
2010-05-13,35.54,35.72,35.17,35.17,25.65,7072600
2010-05-14,34.88,34.94,33.33,34.05,24.83,9485700
2010-05-17,34.1,34.38,32.98,33.73,24.6,7764000
2010-05-18,33.62,33.81,32.22,32.54,23.73,9486300
2010-05-19,32.28,33.02,31.74,32.29,23.55,8338600
2010-05-20,31.53,31.76,30.42,30.42,22.19,12060500
2010-05-21,29.88,31.38,29.6,31.36,22.87,9177500
2010-05-24,31.2,31.27,30.02,30.1,21.95,6273300
2010-05-25,29.42,30.53,29.05,30.52,22.26,9126100
2010-05-26,30.93,31.01,29.93,30.12,21.97,6021900
2010-05-27,30.73,31.12,30.31,31.08,22.67,5683000
2010-05-28,31.04,31.2,30.07,30.24,22.06,5925200
2010-06-01,29.93,30.56,29.71,29.77,21.71,5706700
2010-06-02,30.05,30.77,29.84,30.73,22.41,6325900
2010-06-03,30.75,30.98,30.23,30.46,22.22,4332400
2010-06-04,29.76,29.99,29.09,29.23,21.32,7401200
2010-06-07,29.33,29.59,28.82,28.84,21.03,6807900
2010-06-08,29.0,29.29,28.37,28.98,21.14,11840900
2010-06-09,29.24,29.44,28.63,28.71,20.94,8001000
2010-06-10,29.26,30.18,29.16,30.13,21.98,8084600
2010-06-11,29.86,30.24,29.56,30.21,22.03,5491300
2010-06-14,30.4,30.48,29.77,29.8,21.73,5498100
2010-06-15,29.92,30.38,29.58,30.35,22.14,6101700
2010-06-16,30.12,30.45,30.03,30.3,22.1,4679700
2010-06-17,30.36,30.42,29.46,29.72,21.68,7121300
2010-06-18,29.85,29.93,29.44,29.57,21.57,8122800
2010-06-21,29.82,29.98,29.27,29.43,21.46,5587300
2010-06-22,29.35,29.62,29.01,29.06,21.19,5931000
2010-06-23,29.07,29.46,28.63,28.82,21.02,6151000
2010-06-24,28.52,28.77,27.96,28.17,20.55,7025100
2010-06-25,28.27,28.95,28.21,28.76,20.98,7580800
2010-06-28,28.74,28.91,28.34,28.53,20.81,3896700
2010-06-29,27.97,28.35,27.16,27.28,19.9,11054000
2010-06-30,27.09,27.62,26.18,26.31,19.19,14821500
2010-07-01,26.36,27.03,25.66,26.43,19.28,13406300
2010-07-02,26.56,26.74,25.76,26.02,18.98,6214300
2010-07-06,26.56,26.97,26.15,26.53,19.35,6621900
2010-07-07,26.66,27.38,26.26,27.35,20.06,8972500
2010-07-08,27.55,27.8,27.08,27.54,20.2,5670300
2010-07-09,27.45,28.28,27.44,28.18,20.67,5161700
2010-07-12,28.01,28.29,27.72,28.12,20.63,3984100
