Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,43.72,43.91,42.91,43.0,34.78,717300
2010-01-04,43.66,44.59,43.59,43.99,35.58,1935200
2010-01-05,44.04,44.34,43.44,44.28,35.82,1217000
2010-01-06,44.11,45.07,44.05,44.96,36.37,1699600
2010-01-07,45.08,46.97,45.02,46.89,37.93,3562300
2010-01-08,46.53,46.6,45.5,46.01,37.22,3589200
2010-01-11,46.23,47.02,45.9,46.68,37.76,3001300
2010-01-12,46.34,46.58,45.35,46.44,37.56,8526400
2010-01-13,46.43,46.98,46.12,46.88,37.92,3054800
2010-01-14,46.49,46.63,45.23,45.36,36.69,5030400
2010-01-15,45.46,45.69,44.76,45.37,36.7,4630800
2010-01-19,45.23,45.3,44.03,44.1,35.67,3526400
2010-01-20,43.76,43.83,42.91,43.1,34.86,3555500
2010-01-21,42.86,43.16,41.57,41.77,33.79,5403200
2010-01-22,41.67,41.87,40.68,40.79,32.99,3137700
2010-01-25,41.87,42.01,41.33,41.73,33.75,2716900
2010-01-26,41.71,41.96,41.23,41.47,33.54,2257100
2010-01-27,41.32,41.76,40.87,41.37,33.46,1781900
2010-01-28,41.59,41.62,40.66,40.82,33.02,1503800
2010-01-29,41.2,41.65,40.54,40.61,32.85,2234700
2010-02-01,40.61,41.14,40.61,41.1,33.25,1388500
2010-02-02,41.2,42.13,41.2,42.05,34.01,1613700
2010-02-03,41.82,42.01,41.35,41.63,33.67,1314200
2010-02-04,41.32,41.58,39.89,40.0,32.36,2358500
2010-02-05,39.95,40.02,38.89,39.7,32.11,3333400
2010-02-08,39.74,40.09,39.17,39.79,32.19,1866100
2010-02-09,40.35,40.35,39.34,40.07,32.41,2424400
2010-02-10,40.79,41.74,40.69,41.14,33.28,3484500
2010-02-11,41.11,41.64,40.69,41.54,33.6,2170100
2010-02-12,40.95,41.57,40.92,41.51,33.58,1216600
2010-02-16,41.81,42.1,41.63,42.08,34.04,1378200
2010-02-17,42.79,43.12,42.36,43.05,34.82,2188200
2010-02-18,42.88,43.38,42.7,43.35,35.07,1290700
2010-02-19,43.26,43.62,43.02,43.54,35.22,1679100
2010-02-22,43.62,43.74,43.33,43.51,35.19,1120700
2010-02-23,43.51,43.71,42.81,42.94,34.73,1264500
2010-02-24,43.07,43.72,42.87,43.69,35.34,1285400
2010-02-25,42.88,43.82,42.55,43.78,35.41,1881500
2010-02-26,43.78,44.55,43.65,44.39,35.91,2042600
2010-03-01,44.5,45.74,44.33,45.59,36.88,2148700
2010-03-02,45.57,45.8,44.73,44.9,36.32,1622500
2010-03-03,45.13,45.56,44.83,44.97,36.38,1545600
2010-03-04,45.1,45.71,45.03,45.43,36.75,930400
2010-03-05,45.63,46.05,45.39,45.94,37.16,1306600
2010-03-08,45.72,46.28,45.72,46.01,37.22,919000
2010-03-09,45.96,46.15,45.6,45.87,37.1,1382600
2010-03-10,45.82,46.11,45.61,45.89,37.12,1025400
2010-03-11,45.65,45.75,45.04,45.6,36.89,1307900
2010-03-12,45.94,46.15,45.45,46.0,37.21,939200
2010-03-15,45.78,46.11,45.46,46.04,37.24,864000
2010-03-16,46.06,48.01,45.96,47.99,38.82,3199700
2010-03-17,48.01,48.07,47.09,47.39,38.33,2502400
2010-03-18,46.98,48.38,46.92,47.58,38.65,2411600
2010-03-19,47.25,48.0,46.88,47.25,38.38,2537500
2010-03-22,44.83,47.49,44.75,47.41,38.51,7936900
2010-03-23,48.15,48.18,47.21,47.76,38.8,2600700
2010-03-24,46.89,47.37,46.63,47.33,38.45,2326700
2010-03-25,47.7,47.91,47.05,47.09,38.25,2007600
2010-03-26,47.29,47.94,47.03,47.32,38.44,1409500
2010-03-29,47.54,47.56,47.04,47.28,38.41,1096900
2010-03-30,47.34,47.63,46.62,46.92,38.11,1615100
2010-03-31,46.75,47.7,46.7,47.49,38.58,2895800
2010-04-01,47.85,48.32,47.78,48.25,39.19,1665300
2010-04-05,48.28,49.17,47.99,49.12,39.9,1216500
2010-04-06,48.39,49.33,48.39,49.2,39.97,1389200
2010-04-07,48.98,49.27,48.55,48.81,39.65,1750400
2010-04-08,48.94,49.66,48.5,49.43,40.15,1786300
2010-04-09,49.51,49.82,49.03,49.79,40.45,884300
2010-04-12,49.85,50.01,49.73,49.81,40.46,1407800
2010-04-13,49.78,50.5,49.68,50.34,40.89,1677600
2010-04-14,50.61,51.23,50.49,51.14,41.54,1406000
2010-04-15,51.39,51.39,50.64,50.9,41.35,1934200
2010-04-16,50.78,51.16,49.78,50.2,40.78,1805700
2010-04-19,50.04,50.34,48.59,49.38,40.11,1907800
2010-04-20,49.79,50.22,49.13,49.48,40.19,1340900
2010-04-21,49.48,50.6,49.29,50.38,40.92,1206100
2010-04-22,49.94,51.18,49.53,50.91,41.35,1495100
2010-04-23,50.91,51.5,50.6,51.46,41.8,970100
2010-04-26,51.62,52.19,51.46,51.94,42.19,1604100
2010-04-27,51.68,51.77,49.61,49.84,40.49,1814200
2010-04-28,49.99,50.59,49.15,49.48,40.19,1267500
2010-04-29,49.91,50.35,49.63,49.95,40.58,1497100
2010-04-30,49.9,50.0,48.33,48.48,39.38,1556200
2010-05-03,48.84,49.74,48.51,49.53,40.23,1356500
2010-05-04,48.74,48.87,47.83,48.06,39.04,1989500
2010-05-05,47.4,48.47,47.26,47.39,38.5,1656400
2010-05-06,47.0,47.2,42.04,44.79,36.38,5343000
2010-05-07,44.88,45.56,43.12,43.55,35.38,4704300
2010-05-10,45.62,46.86,45.62,46.62,37.87,2800400
2010-05-11,46.0,47.18,45.92,46.5,37.77,1717200
2010-05-12,46.8,48.09,46.56,47.94,38.94,2086900
2010-05-13,47.86,48.0,46.15,46.41,37.7,2680600
2010-05-14,46.0,46.0,44.54,44.91,36.48,3496800
2010-05-17,44.96,45.37,43.84,45.23,36.74,2886300
2010-05-18,45.64,45.99,43.52,43.63,35.44,3529900
2010-05-19,43.25,44.12,42.57,43.43,35.28,3203700
2010-05-20,43.03,43.12,41.62,41.76,33.92,4606500
2010-05-21,40.78,42.83,40.61,42.72,34.7,3954200
2010-05-24,42.72,43.1,42.26,42.32,34.38,2770300
2010-05-25,41.24,42.7,40.75,42.6,34.6,3382500
2010-05-26,43.0,44.55,42.98,43.59,35.41,5719000
2010-05-27,46.56,47.4,45.54,46.86,38.07,7605400
2010-05-28,46.65,46.82,45.15,45.43,36.9,3706900
2010-06-01,45.0,45.99,44.65,44.69,36.3,2628100
2010-06-02,44.97,44.97,43.51,44.61,36.24,3675100
2010-06-03,45.25,45.42,43.76,44.49,36.14,2837300
2010-06-04,43.18,43.75,41.82,42.13,34.22,3306800
2010-06-07,42.2,42.64,40.52,40.64,33.01,2865100
2010-06-08,40.58,41.27,40.0,41.21,33.48,4800500
2010-06-09,41.48,43.5,41.48,42.43,34.47,5947600
2010-06-10,43.14,43.86,42.77,43.64,35.45,2984600
2010-06-11,43.3,44.04,42.94,43.61,35.43,2315900
2010-06-14,44.08,44.75,43.81,43.96,35.71,2039500
2010-06-15,44.33,44.82,43.66,44.8,36.39,1630300
2010-06-16,44.67,44.94,43.83,44.35,36.03,1900600
2010-06-17,44.5,44.5,43.11,43.79,35.77,2794300
2010-06-18,43.78,44.86,43.78,44.44,36.3,2621200
2010-06-21,45.14,45.36,43.67,43.99,35.94,2844600
2010-06-22,44.06,44.44,42.11,42.17,34.45,2443200
2010-06-23,42.4,42.46,41.45,42.04,34.34,3369100
2010-06-24,41.54,41.91,40.38,40.74,33.28,3174600
2010-06-25,40.83,41.18,40.25,41.02,33.51,3177700
2010-06-28,41.14,41.27,40.46,40.89,33.4,2139200
2010-06-29,40.11,40.15,38.21,38.58,31.52,3344400
2010-06-30,38.57,39.28,37.73,37.91,30.97,3490500
2010-07-01,37.71,38.35,36.45,38.11,31.13,4381600
2010-07-02,38.41,39.11,36.94,37.2,30.39,2370700
2010-07-06,37.98,37.98,35.81,36.29,29.65,4546100
2010-07-07,36.37,38.8,36.27,38.7,31.61,4360500
2010-07-08,39.2,39.59,38.32,38.88,31.76,3231700
2010-07-09,38.88,39.06,38.37,39.02,31.88,1571000
2010-07-12,38.79,39.07,38.31,38.77,31.67,1281400
2010-07-13,39.24,40.5,39.21,40.17,32.82,2617800
2010-07-14,40.08,41.1,39.6,41.04,33.53,3652600
2010-07-15,40.91,41.04,39.93,40.79,33.32,2701000
2010-07-16,40.49,40.57,39.14,39.18,32.01,4360600
2010-07-19,39.36,39.52,38.47,38.8,31.7,3520500
2010-07-20,38.25,39.7,37.98,39.56,32.32,2743600
2010-07-21,40.08,40.33,39.11,39.21,32.03,2635900
2010-07-22,39.79,40.97,39.78,40.71,33.26,2163300
2010-07-23,40.81,41.58,40.46,41.5,33.9,1835100
2010-07-26,41.7,42.14,41.23,42.09,34.38,1444600
2010-07-27,42.19,42.71,41.67,42.01,34.32,3038600
2010-07-28,41.83,42.22,41.41,41.73,34.09,2346200
2010-07-29,42.14,42.4,40.68,41.51,33.91,2512200
2010-07-30,40.81,42.28,40.13,42.07,34.37,2753600
2010-08-02,42.75,43.95,42.53,43.55,35.58,3009500
2010-08-03,43.49,43.55,41.69,42.25,34.51,3447400
2010-08-04,42.38,42.86,42.19,42.45,34.68,1997600
2010-08-05,42.02,43.4,41.63,43.26,35.34,3122200
2010-08-06,42.62,43.34,42.19,43.34,35.41,5317300
2010-08-09,43.36,44.57,43.36,44.4,36.27,3682500
2010-08-10,43.94,44.2,43.24,44.01,35.95,2939800
2010-08-11,43.13,43.33,42.19,42.48,34.7,3114000
2010-08-12,41.7,42.62,41.25,42.44,34.67,3126300
2010-08-13,42.3,42.6,41.78,41.79,34.14,3404000
2010-08-16,41.51,42.09,41.35,41.68,34.05,2024300
2010-08-17,42.23,43.17,42.14,42.76,34.93,2146000
2010-08-18,42.75,43.82,42.23,43.51,35.54,2363100
2010-08-19,43.48,43.94,42.51,43.21,35.3,3127200
2010-08-20,42.73,43.34,42.19,43.3,35.37,2159300
2010-08-23,43.65,44.12,42.93,43.05,35.17,2193600
2010-08-24,42.37,42.77,41.5,41.98,34.29,3021200
2010-08-25,41.64,42.48,41.19,42.21,34.48,3581000
2010-08-26,42.38,43.06,42.03,42.04,34.34,3494800
2010-08-27,42.15,42.49,39.51,40.71,33.26,7814200
2010-08-30,40.69,40.87,39.78,39.84,32.55,3436100
2010-08-31,39.67,40.66,39.43,39.63,32.37,3262000
2010-09-01,40.07,41.35,40.06,41.13,33.6,2660100
2010-09-02,41.36,42.11,41.3,42.05,34.35,1879600
2010-09-03,42.54,43.15,42.1,42.8,34.96,2396400
2010-09-07,42.67,42.78,41.99,42.08,34.38,1738600
2010-09-08,42.11,42.71,42.03,42.5,34.72,1919600
2010-09-09,43.1,43.1,41.91,42.15,34.43,1698600
2010-09-10,42.19,42.66,42.14,42.5,34.72,1544500
2010-09-13,43.0,43.64,42.97,43.55,35.58,2362200
