Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,48.0,48.33,47.62,47.69,45.78,1578800
2010-01-04,48.03,48.03,47.45,47.5,45.6,7182800
2010-01-05,47.61,47.75,47.25,47.66,45.75,3221900
2010-01-06,47.78,48.44,47.62,48.11,46.18,3065000
2010-01-07,48.12,48.2,47.76,48.11,46.18,2638300
2010-01-08,48.12,48.92,47.88,48.92,46.96,3162200
2010-01-11,49.37,49.67,49.0,49.5,47.52,2844500
2010-01-12,49.38,49.38,48.44,48.68,46.73,3253600
2010-01-13,48.67,48.97,48.11,48.7,46.75,2890300
2010-01-14,48.78,48.89,48.27,48.42,46.48,1885800
2010-01-15,48.4,48.41,47.35,47.75,45.84,5187800
2010-01-19,47.98,48.99,47.78,48.97,47.01,3991200
2010-01-20,48.91,49.35,48.2,48.77,46.82,3862800
2010-01-21,48.69,49.18,47.67,47.77,45.86,3014100
2010-01-22,47.7,47.94,47.03,47.04,45.16,3904300
2010-01-25,47.34,47.64,47.04,47.1,45.22,2463700
2010-01-26,46.91,46.91,46.23,46.49,44.63,3662600
2010-01-27,46.31,46.58,46.02,46.46,44.6,2210900
2010-01-28,46.7,47.13,46.22,46.3,44.45,2608200
2010-01-29,46.67,46.9,46.14,46.15,44.3,3009300
2010-02-01,46.11,46.96,46.0,46.92,45.04,4060200
2010-02-02,46.95,47.7,46.73,47.6,45.7,3995200
2010-02-03,49.5,49.69,48.16,48.41,46.47,6484600
2010-02-04,48.17,48.18,47.22,47.26,45.37,4231600
2010-02-05,47.15,47.27,46.03,47.0,45.12,3827100
2010-02-08,46.95,47.32,46.61,46.79,44.92,2665600
2010-02-09,47.08,47.95,47.03,47.68,45.77,3085700
2010-02-10,47.52,47.78,46.94,47.13,45.24,2423500
2010-02-11,46.96,47.48,46.71,47.31,45.42,2252200
2010-02-12,47.02,47.3,46.55,47.26,45.37,2118400
2010-02-16,47.51,48.21,47.32,48.21,46.28,1675400
2010-02-17,48.21,48.86,48.17,48.71,46.76,2265000
2010-02-18,48.8,49.52,48.55,49.32,47.35,2822200
2010-02-19,49.13,49.49,48.91,49.22,47.25,2012100
2010-02-22,49.4,49.57,45.37,48.1,46.18,19134000
2010-02-23,47.78,49.94,47.76,49.67,47.68,14686100
