Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,53.74,54.16,53.25,53.25,39.09,736000
2010-01-04,53.77,55.34,53.12,54.4,39.93,2330200
2010-01-05,54.05,55.03,53.63,55.01,40.38,1569500
2010-01-06,54.92,55.08,53.98,54.15,39.75,1517900
2010-01-07,53.82,54.54,53.55,54.11,39.72,1048000
2010-01-08,53.95,54.02,53.22,53.9,39.57,1344700
2010-01-11,54.0,54.79,53.94,54.28,39.85,1099000
2010-01-12,53.9,54.99,53.76,54.59,40.07,1606800
2010-01-13,54.43,55.28,54.15,55.13,40.47,1477000
2010-01-14,54.91,55.06,54.19,54.79,40.22,1191300
2010-01-15,54.8,54.89,53.52,53.6,39.35,1657900
2010-01-19,53.55,54.45,53.35,54.29,39.85,1194600
2010-01-20,53.9,53.9,52.8,53.36,39.17,1474500
2010-01-21,53.4,53.43,51.73,51.92,38.11,1979600
2010-01-22,51.76,51.98,50.48,50.64,37.17,1826500
2010-01-25,51.38,51.97,50.85,51.7,37.95,1562000
2010-01-26,51.54,52.27,50.92,51.37,37.71,2311800
2010-01-27,51.67,52.81,51.1,52.63,38.63,2050800
2010-01-28,53.68,54.12,48.81,50.6,37.14,5056600
2010-01-29,51.04,51.2,49.18,49.62,36.42,2663300
2010-02-01,49.77,51.14,49.37,51.03,37.46,2245400
2010-02-02,51.16,51.59,50.69,51.17,37.56,1741200
2010-02-03,50.85,51.27,50.42,50.7,37.22,1475800
2010-02-04,49.83,50.71,48.27,48.27,35.43,2274400
2010-02-05,48.35,49.09,47.42,48.87,35.87,3487900
2010-02-08,49.16,49.69,48.1,48.13,35.33,1735900
2010-02-09,48.71,49.39,47.89,48.69,35.74,1844400
2010-02-10,48.52,49.47,48.52,49.07,36.02,1454900
2010-02-11,48.9,49.21,48.48,49.01,35.98,1402200
2010-02-12,48.69,49.08,48.24,48.94,35.93,1829300
2010-02-16,49.45,50.18,48.99,50.18,36.84,1242200
2010-02-17,50.44,50.59,49.6,49.92,36.64,1504600
2010-02-18,49.94,50.15,49.23,49.6,36.41,1739700
2010-02-19,49.63,50.31,49.49,49.95,36.67,1647700
2010-02-22,50.25,50.56,49.63,50.04,36.73,1469600
2010-02-23,49.99,50.28,49.48,49.6,36.41,2207600
2010-02-24,49.95,50.69,49.63,50.63,37.17,1379300
2010-02-25,50.11,50.39,49.56,50.32,36.94,1076400
2010-02-26,50.57,50.97,49.87,50.69,37.21,1529700
2010-03-01,50.65,51.17,50.58,51.1,37.51,1047000
2010-03-02,51.12,51.48,51.06,51.4,37.73,1466800
2010-03-03,51.44,52.06,51.28,51.64,37.91,1403300
2010-03-04,51.57,52.61,51.5,52.56,38.58,1699000
2010-03-05,52.62,53.99,52.62,53.98,39.63,1754900
2010-03-08,53.89,53.95,53.25,53.36,39.17,1316900
2010-03-09,53.32,53.81,52.87,53.49,39.27,1167200
2010-03-10,53.53,53.65,53.11,53.44,39.23,1710200
2010-03-11,53.01,53.4,52.71,53.4,39.2,1083900
2010-03-12,53.4,53.73,52.83,53.33,39.35,1320700
2010-03-15,53.12,53.53,52.74,53.45,39.44,1265200
2010-03-16,53.69,53.89,53.27,53.85,39.73,1334800
2010-03-17,53.95,55.51,53.95,55.25,40.76,1956400
2010-03-18,55.42,55.42,54.88,55.22,40.74,1055100
2010-03-19,55.59,55.59,54.44,54.81,40.44,1518200
2010-03-22,54.59,55.5,54.41,55.46,40.92,837400
2010-03-23,55.37,55.91,55.18,55.86,41.21,1330500
2010-03-24,55.55,55.75,54.52,55.0,40.58,1374500
2010-03-25,55.23,56.25,54.84,55.22,40.74,1547300
2010-03-26,55.22,55.75,54.52,55.08,40.64,1506800
2010-03-29,55.42,55.49,54.91,55.36,40.84,970700
2010-03-30,55.42,55.82,54.85,55.21,40.73,1009300
2010-03-31,54.89,55.39,54.52,54.97,40.56,1435500
2010-04-01,55.5,56.13,55.42,55.87,41.22,1222900
2010-04-05,55.52,55.96,55.5,55.86,41.21,1713800
2010-04-06,55.83,56.05,55.4,55.93,41.27,1665200
2010-04-07,56.06,56.23,55.36,55.54,40.98,1632500
2010-04-08,55.27,55.81,55.11,55.67,41.07,2967800
2010-04-09,55.78,56.59,55.56,56.52,41.7,1680700
2010-04-12,56.69,56.94,56.12,56.39,41.6,1631200
2010-04-13,56.18,57.31,56.1,57.16,42.17,1323600
