Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,12.53,12.53,12.27,12.27,10.56,1773800
2010-01-04,12.27,12.3,12.15,12.24,10.53,3355000
2010-01-05,12.21,12.49,12.21,12.47,10.73,3781300
2010-01-06,12.79,13.12,12.58,13.1,11.27,6810500
2010-01-07,13.1,13.42,13.01,13.33,11.47,5979200
2010-01-08,13.29,13.37,13.12,13.3,11.44,3999300
2010-01-11,13.29,13.4,13.04,13.12,11.29,2875700
2010-01-12,13.06,13.13,12.94,12.97,11.16,3315600
2010-01-13,13.0,13.41,12.96,13.31,11.45,3900600
2010-01-14,13.89,14.09,13.73,14.04,12.08,8703500
2010-01-15,14.08,14.08,13.76,13.89,11.95,5633700
2010-01-19,13.86,14.06,13.73,13.99,12.03,4694600
2010-01-20,13.86,13.92,13.65,13.9,11.96,4448900
2010-01-21,13.9,13.96,13.54,13.65,11.74,6339100
2010-01-22,13.96,14.02,13.74,13.77,11.85,5865600
2010-01-25,13.88,14.06,13.68,13.89,11.95,4363300
2010-01-26,13.83,14.11,13.73,13.98,12.03,4628700
2010-01-27,13.98,14.02,13.72,13.78,11.85,5437200
2010-01-28,13.77,13.92,13.68,13.79,11.86,5243100
2010-01-29,13.9,14.0,13.78,13.82,11.89,4792900
2010-02-01,13.83,13.99,13.79,13.99,12.03,3347400
2010-02-02,14.0,14.38,13.96,14.27,12.28,4978000
2010-02-03,14.17,14.37,14.11,14.35,12.34,2992000
2010-02-04,14.24,14.24,13.9,13.99,12.03,4597900
2010-02-05,14.82,15.25,14.53,14.65,12.6,15735700
2010-02-08,14.85,15.25,14.66,15.09,12.98,9906700
2010-02-09,15.16,15.53,15.12,15.41,13.26,6883200
2010-02-10,15.44,15.58,15.25,15.53,13.36,5977000
2010-02-11,15.46,16.05,15.35,15.96,13.73,7058800
2010-02-12,15.89,16.11,15.63,16.04,13.8,4939400
2010-02-16,16.09,16.58,15.96,16.44,14.14,5945800
2010-02-17,16.49,16.67,16.23,16.63,14.31,7272900
2010-02-18,16.54,16.9,16.49,16.9,14.54,4726300
2010-02-19,16.82,17.07,16.74,16.95,14.58,7229500
2010-02-22,16.79,16.84,16.55,16.64,14.31,6349500
2010-02-23,16.65,16.8,16.51,16.75,14.41,5381100
2010-02-24,16.76,16.89,16.61,16.67,14.34,5659400
2010-02-25,16.47,17.01,16.45,17.0,14.66,6548700
2010-02-26,16.97,17.07,16.85,17.04,14.69,4022300
2010-03-01,17.05,17.44,16.98,17.17,14.81,3946000
2010-03-02,17.24,17.46,17.18,17.45,15.05,6095700
2010-03-03,17.56,17.59,17.18,17.22,14.85,7858700
2010-03-04,17.26,17.55,17.1,17.5,15.09,5822200
2010-03-05,17.06,17.46,17.06,17.24,14.87,8337500
2010-03-08,17.27,17.63,17.1,17.62,15.19,4690200
2010-03-09,17.54,17.7,17.45,17.6,15.18,3938100
2010-03-10,17.47,17.65,17.42,17.51,15.1,4417100
2010-03-11,17.62,17.75,17.41,17.74,15.3,3268400
2010-03-12,17.84,17.9,17.47,17.54,15.12,3854900
2010-03-15,17.5,17.61,17.3,17.37,14.98,3314800
2010-03-16,17.36,17.68,17.29,17.66,15.23,2467300
2010-03-17,17.63,17.79,17.54,17.7,15.26,4056600
2010-03-18,17.7,17.76,17.58,17.65,15.22,3167500
2010-03-19,17.72,17.82,17.55,17.72,15.28,6623100
2010-03-22,17.65,18.11,17.57,18.11,15.62,7209700
2010-03-23,18.16,18.31,18.03,18.29,15.77,4459400
2010-03-24,18.43,18.53,18.36,18.44,15.9,8164500
2010-03-25,18.5,18.56,18.18,18.21,15.7,5439900
2010-03-26,18.25,18.74,18.15,18.7,16.12,6493400
2010-03-29,18.76,19.09,18.63,19.09,16.46,4500200
2010-03-30,19.09,19.24,19.01,19.17,16.53,4562800
2010-03-31,19.17,19.25,19.0,19.15,16.51,4105100
2010-04-01,19.23,19.55,19.09,19.5,16.81,6043000
2010-04-05,19.48,19.53,19.16,19.2,16.56,7586300
2010-04-06,19.11,19.21,18.94,18.98,16.37,7238000
2010-04-07,18.97,19.35,18.91,19.24,16.59,8916700
2010-04-08,19.33,19.59,19.14,19.48,16.8,5691000
2010-04-09,19.59,19.7,19.35,19.67,16.96,6190300
2010-04-12,19.77,20.1,19.71,20.0,17.25,6232900
2010-04-13,19.93,20.13,19.76,20.07,17.31,4919500
2010-04-14,20.03,20.31,19.99,20.27,17.48,4133600
2010-04-15,20.21,20.57,20.02,20.4,17.59,5264000
2010-04-16,20.36,20.41,19.78,19.88,17.14,4381000
2010-04-19,19.79,19.92,19.46,19.9,17.16,3846900
2010-04-20,19.98,20.17,19.9,20.07,17.31,3107700
2010-04-21,20.06,20.31,19.98,20.21,17.43,5023400
2010-04-22,20.09,20.35,19.92,20.32,17.52,3852000
2010-04-23,20.35,20.38,20.0,20.15,17.38,7881600
2010-04-26,20.11,20.51,20.05,20.4,17.59,4289500
2010-04-27,20.39,20.39,19.54,19.57,16.88,5435900
2010-04-28,19.74,19.91,19.32,19.69,16.98,4969800
2010-04-29,19.77,19.96,19.67,19.88,17.14,3607900
2010-04-30,19.82,19.94,19.59,19.59,16.89,4090600
2010-05-03,19.86,20.07,19.4,19.9,17.16,4226400
2010-05-04,19.61,19.8,19.37,19.52,16.83,3357200
2010-05-05,19.31,19.79,19.18,19.43,16.75,5950600
2010-05-06,19.44,19.48,16.88,18.58,16.02,8313400
2010-05-07,18.7,18.97,18.21,18.62,16.06,9178000
2010-05-10,19.57,20.04,18.05,18.24,15.73,9614900
2010-05-11,17.64,18.13,17.48,18.02,15.54,10350200
2010-05-12,18.09,18.41,18.03,18.13,15.63,7834600
2010-05-13,18.14,18.42,17.98,18.13,15.63,6627300
2010-05-14,18.0,18.24,17.45,17.7,15.26,7256400
2010-05-17,17.76,17.91,17.38,17.64,15.21,5414300
2010-05-18,17.86,18.03,17.64,17.81,15.36,9384500
2010-05-19,17.74,18.01,17.47,17.8,15.35,10090300
2010-05-20,17.63,17.63,16.94,16.97,14.63,8738200
2010-05-21,16.71,17.19,16.56,17.08,14.73,5104700
2010-05-24,17.05,17.2,16.87,16.98,14.64,6442500
2010-05-25,16.57,17.11,16.5,17.03,14.68,10255100
2010-05-26,17.14,17.22,16.66,16.73,14.43,7968300
2010-05-27,16.97,17.79,16.91,17.78,15.37,6465500
2010-05-28,17.8,17.81,17.56,17.58,15.2,6540200
2010-06-01,17.42,17.51,17.01,17.02,14.71,5721600
2010-06-02,17.04,17.52,17.03,17.51,15.14,4872000
2010-06-03,17.65,18.11,17.48,18.1,15.65,5434900
2010-06-04,17.7,17.92,17.41,17.5,15.13,5860600
2010-06-07,17.47,17.83,17.35,17.52,15.14,7354300
2010-06-08,17.51,17.71,17.16,17.58,15.2,6374900
