Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,19.08,19.08,18.72,18.81,18.32,2005800
2010-01-04,18.93,19.18,18.66,19.04,18.54,3630600
2010-01-05,18.97,19.35,18.46,18.68,18.19,12121100
2010-01-06,18.71,19.42,18.71,19.33,18.83,5598300
2010-01-07,19.32,20.25,19.25,20.19,19.66,5196100
2010-01-08,20.1,20.42,19.97,20.38,19.85,4104000
2010-01-11,20.51,21.61,20.36,21.47,20.91,7214100
2010-01-12,21.25,21.56,20.91,21.33,20.77,4849100
2010-01-13,21.36,21.49,20.68,20.92,20.37,5378700
2010-01-14,20.96,23.06,20.58,22.79,22.2,17621700
2010-01-15,22.75,22.75,21.74,21.88,21.31,9136800
2010-01-19,22.09,23.46,21.79,22.98,22.38,8277200
2010-01-20,22.7,22.7,21.91,22.31,21.73,4539400
2010-01-21,22.31,22.43,21.37,21.43,20.87,4666300
2010-01-22,21.35,22.08,20.8,21.32,20.76,5582300
2010-01-25,21.64,21.84,20.84,21.13,20.58,6112300
2010-01-26,21.07,21.09,20.37,20.57,20.03,3765400
2010-01-27,20.47,21.15,20.36,21.0,20.45,5865400
2010-01-28,20.38,20.73,18.89,19.58,19.07,18922800
2010-01-29,19.66,19.96,19.05,19.53,19.02,6786800
2010-02-01,19.62,20.69,19.53,20.64,20.1,6508100
2010-02-02,20.78,21.26,20.45,20.68,20.14,7153800
2010-02-03,20.54,20.79,20.21,20.46,19.93,4608300
2010-02-04,20.21,20.21,19.4,19.56,19.05,6589400
2010-02-05,19.51,19.6,17.96,18.91,18.42,11037700
2010-02-08,18.84,19.24,18.36,18.71,18.22,4947400
2010-02-09,19.09,19.27,18.68,18.9,18.41,3825000
2010-02-10,18.86,19.03,18.29,18.88,18.39,6767500
2010-02-11,18.88,19.13,18.46,18.96,18.47,4799100
2010-02-12,18.61,18.67,18.0,18.32,17.84,6119700
2010-02-16,18.49,19.15,18.32,19.08,18.58,3328200
2010-02-17,19.15,19.28,18.91,19.06,18.56,2858800
2010-02-18,19.06,19.8,18.96,19.75,19.23,4512900
2010-02-19,19.58,19.94,19.4,19.68,19.17,3683500
2010-02-22,19.75,20.08,19.56,19.88,19.36,3574500
2010-02-23,19.85,20.17,19.37,19.53,19.02,3461200
2010-02-24,19.7,19.74,19.04,19.59,19.08,5307500
2010-02-25,19.15,19.5,18.97,19.45,18.94,4472200
2010-02-26,19.45,20.03,19.25,19.92,19.4,3764900
2010-03-01,20.0,20.31,19.82,20.21,19.68,4400400
2010-03-02,20.34,20.99,20.05,20.9,20.35,4948300
2010-03-03,20.92,21.45,20.76,21.24,20.69,4626900
2010-03-04,21.36,21.57,20.93,21.06,20.51,5049300
2010-03-05,21.2,21.84,21.2,21.81,21.24,4573900
2010-03-08,21.78,22.17,21.73,21.74,21.17,4333800
2010-03-09,21.13,21.96,21.01,21.62,21.06,7801800
2010-03-10,21.17,22.07,21.17,21.81,21.26,4718800
2010-03-11,21.68,22.34,21.3,22.25,21.69,3904800
2010-03-12,22.37,22.44,21.92,22.26,21.7,3374700
2010-03-15,22.17,22.2,21.61,22.05,21.49,3048600
2010-03-16,22.06,22.78,21.94,22.4,21.84,4386200
2010-03-17,22.52,22.78,22.23,22.53,21.96,3061300
2010-03-18,22.41,22.5,22.0,22.15,21.59,2697700
2010-03-19,22.21,22.97,22.07,22.21,21.65,5674600
2010-03-22,21.99,22.4,21.8,22.18,21.62,3057700
2010-03-23,22.28,22.47,22.07,22.45,21.88,3108600
2010-03-24,22.28,22.58,22.15,22.28,21.72,2470400
2010-03-25,22.53,22.56,21.73,21.77,21.22,4974900
2010-03-26,21.9,22.3,21.62,21.68,21.13,3868400
2010-03-29,21.84,21.95,21.49,21.7,21.15,4055400
2010-03-30,21.76,22.0,21.41,21.56,21.02,3241000
2010-03-31,21.48,21.59,21.18,21.23,20.7,3694400
2010-04-01,21.42,21.57,21.17,21.4,20.86,3655800
2010-04-05,21.54,21.61,21.16,21.33,20.79,4915300
2010-04-06,21.23,21.82,21.12,21.57,21.03,3755500
2010-04-07,21.45,22.27,21.25,22.18,21.62,9652500
2010-04-08,22.11,22.25,21.91,22.17,21.61,3868100
2010-04-09,22.23,22.3,21.67,22.09,21.53,3119400
2010-04-12,22.1,22.66,22.06,22.59,22.02,3860700
2010-04-13,22.49,22.66,22.37,22.55,21.98,3279000
2010-04-14,22.64,22.78,22.24,22.76,22.19,4375200
2010-04-15,22.48,22.71,22.27,22.33,21.77,4808700
2010-04-16,22.42,22.43,21.61,21.94,21.39,5608400
2010-04-19,21.75,21.89,21.09,21.56,21.02,4019700
2010-04-20,21.67,22.0,21.5,21.87,21.32,3074200
2010-04-21,21.66,22.17,21.58,21.6,21.06,5674800
2010-04-22,22.18,24.36,21.99,24.23,23.62,16417400
2010-04-23,24.31,24.33,23.48,23.85,23.25,6921100
2010-04-26,23.94,25.3,23.92,24.55,23.93,7796000
2010-04-27,24.45,24.45,23.12,23.25,22.66,7465500
2010-04-28,23.41,23.96,23.22,23.61,23.02,4561300
2010-04-29,23.91,24.2,23.44,23.52,22.93,3294300
2010-04-30,23.5,23.72,22.84,22.84,22.26,3645300
2010-05-03,23.0,23.55,22.94,23.49,22.9,4452500
2010-05-04,23.01,23.45,22.7,22.93,22.35,5996800
2010-05-05,22.59,23.36,22.11,23.27,22.68,6890300
2010-05-06,23.14,23.79,20.0,22.5,21.93,7770800
2010-05-07,22.49,22.49,20.22,20.38,19.87,15769500
2010-05-10,22.17,22.56,21.75,22.39,21.83,6323800
2010-05-11,21.63,23.0,21.63,22.64,22.07,5640200
2010-05-12,22.89,24.2,22.89,24.09,23.48,5726100
2010-05-13,24.04,24.08,23.39,23.53,22.94,2850300
2010-05-14,23.25,23.44,22.31,22.57,22.0,4840600
2010-05-17,22.55,22.9,21.38,21.95,21.4,7337500
2010-05-18,23.06,23.06,21.41,21.5,20.96,6496900
2010-05-19,21.29,21.59,20.63,21.07,20.54,4890300
2010-05-20,20.36,20.44,19.32,19.41,18.92,8564200
2010-05-21,19.04,20.76,18.89,20.57,20.05,10697400
2010-05-24,20.43,21.01,20.19,20.22,19.71,4485700
2010-05-25,19.21,19.76,18.89,19.52,19.03,11333100
2010-05-26,19.74,21.05,19.72,20.27,19.76,11100000
2010-05-27,21.03,21.28,20.64,21.26,20.72,4226000
2010-05-28,21.26,21.34,20.45,20.67,20.15,2900200
2010-06-01,20.31,20.68,19.87,19.89,19.39,4448800
2010-06-02,20.07,20.48,19.87,20.47,19.95,3583600
2010-06-03,20.57,20.85,20.22,20.65,20.13,3577100
2010-06-04,20.28,20.46,18.81,18.96,18.48,8095900
2010-06-07,19.0,19.04,18.15,18.21,17.75,6047700
2010-06-08,18.17,18.96,17.98,18.96,18.48,7483200
2010-06-09,19.15,19.34,18.53,18.68,18.23,5996600
2010-06-10,19.22,19.44,18.96,19.3,18.83,4806600
2010-06-11,18.96,19.51,18.96,19.46,18.99,3341800
2010-06-14,19.56,19.94,19.24,19.3,18.83,2940500
2010-06-15,19.61,20.28,19.55,20.24,19.75,3652400
2010-06-16,20.04,20.38,19.9,20.02,19.54,4101000
2010-06-17,20.15,20.16,19.56,19.95,19.47,2818900
2010-06-18,20.0,20.17,19.83,20.03,19.55,2714800
2010-06-21,20.5,20.65,19.9,20.01,19.53,3101700
2010-06-22,20.16,20.24,19.24,19.35,18.88,3043200
2010-06-23,19.35,19.38,18.82,19.02,18.56,4751900
2010-06-24,18.92,19.14,18.52,18.59,18.14,4704400
2010-06-25,18.72,19.31,18.57,19.31,18.84,7394000
2010-06-28,19.32,19.41,18.62,18.66,18.21,5187900
2010-06-29,18.25,18.28,16.71,16.8,16.39,14341800
2010-06-30,16.58,17.34,16.58,16.97,16.56,7241300
2010-07-01,16.87,17.0,16.1,16.37,15.97,10953700
2010-07-02,16.45,16.5,15.88,16.07,15.68,6070200
2010-07-06,16.41,16.74,16.02,16.28,15.89,6067200
2010-07-07,16.3,17.18,16.23,17.17,16.76,6833500
2010-07-08,17.12,17.3,16.66,17.04,16.63,5085500
2010-07-09,17.07,17.89,17.05,17.8,17.37,5478900
2010-07-12,17.8,18.03,17.48,17.68,17.25,3938100
2010-07-13,18.41,18.9,18.2,18.39,17.95,4948500
2010-07-14,18.25,18.5,17.9,18.25,17.81,4227700
2010-07-15,18.28,18.47,17.63,18.26,17.82,4042900
2010-07-16,18.09,18.14,17.29,17.34,16.92,5450000
2010-07-19,17.53,17.64,17.28,17.57,17.15,3827700
2010-07-20,17.16,18.19,17.1,18.08,17.64,4220500
2010-07-21,19.7,19.85,18.98,19.65,19.18,15557700
2010-07-22,19.85,20.37,19.79,20.22,19.73,7457900
2010-07-23,20.02,20.79,19.77,20.77,20.27,5300100
2010-07-26,20.94,21.21,20.65,21.17,20.66,4436300
2010-07-27,21.36,21.4,20.35,20.71,20.21,5212600
