Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,30.95,31.15,30.45,30.48,25.78,5354200
2010-01-04,31.38,31.6,30.97,31.53,26.66,12199500
2010-01-05,31.73,31.97,31.28,31.48,26.62,11180700
2010-01-06,31.6,32.06,31.41,31.79,26.88,9761100
2010-01-07,31.59,33.05,31.59,33.01,27.92,11789800
2010-01-08,32.86,32.92,32.34,32.7,27.65,7228700
2010-01-11,32.71,33.13,32.7,32.92,27.84,7206900
2010-01-12,32.7,32.91,31.54,32.05,27.1,13121500
2010-01-13,31.99,32.55,31.68,32.54,27.52,8797200
2010-01-14,32.68,33.33,32.33,33.32,28.18,8818300
2010-01-15,33.54,33.99,33.1,33.75,28.54,19382000
2010-01-19,34.56,35.9,34.5,35.13,29.71,26477900
2010-01-20,35.94,36.07,34.29,34.55,29.22,26854700
2010-01-21,35.43,35.69,33.0,33.1,27.99,29192700
2010-01-22,33.82,34.11,33.1,33.16,28.04,21021600
2010-01-25,33.56,33.72,32.96,33.0,27.91,10925800
2010-01-26,32.51,32.91,32.44,32.44,27.43,11057200
2010-01-27,32.34,33.53,32.11,33.24,28.11,14387100
2010-01-28,33.33,34.09,33.04,33.43,28.27,16742100
2010-01-29,33.42,33.8,32.96,33.0,27.91,11931500
2010-02-01,33.03,33.41,32.22,33.13,28.02,13710200
2010-02-02,33.14,34.12,32.93,34.05,28.8,12114600
2010-02-03,34.05,34.05,32.82,33.32,28.18,8410400
2010-02-04,33.24,33.24,32.39,32.46,27.45,10648500
2010-02-05,32.42,32.63,31.84,32.54,27.52,12666000
2010-02-08,32.23,32.95,32.23,32.41,27.41,9558200
2010-02-09,32.72,33.06,32.0,33.0,27.91,11236500
2010-02-10,33.0,33.17,32.3,32.71,27.66,10755200
2010-02-11,32.71,33.2,32.44,33.12,28.01,7857600
2010-02-12,32.78,32.85,32.03,32.18,27.21,11688700
2010-02-16,32.33,32.6,31.39,31.63,26.75,13934200
2010-02-17,31.68,33.21,31.68,32.55,27.53,11690900
2010-02-18,32.23,32.99,32.12,32.69,27.65,10327100
2010-02-19,32.42,32.77,31.83,31.94,27.01,11508200
2010-02-22,32.11,33.12,31.88,33.08,27.98,16338800
2010-02-23,32.87,33.17,32.36,32.81,27.75,10746500
2010-02-24,32.88,33.66,32.36,33.62,28.43,10982600
2010-02-25,33.32,33.98,32.84,33.45,28.29,14779500
2010-02-26,33.52,34.3,33.36,33.86,28.64,9684700
2010-03-01,34.0,34.72,33.53,34.04,28.79,10970800
2010-03-02,34.11,34.37,33.61,33.95,28.71,7081500
2010-03-03,34.05,34.35,33.77,34.1,28.84,8089700
2010-03-04,34.05,34.1,32.42,32.95,27.87,17386600
2010-03-05,33.03,33.79,32.96,33.74,28.53,8133300
2010-03-08,33.74,33.84,33.03,33.1,27.99,7734800
2010-03-09,33.18,33.45,33.07,33.08,27.98,8770800
