Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,19.97,20.09,19.5,19.52,14.85,1542300
2010-01-04,19.73,20.05,19.55,19.94,15.17,3110300
2010-01-05,19.85,20.29,19.8,20.23,15.39,1989000
2010-01-06,20.25,20.51,20.19,20.41,15.53,2435300
2010-01-07,20.24,20.92,20.07,20.86,15.87,3769600
2010-01-08,20.8,20.8,20.41,20.58,15.65,2046300
2010-01-11,20.58,20.99,20.58,20.96,15.94,2172600
2010-01-12,20.79,21.24,20.79,20.91,15.91,5054100
2010-01-13,21.01,21.15,20.77,21.05,16.01,2686700
2010-01-14,20.95,21.69,20.95,21.45,16.32,5754800
2010-01-15,21.41,21.79,21.3,21.39,16.27,6101000
2010-01-19,21.29,21.92,21.26,21.64,16.46,3621800
2010-01-20,21.5,21.61,21.17,21.53,16.38,3954400
2010-01-21,21.53,21.56,20.93,20.98,16.02,5031100
2010-01-22,20.99,21.09,20.15,20.19,15.42,3668400
2010-01-25,20.48,20.61,20.23,20.33,15.52,2502800
2010-01-26,20.13,20.41,19.76,19.8,15.12,2908500
2010-01-27,19.81,20.01,19.45,19.99,15.26,3471900
2010-01-28,19.92,20.03,19.59,19.61,14.97,4037700
2010-01-29,19.69,20.11,19.52,19.57,14.94,3336500
2010-02-01,19.71,20.14,19.59,20.1,15.35,3175100
2010-02-02,20.17,20.8,20.0,20.67,15.78,3610400
2010-02-03,20.45,20.62,19.75,19.95,15.23,3713500
2010-02-04,19.74,19.74,18.86,18.9,14.43,4127100
2010-02-05,18.9,19.23,18.56,19.22,14.68,4817000
2010-02-08,19.18,19.22,18.73,18.73,14.3,2748600
2010-02-09,19.04,19.38,18.78,19.01,14.52,3393200
2010-02-10,19.04,19.33,18.9,19.14,14.62,3112000
2010-02-11,19.14,19.5,18.97,19.42,14.83,2863200
2010-02-12,19.11,19.55,18.78,19.52,14.91,3630000
2010-02-16,19.74,20.08,19.62,20.08,15.33,3084100
2010-02-17,20.63,20.74,20.19,20.53,15.68,3316100
2010-02-18,20.48,20.94,20.4,20.92,15.97,3639500
2010-02-19,20.85,21.07,20.67,21.01,16.04,2920300
2010-02-22,20.93,21.1,20.87,21.01,16.04,1603500
2010-02-23,20.91,21.09,20.57,20.64,15.76,3734800
2010-02-24,20.77,20.99,20.64,20.93,15.98,2771900
2010-02-25,20.68,20.81,20.42,20.78,15.87,2800000
2010-02-26,20.84,20.96,20.62,20.81,15.89,2615300
2010-03-01,20.89,21.32,20.86,21.31,16.27,2535400
2010-03-02,21.38,21.43,21.16,21.3,16.26,2507500
2010-03-03,21.33,21.5,21.24,21.35,16.3,2825200
2010-03-04,21.44,21.68,21.29,21.68,16.56,2267500
2010-03-05,21.85,22.25,21.66,22.2,16.95,3338500
2010-03-08,22.26,22.54,22.19,22.42,17.12,2505900
2010-03-09,22.26,22.56,22.24,22.48,17.17,2619900
2010-03-10,22.58,22.83,22.37,22.77,17.39,2297800
2010-03-11,22.9,23.25,22.83,23.25,17.75,3194800
2010-03-12,23.43,23.55,23.02,23.4,17.87,4262000
2010-03-15,23.4,23.93,23.28,23.84,18.2,4206100
2010-03-16,23.9,24.23,23.75,24.17,18.46,3553600
2010-03-17,24.88,24.91,24.32,24.43,18.65,4781200
2010-03-18,24.34,24.42,24.19,24.33,18.58,2622000
2010-03-19,23.93,24.48,23.63,23.93,18.27,5142400
2010-03-22,23.59,24.01,23.55,23.89,18.24,3222800
2010-03-23,23.9,24.22,23.73,24.19,18.47,3393500
2010-03-24,24.08,24.31,23.97,24.18,18.46,2752300
2010-03-25,24.37,24.7,24.18,24.39,18.62,4214900
2010-03-26,24.41,24.78,24.41,24.65,18.82,4124800
2010-03-29,24.76,25.0,24.75,24.87,18.99,3731800
2010-03-30,24.89,25.0,24.7,24.73,18.88,2050400
2010-03-31,24.58,24.94,24.56,24.77,18.91,4751800
2010-04-01,24.97,25.31,24.93,25.17,19.22,1927600
2010-04-05,25.21,25.45,25.19,25.34,19.35,2600300
2010-04-06,25.22,25.84,25.13,25.6,19.55,3523400
2010-04-07,25.57,25.65,25.13,25.36,19.37,2585500
2010-04-08,25.24,25.49,25.09,25.43,19.42,1879700
2010-04-09,25.43,25.53,25.31,25.53,19.49,2333200
2010-04-12,25.65,25.72,25.46,25.54,19.5,1727500
2010-04-13,25.46,25.64,25.28,25.59,19.54,1322100
2010-04-14,25.69,26.42,25.69,26.41,20.17,2524700
2010-04-15,26.0,26.2,25.76,26.07,19.91,2697600
2010-04-16,25.92,26.01,24.96,25.32,19.33,4268200
2010-04-19,25.1,25.5,24.95,25.48,19.46,3112800
2010-04-20,25.67,25.94,25.64,25.89,19.77,1971700
2010-04-21,25.95,26.18,25.34,25.65,19.59,2830300
2010-04-22,25.38,25.56,24.92,25.51,19.54,2370400
2010-04-23,25.46,25.94,25.39,25.91,19.85,2103400
2010-04-26,25.84,26.09,25.63,25.64,19.64,2184900
2010-04-27,25.41,25.56,24.18,24.27,18.59,4427200
2010-04-28,24.57,24.94,24.14,24.28,18.6,4914400
2010-04-29,24.63,24.97,24.41,24.71,18.93,4851300
2010-04-30,24.91,25.17,24.36,24.47,18.75,4575900
2010-05-03,24.71,24.82,24.2,24.36,18.66,3779400
2010-05-04,24.05,24.06,23.44,23.57,18.06,5844300
2010-05-05,23.1,24.31,22.91,23.58,18.06,5665700
2010-05-06,23.45,23.83,21.03,22.66,17.36,5500400
2010-05-07,22.41,23.01,21.86,22.44,17.19,7541500
2010-05-10,23.69,24.32,23.66,24.32,18.63,4757900
2010-05-11,23.93,24.5,23.75,24.05,18.42,2974400
2010-05-12,24.2,24.38,23.95,24.31,18.62,4325200
2010-05-13,24.21,24.24,23.54,23.57,18.06,3663100
2010-05-14,23.29,23.38,22.49,22.71,17.4,5212300
2010-05-17,22.73,22.91,22.15,22.59,17.31,7467100
2010-05-18,22.8,22.93,21.95,22.07,16.91,6286700
2010-05-19,21.96,22.39,21.54,22.05,16.89,7475300
2010-05-20,21.63,21.97,21.03,21.51,16.48,18734300
2010-05-21,21.17,22.53,21.05,22.46,17.21,7578200
2010-05-24,22.33,22.5,22.01,22.08,16.92,4382800
2010-05-25,21.28,22.31,20.98,22.19,17.0,10840300
2010-05-26,22.44,22.81,22.26,22.4,17.16,6643000
2010-05-27,22.89,23.56,22.68,23.52,18.02,4135600
2010-05-28,23.53,23.77,23.02,23.1,17.7,5270700
2010-06-01,22.61,23.23,22.41,22.62,17.33,4141100
2010-06-02,22.83,23.41,22.65,23.4,17.93,3711300
2010-06-03,23.44,23.55,23.06,23.26,17.82,2982900
2010-06-04,22.63,22.77,22.19,22.28,17.07,7167700
2010-06-07,22.33,22.47,21.72,21.73,16.65,6816000
2010-06-08,21.81,22.36,21.59,22.28,17.07,5482500
2010-06-09,22.49,22.76,22.06,22.14,16.96,3921000
2010-06-10,22.6,23.1,22.49,23.06,17.67,2882500
2010-06-11,22.74,23.34,22.58,23.29,17.84,3242300
2010-06-14,23.5,23.73,23.27,23.35,17.89,3647300
2010-06-15,23.48,23.85,23.23,23.82,18.25,3367900
2010-06-16,23.49,23.74,23.28,23.43,17.95,2907400
2010-06-17,23.43,23.58,23.13,23.36,17.9,2417100
2010-06-18,23.44,23.58,23.38,23.58,18.06,2206400
2010-06-21,23.9,24.34,23.28,23.44,17.96,1854600
2010-06-22,23.39,23.68,22.93,22.96,17.59,2615000
2010-06-23,22.95,23.07,22.56,22.74,17.42,2852700
2010-06-24,22.59,22.72,22.24,22.33,17.11,3382900
2010-06-25,22.52,22.76,22.06,22.69,17.38,3641900
2010-06-28,22.73,22.95,22.6,22.79,17.46,2743600
2010-06-29,22.44,22.44,21.76,21.91,16.78,4575700
2010-06-30,21.81,22.21,21.65,21.7,16.62,4520400
2010-07-01,21.77,21.78,20.92,21.34,16.35,4671700
2010-07-02,21.44,21.59,20.98,21.26,16.29,3109200
2010-07-06,21.53,21.81,20.99,21.3,16.32,4189700
2010-07-07,21.53,21.99,21.31,21.95,16.82,5086700
2010-07-08,22.2,22.44,21.92,22.4,17.16,3140400
2010-07-09,22.46,22.7,22.35,22.66,17.36,2066900
2010-07-12,22.57,22.72,22.33,22.51,17.24,2387100
2010-07-13,22.82,23.01,22.73,22.89,17.54,2869100
2010-07-14,22.72,22.72,22.24,22.44,17.19,3729000
2010-07-15,22.46,22.53,21.99,22.46,17.21,3187900
2010-07-16,22.21,22.22,21.64,21.73,16.65,3989200
2010-07-19,21.81,21.97,21.34,21.72,16.64,2369000
2010-07-20,21.29,22.15,21.28,22.15,16.97,3264000
2010-07-21,22.45,22.45,21.73,21.8,16.7,4497900
2010-07-22,22.12,22.12,21.6,21.81,16.71,7647800
2010-07-23,21.71,22.49,21.56,22.46,17.21,5736000
2010-07-26,22.45,22.61,22.18,22.32,17.1,4177900
2010-07-27,22.56,23.0,22.53,22.88,17.53,4363700
2010-07-28,22.81,22.81,22.38,22.39,17.22,2710700
2010-07-29,22.7,23.1,22.28,22.74,17.49,4019100
2010-07-30,22.43,22.99,22.32,22.82,17.55,2669200
2010-08-02,23.17,23.57,22.84,23.24,17.88,4180800
2010-08-03,23.13,23.16,22.31,22.73,17.48,3274900
2010-08-04,22.76,22.93,21.5,21.83,16.79,9574500
2010-08-05,21.64,21.92,21.5,21.88,16.83,2804400
2010-08-06,21.56,21.87,21.3,21.81,16.78,4813700
2010-08-09,21.88,22.34,21.73,22.31,17.16,2742900
2010-08-10,22.01,22.18,21.83,21.92,16.86,5489500
2010-08-11,21.31,21.58,20.91,20.92,16.09,3945100
2010-08-12,20.62,20.87,20.6,20.78,15.98,3021500
2010-08-13,20.75,21.01,20.63,20.81,16.01,3128200
2010-08-16,20.63,20.85,20.54,20.72,15.94,2237200
2010-08-17,20.9,21.13,20.84,21.03,16.18,2287200
2010-08-18,21.04,21.12,20.75,21.01,16.16,1913100
2010-08-19,20.89,20.96,20.26,20.43,15.72,2954600
2010-08-20,20.24,20.46,20.06,20.33,15.64,2406600
2010-08-23,20.47,20.66,20.35,20.41,15.7,2262300
2010-08-24,20.15,20.25,19.8,19.81,15.24,3203500
2010-08-25,19.61,19.69,19.35,19.58,15.06,5175800
2010-08-26,19.72,19.77,19.31,19.45,14.96,3061900
2010-08-27,19.57,20.22,19.3,20.21,15.55,2331900
2010-08-30,20.1,20.19,19.58,19.6,15.08,1582100
2010-08-31,19.46,20.18,19.45,20.05,15.42,3453100
2010-09-01,20.41,20.97,20.32,20.93,16.1,3812900
2010-09-02,20.87,21.45,20.75,21.45,16.5,3576700
2010-09-03,21.65,22.3,21.65,22.27,17.13,3914600
2010-09-07,22.06,22.07,21.29,21.29,16.38,3046600
2010-09-08,21.37,21.7,21.35,21.39,16.45,2178000
2010-09-09,21.75,21.92,21.5,21.67,16.67,1633500
2010-09-10,21.7,22.06,21.51,21.87,16.82,2326000
2010-09-13,22.1,22.26,21.89,22.24,17.11,1818000
2010-09-14,22.22,22.31,21.95,22.17,17.05,2662300
2010-09-15,21.93,22.21,21.85,22.15,17.04,1942100
2010-09-16,22.09,22.13,21.93,22.12,17.01,1418700
2010-09-17,22.29,22.32,22.1,22.2,17.08,3955200
2010-09-20,22.25,22.71,22.17,22.64,17.41,1767500
2010-09-21,22.69,22.8,22.4,22.52,17.32,2610400
2010-09-22,22.45,22.49,22.09,22.2,17.08,4067400
2010-09-23,21.95,22.12,21.8,21.9,16.85,2800600
2010-09-24,22.11,22.45,21.69,22.4,17.23,3743500
2010-09-27,22.34,22.37,22.12,22.15,17.04,2966800
2010-09-28,22.25,22.45,21.91,22.35,17.19,2019300
2010-09-29,22.22,22.39,22.15,22.25,17.11,2279200
2010-09-30,22.42,22.58,22.08,22.15,17.04,2701300
2010-10-01,22.26,22.34,21.8,22.04,16.95,2816200
2010-10-04,21.94,22.11,21.71,21.8,16.77,2870600
2010-10-05,22.03,22.55,21.66,22.5,17.31,2595000
2010-10-06,22.49,22.57,22.37,22.45,17.27,1791600
2010-10-07,22.61,22.74,22.2,22.34,17.18,2149400
2010-10-08,22.31,22.42,22.01,22.37,17.21,2318200
2010-10-11,22.41,22.51,22.26,22.3,17.15,1464000
2010-10-12,22.2,22.33,21.93,22.25,17.11,3128200
2010-10-13,22.39,22.86,22.32,22.55,17.35,3047200
2010-10-14,22.49,22.96,22.31,22.52,17.32,2700500
2010-10-15,22.71,22.87,22.33,22.52,17.32,2756800
2010-10-18,22.51,22.86,22.42,22.84,17.57,1546400
2010-10-19,22.48,22.89,22.19,22.27,17.13,4442100
2010-10-20,22.3,22.4,22.12,22.27,17.13,4095300
2010-10-21,22.34,22.98,22.19,22.45,17.34,4173100
2010-10-22,22.47,22.61,22.34,22.42,17.32,1921400
2010-10-25,22.62,22.68,22.31,22.35,17.26,2470200
2010-10-26,22.22,22.47,22.22,22.42,17.32,3912100
2010-10-27,22.25,22.93,22.15,22.84,17.64,3702700
2010-10-28,23.0,23.08,22.59,22.77,17.59,1982300
2010-10-29,22.65,22.66,22.22,22.42,17.32,2159000
2010-11-01,22.54,22.98,22.26,22.47,17.36,1963300
2010-11-02,22.73,22.91,22.57,22.82,17.63,2310800
2010-11-03,22.81,22.81,21.74,22.07,17.05,5130100
2010-11-04,22.41,22.96,22.27,22.92,17.7,2920900
2010-11-05,22.92,23.27,22.73,22.88,17.67,2250100
2010-11-08,22.76,22.82,22.21,22.35,17.26,2387200
2010-11-09,22.38,22.44,21.67,21.74,16.79,3486500
2010-11-10,21.68,22.12,21.51,22.11,17.08,3528300
2010-11-11,21.84,22.34,21.69,22.08,17.06,2768200
2010-11-12,21.86,22.01,21.74,21.83,16.86,2367600
2010-11-15,21.92,22.17,21.81,21.99,16.99,2055800
2010-11-16,21.81,22.08,21.51,21.59,16.68,3378500
2010-11-17,21.64,22.31,21.59,21.82,16.85,3012500
2010-11-18,22.12,22.48,22.07,22.21,17.16,2486100
2010-11-19,22.21,22.33,22.03,22.17,17.12,1793100
2010-11-22,22.01,22.11,21.76,22.02,17.01,1731900
2010-11-23,21.7,21.77,21.45,21.48,16.59,2451700
2010-11-24,21.7,22.12,21.7,22.0,16.99,1675400
2010-11-26,21.71,21.87,21.65,21.69,16.75,720700
2010-11-29,21.47,21.81,21.4,21.73,16.79,1559400
2010-11-30,21.42,21.67,21.34,21.49,16.6,2120200
2010-12-01,21.91,22.22,21.53,22.2,17.15,2413900
