Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,32.38,32.45,31.9,31.95,25.33,2941600
2010-01-04,32.29,32.71,32.24,32.69,25.92,5894200
2010-01-05,32.78,33.4,32.67,33.15,26.28,6737000
2010-01-06,33.13,33.64,33.06,33.2,26.32,5363800
2010-01-07,33.03,33.22,32.55,32.9,26.09,5040400
2010-01-08,32.88,34.17,32.8,34.02,26.97,7691200
2010-01-11,34.25,34.33,33.6,33.79,26.79,6118600
2010-01-12,33.5,33.76,33.38,33.69,26.71,6647000
2010-01-13,33.85,33.94,33.28,33.74,26.74,7353000
2010-01-14,33.56,33.81,32.97,33.19,26.31,6153600
2010-01-15,33.14,33.19,32.54,32.78,25.99,8678000
2010-01-19,32.86,32.89,32.38,32.76,25.97,5984400
2010-01-20,32.01,32.02,30.96,31.86,25.26,16682800
2010-01-21,31.88,33.74,31.58,32.72,25.94,17484200
2010-01-22,32.78,33.12,31.75,31.92,25.31,11654400
2010-01-25,32.29,32.36,31.72,31.88,25.27,7202600
2010-01-26,31.73,32.25,31.45,32.1,25.45,6630400
2010-01-27,32.03,32.03,31.5,31.91,25.29,7972200
2010-01-28,31.95,32.07,30.72,30.77,24.39,11030600
2010-01-29,31.0,31.3,30.2,30.25,23.98,9834000
2010-02-01,30.42,31.2,30.41,31.16,24.7,8134000
2010-02-02,31.25,31.62,31.02,31.47,24.94,4799000
2010-02-03,31.58,31.94,31.36,31.49,24.96,4779800
2010-02-04,31.13,31.38,30.45,30.49,24.17,7019000
2010-02-05,30.57,31.08,30.38,31.05,24.61,9666000
2010-02-08,31.09,31.23,30.49,30.49,24.17,6749400
2010-02-09,30.92,31.27,30.69,30.87,24.47,4512400
2010-02-10,30.88,31.16,30.32,30.85,24.46,6936800
2010-02-11,30.72,31.92,30.7,31.81,25.21,10367800
2010-02-12,31.5,31.73,31.22,31.7,25.13,6833800
2010-02-16,32.0,32.63,31.74,32.58,25.83,7541800
2010-02-17,32.78,32.83,32.03,32.49,25.76,5587800
2010-02-18,32.39,32.71,32.3,32.65,25.89,5065400
2010-02-19,32.62,33.38,32.62,33.28,26.39,10253800
2010-02-22,33.3,33.54,33.22,33.42,26.5,8623200
2010-02-23,33.44,33.49,32.93,33.19,26.32,8241800
2010-02-24,33.16,33.48,33.06,33.44,26.62,6783800
2010-02-25,32.98,34.26,32.74,34.23,27.25,11503800
2010-02-26,34.19,34.28,33.67,33.69,26.81,12743200
2010-03-01,33.87,34.04,33.51,33.85,26.94,7594800
2010-03-02,33.95,34.05,33.47,33.63,26.77,8546200
2010-03-03,33.67,34.04,33.55,33.6,26.75,6581000
2010-03-04,33.79,34.2,33.53,34.03,27.09,6620800
2010-03-05,34.28,34.66,34.19,34.56,27.51,6577000
2010-03-08,34.65,34.88,34.53,34.74,27.66,4807400
2010-03-09,34.63,35.67,34.55,35.42,28.19,10288000
2010-03-10,35.38,36.01,35.25,35.8,28.5,15680600
2010-03-11,35.69,36.26,35.67,36.25,28.85,11602200
2010-03-12,36.4,36.53,36.01,36.5,29.05,7041000
2010-03-15,36.4,36.59,36.12,36.46,29.02,7934800
2010-03-16,36.44,36.74,36.38,36.72,29.23,7455400
2010-03-17,36.83,37.01,36.42,36.6,29.14,8778800
2010-03-18,36.38,36.98,36.38,36.83,29.31,7648600
2010-03-19,36.62,37.17,36.4,36.62,29.15,10629200
2010-03-22,36.42,37.07,36.31,37.0,29.45,6382200
2010-03-23,37.08,37.12,36.5,36.85,29.33,6280200
2010-03-24,36.74,36.74,36.17,36.46,29.02,6323000
2010-03-25,36.78,37.13,36.28,36.33,28.92,7964200
2010-03-26,36.37,36.49,36.04,36.33,28.92,6074000
2010-03-29,36.49,36.96,36.38,36.79,29.28,5858600
2010-03-30,36.9,37.12,36.64,36.81,29.3,5387200
2010-03-31,36.68,36.81,36.27,36.65,29.17,5456200
2010-04-01,36.83,37.12,36.52,36.83,29.31,5187200
2010-04-05,36.88,37.13,36.58,36.9,29.38,6698600
2010-04-06,36.67,36.92,36.65,36.82,29.31,5598000
2010-04-07,36.76,36.99,36.13,36.84,29.32,9185600
2010-04-08,36.67,37.85,36.62,37.78,30.07,9898800
2010-04-09,37.88,37.99,37.58,37.88,30.15,5306800
2010-04-12,37.9,37.94,37.26,37.69,30.0,4623600
2010-04-13,37.57,38.23,37.44,38.1,30.33,7584800
2010-04-14,38.31,38.78,38.15,38.53,30.67,10891600
2010-04-15,38.54,38.8,38.41,38.56,30.69,5478000
2010-04-16,38.49,38.58,37.19,37.97,30.23,8585400
2010-04-19,37.88,37.96,37.38,37.69,30.0,6160000
2010-04-20,37.99,38.49,37.93,38.35,30.53,6726800
2010-04-21,38.37,38.67,38.16,38.51,30.66,5165800
2010-04-22,38.04,39.01,37.88,38.12,30.35,11856000
2010-04-23,38.36,38.62,38.21,38.55,30.69,11161000
2010-04-26,38.52,38.58,38.18,38.56,30.69,8693800
2010-04-27,38.42,38.79,37.97,38.03,30.28,11815200
2010-04-28,38.16,38.4,37.76,37.97,30.22,7340600
2010-04-29,38.44,39.04,38.19,38.83,30.9,7101000
2010-04-30,38.94,39.31,37.75,37.83,30.11,7853800
2010-05-03,37.95,38.78,37.95,38.67,30.78,5751200
2010-05-04,38.22,38.22,37.17,37.53,29.87,6551800
2010-05-05,37.03,37.79,36.85,37.15,29.57,6630600
2010-05-06,36.89,37.26,33.81,36.1,28.74,12620600
2010-05-07,35.97,36.47,34.89,35.53,28.29,12650400
2010-05-10,36.6,37.65,36.6,37.47,29.83,11896800
2010-05-11,37.01,37.87,37.01,37.4,29.77,7677000
2010-05-12,37.66,38.51,37.48,38.36,30.53,6613800
2010-05-13,38.33,38.4,37.81,37.92,30.18,4599200
2010-05-14,37.51,37.61,36.77,37.09,29.52,6757800
2010-05-17,37.28,37.53,36.18,37.15,29.57,7886800
2010-05-18,37.16,37.5,36.24,36.47,29.03,9111000
2010-05-19,36.27,36.78,35.11,35.79,28.49,11207000
2010-05-20,34.96,35.13,33.88,33.97,27.04,12336400
2010-05-21,32.99,35.17,32.99,34.88,27.76,13581200
2010-05-24,34.71,35.33,34.53,34.67,27.59,7761200
2010-05-25,33.58,34.29,33.58,34.28,27.29,12116200
2010-05-26,34.6,35.67,34.33,35.06,28.04,10853800
2010-05-27,35.1,35.78,35.1,35.78,28.61,10151000
2010-05-28,35.72,36.06,35.28,35.72,28.57,8105800
2010-06-01,35.28,36.21,35.13,35.15,28.12,16846600
2010-06-02,35.17,36.33,35.17,36.29,29.03,9314800
2010-06-03,36.49,37.08,36.25,36.61,29.28,7911400
2010-06-04,35.92,35.92,34.5,34.67,27.73,12099200
2010-06-07,34.97,34.97,33.99,34.05,27.23,7611400
2010-06-08,34.18,34.72,33.99,34.67,27.73,10166400
2010-06-09,34.96,35.97,34.55,34.69,27.75,9317600
2010-06-10,35.27,36.4,35.27,36.35,29.07,7085800
2010-06-11,36.03,36.84,35.81,36.78,29.41,5474600
2010-06-14,37.15,37.25,36.29,36.37,29.09,6701600
2010-06-15,36.78,37.61,36.63,37.58,30.05,6142400
2010-06-16,37.31,38.24,37.31,37.56,30.04,10246600
2010-06-17,37.92,38.19,37.19,38.11,30.48,8972600
2010-06-18,38.14,38.26,37.9,38.19,30.54,8133600
2010-06-21,38.63,39.17,38.18,38.42,30.73,7602000
2010-06-22,38.38,38.44,36.81,36.92,29.53,8256800
2010-06-23,37.03,37.12,36.19,36.98,29.58,9027800
2010-06-24,36.83,36.83,35.87,36.01,28.81,8275600
2010-06-25,36.16,36.56,35.85,36.36,29.08,12364800
2010-06-28,36.55,36.81,36.19,36.33,29.06,4592000
2010-06-29,35.88,35.88,34.74,35.06,28.05,10232000
2010-06-30,35.08,35.56,34.67,34.76,27.8,7521000
2010-07-01,34.93,35.19,33.92,34.76,27.8,12434600
2010-07-02,34.96,35.26,33.99,34.19,27.34,9758200
2010-07-06,34.98,34.98,33.46,33.72,26.97,11420600
2010-07-07,33.85,35.15,33.56,35.12,28.09,10801000
2010-07-08,35.37,35.83,35.05,35.44,28.35,9312600
2010-07-09,35.44,36.06,35.44,35.85,28.68,6433600
2010-07-12,35.63,36.46,35.51,36.35,29.07,7741000
2010-07-13,36.82,37.05,35.85,36.22,28.97,10495600
2010-07-14,36.03,36.51,35.71,36.29,29.03,5165200
2010-07-15,36.33,36.37,35.67,36.09,28.87,6939400
2010-07-16,35.89,35.96,34.23,34.4,27.52,12628200
2010-07-19,34.6,34.63,33.75,34.19,27.34,8725600
2010-07-20,33.69,34.84,33.42,34.81,27.85,10168200
2010-07-21,35.34,35.34,34.15,34.56,27.64,8042400
2010-07-22,35.74,36.92,35.28,36.2,28.95,14054400
2010-07-23,36.33,37.17,36.28,36.95,29.55,8799600
2010-07-26,37.28,38.24,36.96,37.73,30.18,8632200
2010-07-27,38.0,38.0,37.18,37.31,29.85,6944600
2010-07-28,37.06,37.46,36.74,37.35,29.88,9674000
2010-07-29,37.63,37.9,36.98,37.17,29.73,6326000
2010-07-30,36.67,37.56,36.4,37.33,29.86,5592000
2010-08-02,37.9,38.22,37.41,38.13,30.5,6252200
2010-08-03,37.94,38.44,37.6,38.27,30.61,4042600
2010-08-04,38.28,38.62,38.17,38.49,30.78,4245800
2010-08-05,38.24,38.9,38.12,38.76,31.01,6172200
2010-08-06,38.15,38.75,37.75,38.52,30.81,5655200
2010-08-09,38.79,39.12,38.49,39.06,31.25,5167800
2010-08-10,38.68,38.96,38.21,38.83,31.06,4003400
2010-08-11,38.21,38.22,36.83,37.14,29.71,7218600
2010-08-12,36.69,37.03,36.26,36.91,29.52,5105800
2010-08-13,36.71,37.31,36.62,36.72,29.37,4186800
2010-08-16,36.12,36.72,36.12,36.54,29.23,4083800
2010-08-17,36.99,37.84,36.99,37.42,29.93,5138600
2010-08-18,37.42,38.22,37.2,38.0,30.39,6380400
2010-08-19,37.72,37.92,36.78,37.25,29.79,6128800
2010-08-20,36.86,37.18,36.46,37.13,29.7,5507800
2010-08-23,37.27,37.44,36.35,36.43,29.14,5622000
2010-08-24,36.0,36.2,35.17,35.97,28.77,8177000
2010-08-25,35.58,36.53,35.28,36.08,28.86,9455400
2010-08-26,36.33,36.85,36.07,36.21,28.96,5875200
2010-08-27,36.39,36.92,35.95,36.85,29.6,9012800
2010-08-30,36.8,37.19,36.15,36.17,29.07,3843400
2010-08-31,35.97,36.76,35.85,36.47,29.3,4738400
2010-09-01,37.06,38.35,36.95,38.19,30.69,7177000
2010-09-02,38.24,38.71,38.17,38.65,31.06,4711400
2010-09-03,38.91,39.81,38.91,39.4,31.66,6300800
2010-09-07,39.08,39.59,39.0,39.18,31.48,5576400
2010-09-08,39.31,39.9,39.21,39.51,31.74,6101400
2010-09-09,39.99,40.0,39.06,39.33,31.6,5766600
2010-09-10,39.42,39.75,39.26,39.37,31.63,4111400
2010-09-13,39.82,39.89,39.38,39.62,31.84,5288400
2010-09-14,39.46,40.08,39.33,39.85,32.02,5570600
2010-09-15,39.57,40.08,39.44,39.54,31.77,7027600
2010-09-16,39.46,39.74,39.22,39.46,31.71,4407600
2010-09-17,39.66,40.01,39.33,39.98,32.12,8484000
2010-09-20,40.1,40.82,40.01,40.37,32.44,6986600
2010-09-21,40.63,41.16,40.47,40.62,32.63,5861800
2010-09-22,40.45,40.69,40.13,40.3,32.38,4537000
2010-09-23,39.95,40.35,39.39,39.58,31.81,5364400
2010-09-24,39.99,41.08,39.82,41.05,32.98,5487600
2010-09-27,41.12,41.25,40.76,40.83,32.8,5401200
2010-09-28,40.87,41.23,40.35,41.15,33.06,5559000
2010-09-29,40.95,41.54,40.79,41.12,33.04,4568400
2010-09-30,41.35,41.48,40.56,40.9,32.86,5448200
2010-10-01,40.81,40.9,40.18,40.51,32.55,7009400
2010-10-04,40.43,40.85,39.66,40.01,32.15,4207200
2010-10-05,40.62,41.28,40.33,41.21,33.11,4881800
2010-10-06,41.2,41.65,41.12,41.65,33.46,4409200
2010-10-07,41.85,41.94,41.42,41.81,33.6,5667800
2010-10-08,41.95,42.62,41.62,42.43,34.09,5511000
2010-10-11,42.62,42.88,42.3,42.53,34.17,3238200
2010-10-12,42.24,42.24,41.38,41.73,33.53,7894400
2010-10-13,42.58,43.66,42.58,43.41,34.88,9363200
2010-10-14,43.2,43.26,42.49,43.06,34.6,7929400
2010-10-15,43.38,43.49,42.5,42.6,34.23,5769600
2010-10-18,42.79,42.8,42.44,42.72,34.32,3524600
2010-10-19,42.26,42.51,41.58,42.15,33.87,5394600
2010-10-20,42.22,43.03,42.22,42.9,34.47,5431800
2010-10-21,42.15,42.71,40.92,42.63,34.25,14529200
2010-10-22,42.53,43.19,42.4,43.15,34.67,6005200
2010-10-25,43.54,44.03,43.4,43.6,35.03,6881000
2010-10-26,43.34,43.96,43.16,43.68,35.1,5294200
2010-10-27,43.18,43.3,42.19,42.72,34.32,6491000
2010-10-28,43.06,43.35,42.47,43.03,34.57,4964000
2010-10-29,42.88,44.02,42.77,43.84,35.23,5309200
2010-11-01,44.33,44.78,44.17,44.45,35.72,6591200
2010-11-02,44.92,45.0,44.56,44.97,36.14,5186400
2010-11-03,45.02,45.56,44.9,45.51,36.57,6166600
2010-11-04,46.24,46.35,45.41,45.86,36.85,11058000
2010-11-05,45.59,46.25,45.28,45.61,36.65,5970000
2010-11-08,45.46,46.11,45.34,45.99,36.95,4375200
2010-11-09,46.14,46.15,45.17,45.17,36.3,6772400
2010-11-10,45.19,45.7,44.94,45.7,36.72,5235600
2010-11-11,45.41,45.87,45.23,45.47,36.53,5200400
2010-11-12,45.14,45.67,44.8,45.15,36.27,5220600
2010-11-15,45.67,46.19,45.51,45.65,36.68,5293800
2010-11-16,45.27,45.51,44.65,44.88,36.06,6073400
2010-11-17,44.85,45.01,44.65,44.96,36.12,4249000
2010-11-18,45.4,46.21,45.4,45.85,36.84,6334000
2010-11-19,45.94,46.04,45.6,45.91,36.89,6698000
2010-11-22,45.8,45.9,44.74,45.16,36.29,7923000
2010-11-23,44.69,44.72,44.16,44.51,35.76,7054600
2010-11-24,44.78,45.49,44.76,45.38,36.46,5338200
2010-11-26,44.82,45.4,44.82,45.05,36.35,1963400
2010-11-29,44.75,45.43,44.24,45.33,36.57,6001400
2010-11-30,44.92,45.4,44.68,45.06,36.35,6087000
2010-12-01,45.73,46.08,45.53,45.71,36.88,6502800
2010-12-02,45.77,47.04,45.77,46.83,37.79,5118400
2010-12-03,46.54,47.37,46.54,47.28,38.14,4373000
2010-12-06,47.25,47.37,47.0,47.21,38.09,4481800
2010-12-07,47.57,47.89,47.02,47.06,37.98,8141600
2010-12-08,47.22,47.24,46.13,46.24,37.31,6137000
