Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,17.53,17.53,17.24,17.24,13.32,914100
2010-01-04,17.42,17.42,17.2,17.27,13.34,2168600
2010-01-05,17.3,17.7,17.05,17.6,13.6,4370700
2010-01-06,17.61,17.62,17.39,17.53,13.54,3084400
2010-01-07,17.46,17.91,17.46,17.87,13.81,2807900
2010-01-08,17.85,17.9,17.7,17.78,13.73,3122700
2010-01-11,17.87,17.93,17.5,17.72,13.69,2386900
2010-01-12,17.67,17.82,17.39,17.54,13.55,2748000
2010-01-13,17.55,17.7,17.46,17.69,13.66,2496900
2010-01-14,17.72,17.79,17.52,17.66,13.65,3488800
2010-01-15,17.67,17.7,17.41,17.57,13.57,2979900
2010-01-19,17.55,17.71,17.55,17.69,13.67,2085300
2010-01-20,17.59,17.66,17.46,17.63,13.62,2556800
2010-01-21,17.66,17.73,17.51,17.52,13.53,4767100
2010-01-22,17.54,17.61,17.04,17.05,13.17,3930600
2010-01-25,17.17,17.18,16.92,16.99,13.12,2996500
2010-01-26,17.0,17.1,16.9,17.03,13.16,2285800
2010-01-27,17.04,17.27,17.0,17.23,13.31,2494800
2010-01-28,17.3,17.33,17.06,17.07,13.19,3187200
2010-01-29,17.1,17.3,16.92,16.96,13.1,1897100
2010-02-01,17.02,17.19,16.95,17.17,13.27,1516100
2010-02-02,17.21,17.48,17.15,17.46,13.49,2646000
2010-02-03,17.28,17.31,17.02,17.12,13.23,2995600
2010-02-04,16.99,17.03,16.74,16.84,13.01,4931900
2010-02-05,16.77,16.89,16.54,16.84,13.01,5502800
2010-02-08,16.8,17.09,16.76,16.81,12.99,2291700
2010-02-09,16.9,17.12,16.89,17.07,13.19,2485900
2010-02-10,17.03,17.22,16.97,17.05,13.17,3974000
2010-02-11,17.46,17.59,17.28,17.5,13.52,8111500
2010-02-12,17.3,17.51,17.3,17.41,13.45,4839700
2010-02-16,17.5,17.78,17.46,17.77,13.73,3445100
2010-02-17,17.83,18.04,17.82,18.02,13.92,4624300
2010-02-18,18.0,18.06,17.84,17.99,13.89,3242000
2010-02-19,18.0,18.07,17.87,18.04,13.94,3091600
2010-02-22,18.08,18.14,18.02,18.06,13.95,1912000
2010-02-23,17.98,18.02,17.74,17.84,13.78,3153200
2010-02-24,17.89,18.06,17.79,18.05,13.94,2009300
2010-02-25,17.83,18.19,17.83,18.19,14.05,2573400
2010-02-26,18.13,18.29,18.05,18.22,14.07,3190200
2010-03-01,18.23,18.36,18.15,18.35,14.18,2944200
2010-03-02,18.36,18.42,18.31,18.38,14.2,3227200
2010-03-03,18.38,18.39,18.24,18.33,14.16,3496500
2010-03-04,18.45,18.45,18.23,18.35,14.18,2511400
2010-03-05,18.31,18.59,18.24,18.55,14.44,2852900
2010-03-08,18.57,18.83,18.56,18.83,14.66,3272200
2010-03-09,18.78,18.83,18.72,18.77,14.61,3044100
2010-03-10,18.74,18.83,18.67,18.82,14.65,2725900
2010-03-11,18.74,18.79,18.57,18.79,14.62,2539000
2010-03-12,18.83,18.83,18.61,18.75,14.59,2040700
2010-03-15,18.68,18.8,18.58,18.76,14.61,3716100
2010-03-16,18.8,18.83,18.69,18.8,14.64,2261600
2010-03-17,18.82,18.98,18.81,18.92,14.73,3631100
2010-03-18,18.91,19.06,18.67,18.8,14.63,3908100
2010-03-19,18.76,18.89,18.72,18.76,14.61,4544500
2010-03-22,18.66,19.02,18.6,18.88,14.7,3626500
2010-03-23,18.89,19.07,18.84,19.07,14.84,3263700
2010-03-24,18.97,19.04,18.79,18.81,14.64,3288300
2010-03-25,18.96,19.05,18.7,18.71,14.56,4473100
2010-03-26,18.79,19.05,18.74,18.95,14.75,5290400
2010-03-29,19.04,19.04,18.77,18.93,14.74,2883900
2010-03-30,18.96,19.02,18.8,18.82,14.65,2576400
2010-03-31,18.76,18.97,18.74,18.87,14.69,2631600
2010-04-01,18.97,19.11,18.95,19.07,14.85,2059000
2010-04-05,19.11,19.43,19.09,19.31,15.03,2828300
2010-04-06,19.25,19.5,19.22,19.42,15.12,2550000
2010-04-07,19.39,19.51,19.29,19.33,15.05,3165100
2010-04-08,19.32,19.35,19.16,19.32,15.04,2529600
2010-04-09,19.67,19.71,19.31,19.69,15.33,4716100
2010-04-12,19.79,19.84,19.67,19.75,15.38,2914500
2010-04-13,19.72,19.88,19.55,19.83,15.44,2288300
2010-04-14,19.89,19.89,19.51,19.7,15.34,5533800
2010-04-15,19.64,19.75,19.54,19.7,15.34,2160500
2010-04-16,19.61,19.79,19.38,19.43,15.12,2768400
2010-04-19,19.37,19.58,19.28,19.45,15.14,2962500
2010-04-20,19.5,19.68,19.46,19.67,15.31,2035600
2010-04-21,19.7,19.88,19.65,19.85,15.45,2236100
2010-04-22,19.76,20.47,19.71,20.44,15.91,5680000
2010-04-23,20.38,20.48,20.23,20.4,15.88,4313400
2010-04-26,20.37,20.66,20.32,20.54,15.99,3124400
2010-04-27,20.46,20.48,20.08,20.12,15.67,4378800
2010-04-28,20.2,20.45,20.03,20.16,15.7,2807900
2010-04-29,20.32,20.54,20.2,20.51,15.97,2123100
2010-04-30,20.91,21.01,20.34,20.34,15.84,6126400
2010-05-03,20.39,20.64,20.21,20.26,15.77,4790400
2010-05-04,19.98,20.1,19.72,19.77,15.39,3928900
2010-05-05,19.64,19.85,19.48,19.6,15.26,5331600
2010-05-06,19.54,19.66,17.79,18.95,14.75,5833700
2010-05-07,18.84,19.09,18.34,18.57,14.46,5733500
2010-05-10,19.43,19.64,19.22,19.56,15.23,4489200
2010-05-11,19.29,19.94,19.24,19.62,15.28,4241200
2010-05-12,19.64,19.98,19.61,19.89,15.49,3363900
2010-05-13,19.95,19.98,19.57,19.62,15.27,3213100
2010-05-14,19.49,19.58,19.11,19.26,14.99,3966300
2010-05-17,19.29,19.3,18.77,19.19,14.94,3495200
2010-05-18,19.39,19.56,19.0,19.01,14.8,4190200
2010-05-19,18.9,19.03,18.55,18.83,14.66,4742000
2010-05-20,18.42,18.49,17.95,18.1,14.09,5195700
2010-05-21,17.8,18.56,17.66,18.34,14.27,4356300
2010-05-24,18.34,18.47,18.18,18.21,14.17,2333400
2010-05-25,17.87,18.18,17.64,18.14,14.12,9061400
2010-05-26,18.29,18.36,17.88,17.91,13.94,7145500
2010-05-27,18.23,18.33,18.08,18.32,14.26,8028200
2010-05-28,18.34,18.47,18.09,18.21,14.17,4142200
2010-06-01,18.07,18.32,17.84,17.85,13.9,3473100
2010-06-02,17.89,18.36,17.73,18.36,14.29,4699500
2010-06-03,18.36,18.5,18.23,18.39,14.31,3016500
2010-06-04,18.03,18.03,17.43,17.52,13.75,4010900
2010-06-07,17.58,17.64,17.23,17.25,13.53,4215200
2010-06-08,17.25,17.42,16.98,17.4,13.65,4303200
2010-06-09,17.5,17.86,17.5,17.58,13.79,4499900
2010-06-10,17.93,18.27,17.84,18.25,14.32,2915800
2010-06-11,18.12,18.43,18.1,18.31,14.36,4124300
2010-06-14,18.43,18.61,18.32,18.38,14.42,3036400
2010-06-15,18.47,18.87,18.38,18.84,14.78,3444700
2010-06-16,18.77,18.83,18.51,18.66,14.64,4666000
2010-06-17,18.7,18.73,18.36,18.5,14.52,5971400
2010-06-18,18.53,18.76,18.45,18.63,14.62,4124800
2010-06-21,18.85,18.87,18.39,18.5,14.51,4109000
2010-06-22,18.58,18.73,17.95,17.98,14.1,3674900
2010-06-23,17.97,18.03,17.7,17.9,14.04,4652400
2010-06-24,17.83,17.84,17.48,17.59,13.8,4934400
2010-06-25,17.59,17.76,17.44,17.73,13.91,6224500
2010-06-28,17.71,17.92,17.6,17.7,13.89,2935300
2010-06-29,17.42,17.43,16.88,17.01,13.34,6582700
2010-06-30,16.95,17.11,16.72,16.76,13.15,5318000
2010-07-01,16.73,16.99,16.45,16.84,13.21,4539400
2010-07-02,16.86,16.97,16.55,16.62,13.04,3172800
2010-07-06,16.78,16.92,16.3,16.46,12.91,3489300
2010-07-07,16.47,17.11,16.42,17.08,13.4,3973500
2010-07-08,17.16,17.53,17.16,17.48,13.72,4664700
2010-07-09,17.67,17.67,17.38,17.63,13.83,3382200
2010-07-12,17.54,17.74,17.4,17.51,13.73,3853700
2010-07-13,17.78,18.02,17.67,17.94,14.07,2925500
2010-07-14,17.84,17.95,17.64,17.93,14.06,4262000
2010-07-15,17.91,18.0,17.63,17.9,14.05,4686300
2010-07-16,17.82,17.86,17.11,17.15,13.46,4531700
2010-07-19,17.24,17.38,16.97,17.14,13.44,2872000
2010-07-20,16.86,17.66,16.85,17.66,13.85,3640500
2010-07-21,17.76,17.81,17.37,17.41,13.66,4578400
2010-07-22,18.41,18.71,17.92,18.46,14.48,6954400
2010-07-23,18.59,19.01,18.59,18.78,14.73,7412300
2010-07-26,18.84,19.33,18.75,19.27,15.12,5278100
2010-07-27,19.3,19.33,18.72,18.92,14.84,4910600
2010-07-28,18.84,18.99,18.58,18.72,14.69,3457400
2010-07-29,18.8,18.88,18.39,18.65,14.63,3367300
2010-07-30,18.42,18.71,18.32,18.67,14.65,4624300
2010-08-02,18.95,19.18,18.91,19.04,14.94,3725000
2010-08-03,18.9,18.97,18.68,18.71,14.68,2356300
2010-08-04,18.79,19.13,18.77,19.09,14.98,2348700
2010-08-05,18.91,19.07,18.77,19.02,14.92,2183800
2010-08-06,18.86,19.06,18.72,18.97,14.88,3184300
2010-08-09,19.11,19.13,18.91,18.95,14.87,2850800
2010-08-10,18.82,18.96,18.59,18.89,14.82,3530900
2010-08-11,18.6,18.62,18.2,18.33,14.38,3538500
2010-08-12,18.13,18.19,17.95,18.15,14.24,3529200
2010-08-13,18.09,18.2,18.0,18.01,14.13,2071300
2010-08-16,17.94,18.12,17.71,18.03,14.15,1965100
2010-08-17,18.21,18.47,18.09,18.32,14.37,1858000
