Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,15.45,15.48,15.19,15.31,10.96,4796600
2010-01-04,15.77,16.4,15.64,16.35,11.71,15454500
2010-01-05,16.56,16.97,16.43,16.77,12.01,17087200
2010-01-06,16.81,17.39,16.6,17.19,12.31,16896900
2010-01-07,17.17,17.41,16.8,17.32,12.4,12077800
2010-01-08,17.3,17.35,16.94,17.08,12.23,13914200
2010-01-11,17.24,17.3,16.65,16.92,12.11,10924500
2010-01-12,16.61,16.71,16.26,16.65,11.92,10643800
2010-01-13,16.64,16.64,16.14,16.51,11.82,16334700
2010-01-14,16.51,16.79,16.36,16.7,11.96,9420900
2010-01-15,16.68,17.18,16.59,17.16,12.28,21476500
2010-01-19,17.14,17.3,16.97,17.25,12.35,13518600
2010-01-20,17.08,17.57,17.02,17.48,12.51,19232000
2010-01-21,17.44,17.56,16.94,17.28,12.37,14618500
2010-01-22,17.08,17.14,16.54,16.62,11.9,15366200
2010-01-25,16.76,16.96,16.5,16.77,12.01,10782600
2010-01-26,16.69,17.41,16.62,17.39,12.45,22434700
2010-01-27,17.22,17.42,16.76,17.08,12.23,25500800
2010-01-28,17.05,17.17,16.45,16.85,12.06,16059700
2010-01-29,16.87,17.41,16.81,16.84,12.05,16339100
2010-02-01,17.06,17.54,17.05,17.51,12.54,13116400
2010-02-02,17.56,17.65,17.2,17.61,12.6,12607900
2010-02-03,17.3,17.5,17.04,17.31,12.39,8913000
2010-02-04,17.04,17.11,16.53,16.55,11.85,10470100
2010-02-05,16.5,16.61,15.99,16.6,11.88,13516200
2010-02-08,16.58,16.65,16.28,16.32,11.68,7159400
2010-02-09,16.52,16.72,16.3,16.54,11.84,9645500
2010-02-10,16.46,16.55,16.12,16.45,11.78,8711100
2010-02-11,16.46,16.54,16.1,16.45,11.78,14182600
2010-02-12,16.25,16.27,16.01,16.18,11.61,12805700
2010-02-16,16.31,16.48,16.24,16.43,11.79,9928400
2010-02-17,16.45,16.54,16.19,16.29,11.69,8019200
2010-02-18,16.25,16.33,16.1,16.17,11.61,12758800
2010-02-19,16.22,16.4,16.06,16.35,11.74,9502500
2010-02-22,16.44,16.45,16.18,16.25,11.67,10545100
2010-02-23,16.19,16.25,15.8,15.98,11.47,11636400
2010-02-24,15.99,16.26,15.8,16.09,11.55,9561700
2010-02-25,15.83,15.95,15.65,15.95,11.45,10209000
2010-02-26,15.96,16.25,15.92,16.01,11.5,7680000
2010-03-01,16.13,16.23,16.09,16.12,11.58,6410600
2010-03-02,16.08,16.84,16.01,16.64,11.94,14737400
2010-03-03,16.74,17.22,16.7,17.02,12.22,12679800
2010-03-04,17.07,17.24,16.91,17.2,12.35,9867900
2010-03-05,17.29,17.94,17.29,17.89,12.84,15482200
2010-03-08,17.91,18.17,17.87,17.93,12.87,8676200
2010-03-09,17.76,18.01,17.74,17.85,12.82,8237600
2010-03-10,17.93,18.82,17.91,18.76,13.47,18427700
2010-03-11,18.66,19.11,18.45,18.66,13.39,13469900
2010-03-12,18.76,18.81,18.38,18.68,13.41,10460600
2010-03-15,18.61,18.67,18.21,18.61,13.36,10811500
2010-03-16,18.67,18.83,18.52,18.79,13.49,9592700
2010-03-17,18.86,19.17,18.78,18.88,13.56,11251500
2010-03-18,18.89,19.05,18.6,18.78,13.49,8108900
2010-03-19,18.56,18.88,18.24,18.56,13.33,10598400
2010-03-22,18.09,18.63,17.96,18.55,13.31,10229100
2010-03-23,18.56,18.61,18.37,18.56,13.32,8356900
2010-03-24,18.38,18.98,18.24,18.91,13.58,12482600
2010-03-25,19.02,19.2,18.14,18.16,13.04,14255400
2010-03-26,18.28,18.35,17.64,18.03,12.94,14513500
2010-03-29,18.14,18.27,17.95,18.18,13.05,9463400
2010-03-30,18.21,18.24,18.01,18.14,13.02,9559800
2010-03-31,18.11,18.12,17.82,18.01,12.93,12576900
2010-04-01,18.14,18.47,17.99,18.3,13.14,11606300
2010-04-05,18.41,18.88,18.24,18.86,13.54,11105400
2010-04-06,18.79,19.05,18.7,18.96,13.61,8179100
2010-04-07,18.84,18.84,18.28,18.38,13.2,9113500
2010-04-08,18.03,18.47,17.65,18.3,13.14,13149400
2010-04-09,18.48,18.69,18.14,18.29,13.13,9463300
2010-04-12,18.21,18.28,17.86,17.92,12.86,11397700
2010-04-13,17.92,18.13,17.77,17.98,12.91,15432800
2010-04-14,18.08,18.63,18.01,18.61,13.36,17821400
2010-04-15,18.62,18.67,17.99,18.16,13.04,25871300
2010-04-16,18.07,18.1,17.24,17.5,12.57,28844000
2010-04-19,17.4,17.7,17.15,17.38,12.47,12104000
2010-04-20,17.51,17.98,17.39,17.9,12.85,12273600
2010-04-21,17.92,18.05,17.37,17.58,12.62,12050000
2010-04-22,17.49,17.81,17.24,17.78,12.76,7964300
2010-04-23,17.82,18.2,17.78,18.17,13.05,10359600
2010-04-26,18.21,18.57,18.15,18.39,13.2,18712600
2010-04-27,18.61,18.81,18.17,18.19,13.06,22198200
2010-04-28,18.3,18.69,18.3,18.67,13.41,14050300
2010-04-29,18.76,19.41,18.69,19.34,13.89,14630000
2010-04-30,19.36,19.64,18.97,19.0,13.64,13170700
2010-05-03,19.21,19.58,19.01,19.53,14.02,9739400
2010-05-04,19.28,19.28,18.54,18.71,13.43,13089300
2010-05-05,18.33,19.06,17.95,18.61,13.36,11902200
2010-05-06,18.47,18.57,16.56,17.69,12.7,18023800
2010-05-07,17.58,17.89,16.74,16.93,12.15,18320700
2010-05-10,17.55,18.14,17.53,18.03,12.95,13549800
2010-05-11,17.78,18.24,17.69,17.89,12.84,9557000
2010-05-12,17.96,18.84,17.92,18.79,13.49,11441000
2010-05-13,18.78,19.07,18.7,18.86,13.54,10202400
2010-05-14,18.68,18.76,18.09,18.4,13.21,9933500
2010-05-17,18.28,18.53,17.42,17.79,12.8,14606900
2010-05-18,18.01,18.24,17.28,17.4,12.53,11493800
2010-05-19,17.36,17.45,16.8,17.2,12.38,13770600
2010-05-20,16.81,16.88,16.23,16.34,11.76,18157300
2010-05-21,15.92,16.75,15.82,16.58,11.93,15423700
2010-05-24,16.44,16.67,16.19,16.19,11.65,8673600
2010-05-25,15.68,15.91,15.38,15.89,11.43,13703900
2010-05-26,16.17,16.47,16.02,16.08,11.57,12686800
2010-05-27,16.41,17.21,16.4,17.18,12.37,14812100
2010-05-28,17.13,17.37,16.84,17.07,12.29,11715900
2010-06-01,16.66,17.29,16.01,16.05,11.55,18158100
2010-06-02,16.04,16.3,15.73,16.3,11.73,15593400
2010-06-03,16.34,16.68,16.2,16.64,11.97,11537300
2010-06-04,16.18,16.37,15.69,15.79,11.36,13236900
2010-06-07,15.89,15.97,15.57,15.64,11.26,15098500
2010-06-08,15.51,15.83,15.04,15.41,11.09,15670700
2010-06-09,15.51,15.59,14.84,14.95,10.76,24325100
2010-06-10,15.25,15.81,15.24,15.79,11.36,11099700
2010-06-11,15.51,15.8,15.42,15.77,11.35,6600900
2010-06-14,15.96,16.59,15.96,16.02,11.53,12665700
2010-06-15,16.23,16.66,16.2,16.64,11.97,9000300
2010-06-16,16.58,16.65,16.21,16.6,11.95,9435400
2010-06-17,16.63,16.68,16.22,16.4,11.8,8686200
2010-06-18,16.44,16.52,16.18,16.44,11.83,8844100
2010-06-21,16.68,16.99,16.45,16.58,11.93,9741500
2010-06-22,16.53,16.69,16.18,16.27,11.71,7452800
2010-06-23,16.45,16.65,16.05,16.6,11.95,12458400
2010-06-24,16.5,16.69,16.32,16.52,11.89,9442200
2010-06-25,16.57,17.29,16.34,17.16,12.35,18288200
2010-06-28,17.18,17.18,16.8,16.91,12.17,7789400
2010-06-29,16.66,16.69,15.88,16.16,11.63,11692200
2010-06-30,16.18,16.79,16.12,16.44,11.83,13990900
2010-07-01,16.48,16.58,15.52,15.78,11.35,13377400
2010-07-02,15.87,15.96,15.29,15.46,11.12,9118900
2010-07-06,15.72,16.05,15.26,15.4,11.08,10676700
2010-07-07,15.59,16.14,15.46,16.1,11.58,9322900
2010-07-08,16.22,16.44,16.0,16.36,11.78,7451400
2010-07-09,16.35,16.42,16.12,16.35,11.77,7113700
2010-07-12,16.34,16.48,16.06,16.26,11.7,6491200
2010-07-13,16.56,16.64,16.43,16.54,11.9,6272700
2010-07-14,16.41,16.48,15.91,16.12,11.6,11127200
2010-07-15,16.21,16.41,15.92,16.34,11.76,8010000
2010-07-16,16.22,16.31,15.8,15.87,11.42,6840100
2010-07-19,15.84,15.88,15.49,15.68,11.28,8783100
2010-07-20,15.6,15.83,15.52,15.8,11.37,13105700
2010-07-21,15.94,15.94,15.4,15.57,11.2,11047600
2010-07-22,15.68,15.89,15.41,15.68,11.28,15970400
2010-07-23,15.61,15.68,15.4,15.62,11.24,12842600
2010-07-26,15.63,16.12,15.56,16.05,11.55,19168800
2010-07-27,16.5,16.59,15.8,15.9,11.44,18512300
2010-07-28,15.87,16.11,15.55,15.57,11.2,14969800
2010-07-29,15.68,15.81,15.28,15.45,11.12,11965800
2010-07-30,15.42,15.59,15.23,15.53,11.18,15187700
2010-08-02,15.77,15.78,15.53,15.64,11.26,12490100
2010-08-03,15.71,16.22,15.6,16.16,11.63,17017900
2010-08-04,16.12,16.49,16.03,16.44,11.83,13504500
2010-08-05,16.38,16.81,16.19,16.74,12.05,11932200
2010-08-06,16.54,16.75,16.15,16.51,11.88,9371300
2010-08-09,16.55,16.7,16.52,16.66,11.99,5302900
2010-08-10,16.51,16.57,16.25,16.44,11.83,9102600
2010-08-11,16.17,16.18,15.61,15.67,11.28,9417300
2010-08-12,15.65,15.69,15.44,15.48,11.14,12214600
2010-08-13,15.46,15.7,15.4,15.4,11.08,9303300
2010-08-16,15.39,15.52,15.27,15.45,11.15,9002800
2010-08-17,15.59,15.59,15.17,15.3,11.05,12198400
2010-08-18,15.37,15.72,15.2,15.58,11.24,10287100
2010-08-19,15.53,15.63,15.17,15.31,11.05,10236300
2010-08-20,15.16,15.27,14.89,15.12,10.91,9190100
2010-08-23,15.16,15.36,14.91,14.96,10.8,7687500
2010-08-24,14.79,14.9,14.65,14.8,10.68,12288200
2010-08-25,14.69,14.74,14.37,14.69,10.6,11271000
2010-08-26,14.79,14.8,14.21,14.31,10.33,13813800
2010-08-27,14.37,14.76,14.16,14.72,10.62,8540500
2010-08-30,14.71,14.9,14.64,14.64,10.57,8304500
2010-08-31,14.62,14.71,14.31,14.41,10.41,9043900
2010-09-01,14.63,14.93,14.54,14.81,10.69,8932900
2010-09-02,14.84,15.3,14.82,15.21,10.98,8773300
2010-09-03,15.44,15.53,15.3,15.48,11.18,6111100
2010-09-07,15.36,15.64,15.17,15.47,11.16,10061200
2010-09-08,15.45,15.65,15.32,15.42,11.13,5192100
2010-09-09,15.55,15.62,15.32,15.38,11.1,3416900
2010-09-10,15.44,15.77,15.44,15.5,11.19,6856300
2010-09-13,15.65,15.9,15.53,15.87,11.45,7076100
2010-09-14,15.9,16.01,15.67,15.92,11.49,6193100
2010-09-15,15.8,15.89,15.56,15.85,11.44,5620900
2010-09-16,15.74,15.88,15.66,15.73,11.36,5761400
2010-09-17,15.78,15.84,15.49,15.53,11.21,8578400
2010-09-20,15.54,15.84,15.5,15.76,11.38,7486500
2010-09-21,15.73,15.84,15.57,15.68,11.32,6866000
2010-09-22,15.55,15.76,15.29,15.33,11.06,8908100
2010-09-23,15.24,15.4,15.15,15.21,10.98,6659300
2010-09-24,15.41,15.51,15.31,15.37,11.1,7432100
2010-09-27,15.37,15.63,15.27,15.43,11.14,6131700
2010-09-28,15.4,15.68,15.36,15.6,11.26,7503100
2010-09-29,15.54,16.0,15.52,15.79,11.39,8992500
2010-09-30,15.95,16.09,15.73,16.01,11.55,9520200
2010-10-01,16.17,16.24,15.95,16.13,11.65,6201800
2010-10-04,16.06,16.13,15.69,15.77,11.38,4836900
2010-10-05,15.9,16.18,15.86,16.07,11.6,5770500
2010-10-06,16.04,16.18,15.82,15.94,11.51,6377300
2010-10-07,16.01,16.2,15.93,16.15,11.66,5555200
2010-10-08,16.12,16.44,16.04,16.35,11.8,4772400
2010-10-11,16.43,16.6,16.33,16.54,11.94,5047600
2010-10-12,16.45,16.48,16.2,16.43,11.86,5063000
2010-10-13,16.5,16.91,16.49,16.69,12.05,8368800
2010-10-14,16.78,17.07,16.45,16.6,11.98,7054100
2010-10-15,16.73,16.76,16.39,16.54,11.94,6048500
