Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,52.17,52.85,51.15,51.17,33.63,1760200
2010-01-04,51.68,52.27,50.93,51.23,33.67,2307400
2010-01-05,51.26,51.26,50.23,50.84,33.41,2751900
2010-01-06,50.91,51.36,50.28,50.63,33.28,2105000
2010-01-07,50.48,52.02,50.19,51.42,33.79,2492000
2010-01-08,51.01,51.23,50.36,50.85,33.42,1729900
2010-01-11,51.04,51.32,50.59,51.01,33.52,1449600
2010-01-12,50.65,51.0,49.75,50.31,33.06,2121200
2010-01-13,50.47,51.64,50.15,51.55,33.88,2809700
2010-01-14,51.38,51.86,51.13,51.76,34.02,2268900
2010-01-15,51.59,51.81,51.02,51.29,33.71,2863600
2010-01-19,51.32,51.98,51.08,51.71,33.98,3320400
2010-01-20,51.37,51.37,50.38,50.59,33.25,2609200
2010-01-21,50.61,50.93,48.59,48.65,31.97,3954000
2010-01-22,48.64,49.22,47.12,47.34,31.11,3469000
2010-01-25,48.11,48.11,46.82,47.49,31.21,3221100
2010-01-26,46.82,47.7,46.64,46.95,31.17,2659000
2010-01-27,46.79,47.7,46.19,47.62,31.61,2939900
2010-01-28,47.91,48.02,47.01,47.33,31.42,2597900
2010-01-29,47.53,48.26,47.01,47.32,31.41,3825700
2010-02-01,47.68,48.33,47.58,48.33,32.08,3043200
2010-02-02,48.48,49.03,47.83,48.92,32.48,3185700
2010-02-03,48.6,48.62,47.64,47.94,31.83,2344300
2010-02-04,47.64,47.8,46.12,46.19,30.66,4845800
2010-02-05,46.33,47.34,45.55,47.02,31.22,4193900
2010-02-08,46.9,47.53,45.87,46.0,30.54,2840500
2010-02-09,46.56,46.86,45.35,46.1,30.6,3291000
2010-02-10,46.03,46.6,45.18,45.92,30.48,3038600
2010-02-11,45.86,46.08,45.27,45.72,30.35,3228100
2010-02-12,45.24,46.0,44.81,45.87,30.45,3342600
2010-02-16,46.21,47.17,45.97,47.13,31.29,3627700
2010-02-17,47.51,47.51,46.19,46.71,31.01,3262800
2010-02-18,46.59,47.65,46.3,47.43,31.49,2513000
2010-02-19,47.2,48.28,46.91,48.01,31.87,2870300
2010-02-22,48.23,48.39,47.83,48.05,31.9,2155500
2010-02-23,47.23,48.03,47.18,47.24,31.36,2368100
2010-02-24,47.62,48.02,47.04,47.78,31.72,2223300
2010-02-25,47.26,48.1,47.04,48.06,31.9,1689300
2010-02-26,48.03,48.59,47.45,48.08,31.92,3436700
2010-03-01,48.28,48.86,48.01,48.43,32.15,1730000
2010-03-02,48.64,49.02,48.42,48.54,32.23,1814600
2010-03-03,48.66,49.02,48.25,48.62,32.27,1557500
2010-03-04,48.6,49.24,48.49,49.11,32.6,1991500
2010-03-05,49.37,50.78,49.16,50.67,33.64,2285200
2010-03-08,50.68,51.8,50.67,51.6,34.26,1721900
2010-03-09,51.35,52.65,51.23,52.27,34.7,2177300
2010-03-10,52.24,53.25,52.12,53.24,35.34,2195100
2010-03-11,52.85,53.52,52.7,53.51,35.52,1886700
2010-03-12,53.95,54.2,53.37,53.99,35.84,2195000
2010-03-15,53.88,54.19,53.18,53.86,35.76,1696400
2010-03-16,54.07,55.34,53.82,55.17,36.63,2471800
2010-03-17,55.29,56.13,55.13,55.79,37.04,2272700
2010-03-18,55.89,56.25,55.48,55.66,36.95,1740200
2010-03-19,55.19,56.1,54.96,55.19,36.64,2653900
2010-03-22,54.72,55.88,54.72,55.51,36.85,1760700
2010-03-23,55.62,55.68,54.89,55.57,36.89,1656500
2010-03-24,55.4,56.37,55.35,55.89,37.1,1875700
2010-03-25,56.28,57.36,56.11,56.18,37.3,2359800
2010-03-26,56.41,56.53,55.66,56.0,37.17,2354700
2010-03-29,56.21,56.31,55.66,56.29,37.37,1775500
2010-03-30,56.22,56.6,55.75,56.15,37.28,1507000
2010-03-31,55.79,56.11,55.35,55.38,36.77,2429800
2010-04-01,55.76,56.14,55.07,55.49,36.84,2120300
2010-04-05,55.74,57.34,55.63,57.34,38.06,2104600
2010-04-06,56.95,58.76,56.92,58.23,38.66,3199800
2010-04-07,58.19,58.4,56.26,56.52,37.52,2583800
2010-04-08,56.25,56.72,56.17,56.36,37.41,1807300
2010-04-09,56.53,57.96,56.49,57.94,38.47,1894000
2010-04-12,57.86,58.21,57.18,57.24,38.0,1573000
2010-04-13,57.26,59.99,57.24,59.63,39.59,3179400
2010-04-14,59.95,60.16,58.85,59.29,39.36,2747500
2010-04-15,59.06,59.38,57.2,57.24,38.0,3230900
2010-04-16,57.08,58.3,55.93,56.03,37.2,3275500
2010-04-19,55.7,56.7,55.31,56.21,37.32,1527000
2010-04-20,56.6,57.18,55.84,57.13,37.93,1744000
2010-04-21,57.07,58.66,56.92,58.27,38.68,1833700
2010-04-22,57.68,59.9,57.43,59.57,39.55,2270100
2010-04-23,59.74,60.51,58.95,60.37,40.07,2160500
2010-04-26,60.15,61.54,60.14,61.19,40.62,2452400
2010-04-27,60.72,60.91,59.19,59.27,39.35,3015300
2010-04-28,59.58,59.92,59.08,59.6,39.57,2629200
2010-04-29,60.3,63.22,60.08,63.18,41.94,3189900
2010-04-30,62.89,63.47,60.78,60.99,40.49,3468600
2010-05-03,61.51,63.5,61.12,62.95,41.79,2988000
2010-05-04,62.38,62.66,60.66,61.09,40.55,3263800
2010-05-05,60.07,61.15,58.45,60.37,40.07,2751800
2010-05-06,59.3,60.07,53.05,57.34,38.37,4795200
2010-05-07,57.12,58.61,55.29,56.0,37.47,4361600
2010-05-10,58.51,59.98,57.94,59.92,40.09,3841900
2010-05-11,59.0,60.51,58.76,59.9,40.08,2314600
2010-05-12,60.23,61.14,59.65,60.88,40.74,2316700
2010-05-13,60.78,60.93,59.68,59.9,40.08,1996300
2010-05-14,59.45,59.51,57.53,58.2,38.94,2560700
2010-05-17,58.29,59.24,56.29,58.13,38.9,2555800
2010-05-18,58.87,59.19,56.2,56.36,37.71,3126500
2010-05-19,56.07,57.26,54.32,55.89,37.4,3093400
2010-05-20,54.75,55.62,53.6,53.77,35.98,3776300
2010-05-21,52.81,55.75,52.46,55.61,37.21,5129900
2010-05-24,55.7,55.95,53.87,53.9,36.07,2622600
2010-05-25,52.38,54.62,51.98,54.51,36.48,2985800
2010-05-26,55.25,55.79,53.86,54.12,36.21,3353300
2010-05-27,55.24,57.95,55.05,57.86,38.71,3140100
2010-05-28,58.38,58.38,56.66,56.83,38.03,2582300
2010-06-01,56.36,57.1,55.36,55.5,37.14,2565600
2010-06-02,55.83,57.01,55.0,56.96,38.12,2939700
2010-06-03,56.96,57.05,55.7,56.28,37.66,2063100
2010-06-04,55.0,55.67,52.53,52.75,35.3,3789100
2010-06-07,52.96,54.05,52.48,52.52,35.14,2802200
2010-06-08,52.57,53.52,51.26,53.25,35.63,3361500
2010-06-09,53.66,55.19,53.17,53.44,35.76,2411200
2010-06-10,54.26,56.14,54.06,55.93,37.43,2649500
2010-06-11,55.34,56.41,55.13,56.29,37.67,2302600
2010-06-14,56.81,57.71,56.36,57.02,38.16,3241800
2010-06-15,57.54,58.4,56.9,58.24,38.97,2919000
2010-06-16,57.8,58.46,57.45,58.19,38.94,2310500
2010-06-17,58.25,58.57,57.51,58.34,39.04,1689400
2010-06-18,58.52,58.84,57.89,58.08,38.86,3345900
2010-06-21,58.81,59.63,58.13,58.32,39.02,2406300
2010-06-22,58.4,58.87,56.49,56.62,37.89,2886500
2010-06-23,56.63,57.31,55.61,56.8,38.01,2601400
2010-06-24,56.33,57.19,55.62,55.79,37.33,3133900
2010-06-25,56.41,57.72,55.99,57.56,38.52,3342900
2010-06-28,57.94,57.94,56.39,56.55,37.84,1840200
2010-06-29,55.72,56.3,53.69,54.12,36.21,3244400
2010-06-30,54.26,55.12,53.2,53.37,35.71,3163000
2010-07-01,53.55,53.96,52.12,53.39,35.73,2502800
2010-07-02,53.41,53.8,51.92,52.04,34.82,2264400
2010-07-06,53.3,53.51,50.18,50.85,34.02,3839400
2010-07-07,51.1,53.31,50.88,53.31,35.67,3227700
2010-07-08,53.93,54.28,52.74,53.69,35.93,2307000
2010-07-09,53.5,54.92,53.46,54.87,36.72,2030500
2010-07-12,54.7,55.34,54.19,55.32,37.02,2097700
2010-07-13,55.98,56.73,55.51,56.55,37.84,2240000
2010-07-14,55.84,56.58,55.32,56.1,37.54,1147500
2010-07-15,56.22,56.41,54.75,56.25,37.64,1362900
2010-07-16,55.57,55.86,54.12,54.63,36.55,2645500
2010-07-19,54.87,55.7,54.04,55.42,37.08,1900200
2010-07-20,54.54,56.5,54.21,56.44,37.77,1899400
2010-07-21,57.13,57.31,55.05,55.28,36.99,2100300
2010-07-22,55.72,58.29,55.72,57.87,38.72,2705000
2010-07-23,57.8,58.68,56.93,58.62,39.22,1626900
2010-07-26,58.76,60.76,58.18,60.62,40.56,2224100
2010-07-27,61.18,61.41,59.83,60.47,40.47,2354800
2010-07-28,60.33,61.33,59.82,60.8,40.68,1866600
2010-07-29,61.29,61.29,59.63,60.29,40.34,1291900
2010-07-30,59.43,60.74,59.41,60.56,40.52,2291900
2010-08-02,61.46,63.34,60.77,63.22,42.3,2498400
2010-08-03,62.52,62.87,61.78,62.03,41.51,1989400
2010-08-04,62.3,62.85,62.12,62.67,41.93,1321400
2010-08-05,62.18,62.71,61.61,62.15,41.59,1537500
2010-08-06,61.46,62.15,60.92,62.08,41.54,1610800
2010-08-09,61.79,62.67,61.59,62.61,42.22,1329700
2010-08-10,62.07,62.18,60.71,61.43,41.42,1832400
2010-08-11,60.59,61.02,59.96,60.26,40.64,2325900
2010-08-12,59.46,60.23,59.3,59.47,40.1,1796200
2010-08-13,59.44,60.13,59.25,59.26,39.96,1665200
2010-08-16,59.03,59.84,58.86,59.36,40.03,1276900
2010-08-17,60.09,61.92,59.72,61.48,41.46,2525800
2010-08-18,61.48,62.01,61.02,61.47,41.45,1696700
2010-08-19,61.29,61.32,59.23,59.66,40.23,1868900
2010-08-20,59.26,59.82,58.75,59.3,39.99,1440400
2010-08-23,59.78,60.15,59.14,59.23,39.94,1202100
2010-08-24,58.7,59.21,57.99,58.55,39.48,1378500
2010-08-25,58.24,59.71,58.24,59.42,40.07,1602500
2010-08-26,59.77,60.06,58.65,58.84,39.68,1711000
2010-08-27,59.15,59.74,57.84,59.68,40.25,2250800
2010-08-30,59.29,60.24,58.84,58.87,39.7,1484400
2010-08-31,58.83,59.66,58.46,59.3,39.99,1945800
2010-09-01,60.26,61.87,59.97,61.67,41.59,3060800
2010-09-02,61.81,63.04,61.72,63.02,42.49,2259000
2010-09-03,63.44,64.04,62.94,63.95,43.12,1930700
2010-09-07,63.37,63.51,62.7,62.74,42.3,1615500
2010-09-08,63.14,63.53,62.5,62.84,42.37,1612500
2010-09-09,63.61,64.1,61.71,61.86,41.71,1913000
2010-09-10,62.14,62.53,61.66,62.11,41.88,1489800
2010-09-13,63.15,63.17,62.3,62.94,42.44,1506900
2010-09-14,62.76,63.42,62.31,62.75,42.31,2038900
2010-09-15,62.23,63.68,62.21,63.5,42.82,1308600
2010-09-16,63.34,63.46,62.55,63.01,42.49,1050300
2010-09-17,63.28,63.47,62.49,63.31,42.69,2050800
2010-09-20,63.79,65.14,63.35,64.79,43.69,2104700
2010-09-21,64.84,65.16,63.79,64.64,43.59,2659100
2010-09-22,64.18,65.03,63.67,63.85,43.06,2258600
2010-09-23,63.55,63.64,61.95,61.97,41.78,2167700
2010-09-24,62.79,63.84,62.46,63.65,42.92,2238400
2010-09-27,63.39,63.98,62.95,63.54,42.85,2029500
2010-09-28,63.5,63.53,62.39,63.34,42.71,2345700
2010-09-29,63.0,63.16,62.22,62.46,42.11,1432800
2010-09-30,62.79,63.52,62.18,62.57,42.19,2675200
2010-10-01,63.27,63.34,62.04,62.89,42.41,1817800
2010-10-04,62.93,63.61,62.59,63.59,42.88,1693500
2010-10-05,64.36,64.97,63.61,64.64,43.59,2614100
2010-10-06,64.4,64.73,63.28,63.76,42.99,1841600
2010-10-07,64.1,64.51,63.53,63.72,42.96,1219600
2010-10-08,63.87,64.08,63.31,63.61,42.89,1547700
2010-10-11,63.61,63.98,63.32,63.63,42.9,903800
2010-10-12,63.28,64.18,62.86,64.05,43.19,1484500
2010-10-13,64.27,64.97,64.09,64.43,43.45,1994600
2010-10-14,64.18,64.89,63.87,64.28,43.34,2069300
2010-10-15,64.84,65.0,63.53,63.8,43.02,1746300
2010-10-18,63.91,64.92,63.91,64.92,43.78,1953300
2010-10-19,64.2,64.98,63.61,64.01,43.16,1737600
2010-10-20,64.1,66.34,64.1,65.7,44.3,2107700
2010-10-21,66.11,66.76,65.73,66.42,44.79,1880600
2010-10-22,66.27,66.73,66.1,66.62,44.92,1360900
2010-10-25,66.86,67.07,66.36,66.63,44.93,1131600
2010-10-26,66.04,66.2,65.44,65.95,44.47,955200
2010-10-27,65.64,65.68,64.47,64.94,43.79,1892400
2010-10-28,65.17,65.56,63.86,64.24,43.31,1878700
2010-10-29,64.07,64.65,63.91,63.94,43.11,1580000
2010-11-01,64.48,65.22,63.84,64.44,43.45,1382100
2010-11-02,65.23,65.38,64.3,65.32,44.04,1396300
2010-11-03,65.46,65.58,64.56,64.86,43.74,1264700
2010-11-04,65.18,65.46,64.67,65.14,43.93,3464000
2010-11-05,64.96,66.54,64.85,65.74,44.33,1788300
2010-11-08,65.14,65.42,64.25,64.36,43.71,1577000
2010-11-09,64.4,64.4,61.34,61.81,41.98,2862600
2010-11-10,61.76,62.54,61.43,62.33,42.33,2642400
2010-11-11,61.82,62.64,60.87,61.13,41.52,2052600
2010-11-12,60.66,61.42,60.39,60.79,41.29,2032700
2010-11-15,61.03,61.31,59.87,59.98,40.74,1643300
2010-11-16,59.54,59.83,57.34,57.89,39.32,4132400
2010-11-17,58.07,58.48,57.5,57.8,39.26,1938900
2010-11-18,58.63,58.74,57.49,57.94,39.35,2540900
2010-11-19,57.97,58.7,57.11,58.69,39.86,2116600
2010-11-22,58.48,59.38,58.34,59.23,40.23,2045000
2010-11-23,58.53,59.06,58.29,59.06,40.11,1883200
2010-11-24,59.25,60.33,59.17,60.15,40.85,1464300
2010-11-26,59.48,60.23,59.48,59.82,40.63,576900
2010-11-29,59.34,60.02,58.91,59.89,40.68,1329200
2010-11-30,59.44,60.15,59.18,59.68,40.54,2092000
2010-12-01,60.56,60.61,59.68,60.0,40.75,1580500
2010-12-02,60.02,60.45,59.59,60.37,41.01,1967800
2010-12-03,60.11,60.77,59.87,60.61,41.17,990000
2010-12-06,60.3,60.52,59.4,60.42,41.04,1581100
2010-12-07,60.8,61.51,60.64,61.12,41.51,2140500
2010-12-08,61.05,61.13,59.79,60.16,40.86,1967000
2010-12-09,60.42,60.65,59.44,59.61,40.49,1369400
2010-12-10,59.57,60.13,59.5,59.82,40.63,1044800
2010-12-13,59.87,60.6,59.86,60.07,40.8,747600
2010-12-14,59.96,60.99,59.43,59.67,40.53,1398300
2010-12-15,59.44,60.17,58.72,58.77,39.92,1618600
2010-12-16,58.99,59.19,58.29,58.59,39.79,1300800
2010-12-17,58.58,58.77,58.23,58.46,39.7,2656400
2010-12-20,58.46,59.04,58.4,59.0,40.08,1825800
2010-12-21,59.19,59.96,58.78,59.83,40.64,1574000
2010-12-22,59.82,60.98,59.79,60.36,41.0,1179300
2010-12-23,60.13,60.58,59.98,60.07,40.8,1133000
2010-12-27,59.93,60.76,59.74,60.75,41.26,801200
2010-12-28,60.75,61.11,60.42,60.91,41.37,750600
2010-12-29,61.03,61.6,60.41,61.46,41.74,1072200
2010-12-30,61.23,61.5,60.91,61.24,41.6,699800
2010-12-31,61.22,61.52,60.86,60.96,41.41,1015200
2011-01-03,61.39,62.57,61.16,62.49,42.45,1765900
2011-01-04,62.75,62.81,61.21,61.46,41.74,1704800
2011-01-05,61.24,62.11,61.11,61.68,41.9,1143600
2011-01-06,61.6,61.83,60.96,61.27,41.62,2138100
2011-01-07,61.59,61.7,60.56,61.21,41.58,1945800
2011-01-10,60.72,61.35,60.42,61.02,41.45,1903000
2011-01-11,61.4,61.48,60.08,60.77,41.28,954400
2011-01-12,61.81,62.34,61.18,61.49,41.77,1555100
2011-01-13,61.57,61.74,61.13,61.73,41.92,995100
2011-01-14,61.56,63.04,61.36,63.04,42.81,1646300
2011-01-18,63.12,63.72,62.55,63.64,43.23,1367800
2011-01-19,63.38,63.56,62.38,62.63,42.54,1058300
2011-01-20,62.44,63.5,62.44,63.31,43.0,1201900
2011-01-21,63.52,63.52,62.87,63.36,43.04,1018500
2011-01-24,63.21,63.7,62.78,63.2,42.92,1312300
2011-01-25,63.1,63.79,62.65,63.76,43.31,1068000
2011-01-26,63.57,63.89,63.17,63.73,43.63,1452400
2011-01-27,63.98,64.9,63.81,64.86,44.41,1483100
2011-01-28,64.8,65.08,63.51,63.78,43.67,1334400
2011-01-31,64.05,64.77,63.94,64.45,44.12,1300800
2011-02-01,64.84,65.0,63.92,64.57,44.21,1542500
2011-02-02,64.29,64.67,63.63,63.69,43.61,1199300
2011-02-03,63.52,63.92,63.06,63.73,43.63,1157900
2011-02-04,63.91,63.91,63.02,63.08,43.19,1556500
2011-02-07,63.26,64.06,63.11,63.82,43.69,1071200
2011-02-08,63.82,64.13,63.53,63.65,43.58,1214100
2011-02-09,63.31,64.38,63.31,64.3,44.02,1131700
2011-02-10,63.98,64.89,63.98,64.6,44.23,1183800
2011-02-11,64.4,65.36,64.34,65.11,44.57,1374500
