Date,Open,High,Low,Close,Adj Close,Volume
2020-10-09,32.5,32.9,28.1,28.28,28.28,19985300
2020-10-12,28.27,29.0,27.62,27.85,27.85,6532300
2020-10-13,28.29,28.42,26.36,26.76,26.76,4937300
2020-10-14,26.8,28.2,26.43,28.01,28.01,7992200
2020-10-15,27.34,28.11,26.51,27.75,27.75,7194600
2020-10-16,28.11,28.95,27.63,28.26,28.26,11035000
2020-10-19,28.3,28.56,27.76,28.25,28.25,4852700
2020-10-20,28.3,28.88,28.1,28.44,28.44,4868800
2020-10-21,28.37,29.0,28.05,28.55,28.55,3869000
2020-10-22,28.68,29.91,28.65,29.86,29.86,5510900
2020-10-23,29.6,30.49,29.51,30.29,30.29,5701900
2020-10-26,30.26,30.31,29.25,29.49,29.49,4594200
2020-10-27,29.5,29.53,28.26,28.66,28.66,3144100
2020-10-28,28.16,29.23,27.95,28.26,28.26,3398000
2020-10-29,29.12,29.48,28.14,28.28,28.28,3320600
2020-10-30,28.15,28.75,27.63,28.74,28.74,2948300
2020-11-02,28.91,29.96,28.83,29.96,29.96,2303300
2020-11-03,30.0,30.5,29.43,29.81,29.81,1518500
2020-11-04,29.6,30.23,29.21,29.5,29.5,2307500
2020-11-05,29.56,30.08,29.08,29.35,29.35,2331100
2020-11-06,29.04,29.39,28.1,28.94,28.94,2295200
2020-11-09,30.19,31.07,28.5,28.54,28.54,3059300
2020-11-10,28.5,29.1,28.15,28.26,28.26,3128500
2020-11-11,28.6,29.23,28.6,29.01,29.01,2961300
2020-11-12,29.31,29.45,28.1,28.54,28.54,2002600
2020-11-13,28.61,28.98,28.29,28.57,28.57,1764300
2020-11-16,28.75,29.3,28.5,29.11,29.11,1572300
2020-11-17,29.43,30.88,28.96,30.64,30.64,4329200
2020-11-18,30.67,32.23,30.25,31.19,31.19,4008600
2020-11-19,30.95,31.39,30.14,30.72,30.72,1438300
2020-11-20,30.54,31.49,30.23,31.18,31.18,1956600
2020-11-23,31.16,32.0,30.8,31.8,31.8,1623000
2020-11-24,32.23,32.96,31.97,32.76,32.76,1857700
2020-11-25,32.55,33.83,32.5,33.66,33.66,3303400
2020-11-27,33.54,34.34,33.36,34.09,34.09,610400
