Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,50.67,51.06,49.93,49.95,29.75,1174800
2010-01-04,50.47,50.95,49.17,49.5,29.48,1048100
2010-01-05,49.39,49.85,48.8,49.74,29.63,1265000
2010-01-06,49.74,50.05,48.91,49.18,29.29,1734300
2010-01-07,49.04,49.9,48.6,49.73,29.62,2428100
2010-01-08,49.4,49.62,48.66,49.18,29.29,1450100
2010-01-11,49.27,50.33,49.27,50.18,29.89,1232500
2010-01-12,49.9,50.21,49.38,49.86,29.7,1431300
2010-01-13,50.22,51.41,50.01,51.28,30.55,1618100
2010-01-14,51.15,51.8,50.65,51.11,30.44,1120800
2010-01-15,51.03,51.28,50.77,51.01,30.38,1102400
2010-01-19,51.19,51.9,50.96,51.76,30.83,1362400
2010-01-20,51.43,51.55,50.46,50.89,30.31,1386400
2010-01-21,51.01,51.22,49.65,49.74,29.63,1602000
2010-01-22,49.59,50.27,48.68,48.82,29.08,1754300
2010-01-25,49.05,49.22,48.02,48.69,29.0,1874800
2010-01-26,48.32,49.27,47.96,48.48,28.87,1367600
2010-01-27,48.3,49.23,47.8,49.19,29.3,1552100
2010-01-28,49.37,49.55,48.16,48.76,29.04,1313200
2010-01-29,49.14,49.46,47.82,48.19,28.7,1729500
2010-02-01,48.44,48.85,48.13,48.83,29.08,1075700
2010-02-02,48.78,49.65,48.2,49.56,29.52,1340000
2010-02-03,49.25,49.32,48.68,48.78,29.06,1061100
2010-02-04,48.41,48.48,46.67,46.76,27.85,2275800
2010-02-05,46.83,48.06,46.32,48.04,28.61,2258200
2010-02-08,47.96,48.33,46.99,47.06,28.03,1332200
2010-02-09,47.5,47.62,46.58,46.91,27.94,1211400
2010-02-10,46.87,47.62,46.09,47.27,28.15,1084500
2010-02-11,47.13,47.85,46.74,47.81,28.48,1031600
2010-02-12,47.21,47.92,46.91,47.82,28.48,916300
2010-02-16,48.17,49.49,48.17,49.45,29.45,1243400
2010-02-17,49.61,50.58,49.54,50.44,30.04,1463500
2010-02-18,49.99,51.47,49.99,51.34,30.58,1650100
2010-02-19,51.97,51.97,51.12,51.49,30.67,1481000
2010-02-22,51.6,51.82,51.28,51.42,30.63,1199800
2010-02-23,51.38,51.5,50.9,51.07,30.42,1440600
2010-02-24,51.46,51.57,51.01,51.27,30.54,1459100
2010-02-25,50.66,50.9,50.27,50.76,30.23,1874400
2010-02-26,50.75,51.04,50.37,50.46,30.06,1456900
2010-03-01,50.73,50.95,50.38,50.81,30.26,1303700
2010-03-02,51.07,51.2,50.68,50.76,30.23,958300
2010-03-03,50.91,50.93,50.59,50.6,30.14,1005800
2010-03-04,50.82,50.95,50.43,50.67,30.18,1205400
2010-03-05,50.87,51.63,50.62,51.52,30.69,1325000
2010-03-08,51.5,51.97,51.25,51.83,30.87,763200
2010-03-09,51.72,52.47,51.42,52.18,31.08,1311400
2010-03-10,51.44,52.12,51.04,51.86,31.25,1407900
2010-03-11,51.5,52.45,51.48,52.43,31.6,1041000
2010-03-12,52.64,53.34,52.48,53.09,31.99,1286400
2010-03-15,52.68,53.37,52.21,53.27,32.1,1766700
2010-03-16,53.21,54.24,53.12,54.15,32.63,1896000
2010-03-17,54.37,54.9,54.07,54.72,32.98,1201700
2010-03-18,54.19,54.55,54.0,54.29,32.72,1236600
2010-03-19,54.14,54.61,53.56,54.14,32.63,1585400
2010-03-22,54.0,55.77,53.56,55.52,33.46,1375900
2010-03-23,54.84,55.44,54.69,55.36,33.36,1435300
2010-03-24,55.29,55.91,55.14,55.56,33.48,1219500
2010-03-25,54.44,56.23,54.44,55.41,33.39,1436300
2010-03-26,55.53,55.99,54.85,54.93,33.1,1819800
2010-03-29,55.51,55.7,54.71,54.97,33.13,1251900
2010-03-30,55.03,55.4,54.74,54.97,33.13,1163100
2010-03-31,54.71,54.95,54.14,54.22,32.68,1480000
2010-04-01,54.53,54.64,53.71,54.12,32.61,1296700
2010-04-05,54.45,55.09,54.22,54.98,33.14,1245400
2010-04-06,54.78,56.04,54.47,55.8,33.63,1170900
2010-04-07,55.5,55.73,54.47,54.68,32.95,1172200
2010-04-08,54.52,54.9,53.92,54.03,32.56,1650000
2010-04-09,54.24,54.39,53.47,53.67,32.35,2207900
2010-04-12,53.76,53.97,52.99,53.34,32.15,1606200
2010-04-13,53.53,54.16,53.27,54.04,32.57,2261500
2010-04-14,54.39,54.45,53.16,53.33,32.14,1776200
2010-04-15,53.33,53.33,52.04,52.12,31.41,2072100
2010-04-16,52.04,52.23,50.55,50.59,30.49,3229800
2010-04-19,50.36,51.2,50.17,50.93,30.69,2359000
2010-04-20,51.36,52.18,50.84,52.13,31.42,1587700
2010-04-21,52.0,53.18,51.95,52.62,31.71,1746600
2010-04-22,52.11,54.03,51.98,53.85,32.46,1369000
2010-04-23,53.69,54.84,53.57,54.8,33.03,3046900
2010-04-26,54.79,55.74,54.58,55.37,33.37,1365300
2010-04-27,55.01,55.76,54.01,54.12,32.61,2073900
2010-04-28,52.6,54.62,51.46,54.09,32.6,1629100
2010-04-29,54.65,55.96,54.46,55.89,33.68,1386500
2010-04-30,55.44,55.76,53.72,53.93,32.5,1755600
2010-05-03,54.33,55.84,53.93,55.43,33.41,1226200
2010-05-04,54.88,55.13,53.87,54.49,32.84,2097300
2010-05-05,53.92,54.61,53.05,53.5,32.24,1136700
2010-05-06,53.36,53.89,49.26,52.26,31.49,3131300
2010-05-07,52.32,53.53,50.78,51.88,31.27,2716000
2010-05-10,54.4,56.35,54.05,56.3,33.93,3067300
2010-05-11,55.35,56.64,55.13,55.59,33.5,2399900
2010-05-12,55.64,56.59,55.46,56.46,34.03,1598200
2010-05-13,56.48,56.67,55.56,55.68,33.56,1392300
2010-05-14,55.01,55.46,54.04,54.58,32.9,1667000
2010-05-17,54.94,55.38,53.05,54.48,32.83,1465400
2010-05-18,55.1,55.33,52.79,53.01,31.95,1587100
2010-05-19,52.81,53.83,51.7,52.77,31.8,1821500
2010-05-20,51.51,52.13,50.39,50.45,30.41,2733400
2010-05-21,49.79,52.58,49.79,52.51,31.64,3592600
2010-05-24,52.62,52.85,51.39,51.5,31.04,1652100
2010-05-25,50.38,52.05,49.39,51.99,31.33,1896100
2010-05-26,52.63,53.37,51.33,51.57,31.08,1893200
2010-05-27,52.44,54.33,52.3,54.28,32.71,1630100
2010-05-28,54.12,54.66,53.35,53.61,32.31,1426900
2010-06-01,53.03,54.24,52.85,53.29,32.12,2000100
2010-06-02,53.76,54.77,53.05,54.72,32.98,2098800
2010-06-03,54.63,54.84,53.95,54.49,32.84,1781200
2010-06-04,53.42,54.04,51.74,51.92,31.29,2172500
2010-06-07,52.26,52.93,51.64,51.68,31.15,1420800
2010-06-08,51.99,52.92,50.58,52.69,31.75,2494800
2010-06-09,52.51,53.32,52.18,52.4,31.95,2134600
2010-06-10,53.43,54.61,53.04,54.5,33.23,1773300
2010-06-11,53.71,55.34,53.43,55.2,33.66,1269600
2010-06-14,55.4,56.23,55.27,55.82,34.03,1760100
2010-06-15,56.14,57.36,55.82,57.26,34.91,1645200
2010-06-16,56.89,57.25,56.43,56.85,34.66,1693300
2010-06-17,56.81,57.2,56.23,57.04,34.78,1272400
2010-06-18,57.03,57.22,56.16,56.57,34.49,1967900
2010-06-21,57.09,57.47,56.27,56.5,34.45,1243000
2010-06-22,56.43,56.7,54.71,54.82,33.43,1856700
2010-06-23,55.08,55.44,54.06,54.68,33.34,2182900
2010-06-24,54.32,54.79,53.57,54.08,32.98,2103500
2010-06-25,54.31,55.66,53.97,55.45,33.81,2403400
2010-06-28,55.64,55.89,54.77,55.06,33.57,1917900
2010-06-29,54.17,54.58,53.37,53.74,32.77,2434600
2010-06-30,53.74,54.68,53.47,53.61,32.69,2254400
2010-07-01,53.81,54.01,52.59,53.74,32.77,2288900
2010-07-02,54.08,54.22,52.91,53.0,32.31,1953900
2010-07-06,53.34,54.35,52.27,52.63,32.09,2502400
2010-07-07,53.02,54.85,52.66,54.82,33.43,2385800
2010-07-08,55.3,55.65,53.84,54.72,33.37,1564700
2010-07-09,54.52,55.49,54.49,55.44,33.8,1273800
2010-07-12,55.4,55.6,54.84,55.36,33.76,924800
2010-07-13,55.96,56.21,55.42,56.05,34.17,1548100
2010-07-14,55.59,56.2,54.98,55.62,33.92,981200
2010-07-15,55.65,55.65,54.27,55.18,33.64,1663300
2010-07-16,54.79,54.92,53.5,53.95,32.89,2187200
2010-07-19,53.96,55.41,53.45,54.98,33.53,1276300
2010-07-20,54.4,56.46,53.97,56.31,34.33,1739800
2010-07-21,56.56,56.56,54.84,55.0,33.53,1698800
2010-07-22,55.48,57.15,55.44,56.9,34.7,2043800
2010-07-23,56.57,57.76,55.98,57.71,35.19,1552300
2010-07-26,57.49,59.27,57.15,59.19,36.09,1954100
2010-07-27,59.7,59.7,57.99,58.97,35.96,1387600
2010-07-28,58.88,59.22,58.01,58.18,35.48,1569600
2010-07-29,58.76,58.9,57.17,57.53,35.08,1373500
2010-07-30,56.89,58.24,56.8,57.92,35.32,1711500
2010-08-02,59.06,59.99,58.62,59.85,36.49,1260100
2010-08-03,59.44,59.83,59.14,59.55,36.31,929500
2010-08-04,59.67,60.02,59.36,59.7,36.4,1029800
2010-08-05,59.3,59.8,58.67,58.87,35.89,1094300
2010-08-06,58.28,59.14,57.69,59.0,35.98,1238100
2010-08-09,59.32,59.69,58.82,59.63,36.36,806600
2010-08-10,59.11,59.83,58.58,59.51,36.28,1440000
2010-08-11,58.55,58.8,57.54,57.85,35.27,1497900
2010-08-12,57.15,57.77,56.78,56.95,34.72,1466600
2010-08-13,56.85,57.58,56.85,56.94,34.72,995400
2010-08-16,56.65,57.34,56.4,56.98,34.74,691000
2010-08-17,57.51,58.83,57.14,58.79,35.84,1110400
2010-08-18,58.72,58.97,58.28,58.66,35.77,683300
2010-08-19,58.36,58.43,56.82,57.12,34.83,1128700
2010-08-20,56.69,57.47,56.64,57.38,34.99,984400
2010-08-23,57.73,57.98,57.1,57.31,34.95,805300
2010-08-24,56.66,57.3,56.09,56.62,34.52,1288800
2010-08-25,56.31,57.35,56.09,57.09,34.81,1305500
2010-08-26,57.45,57.49,56.49,56.69,34.56,1178600
2010-08-27,57.05,57.85,55.89,57.81,35.25,1079600
2010-08-30,57.52,58.4,57.52,57.55,35.09,1341900
2010-08-31,57.47,58.12,57.21,57.68,35.17,1530100
2010-09-01,58.4,59.87,58.33,59.77,36.44,1589200
2010-09-02,59.68,60.29,59.64,60.16,36.68,1336600
2010-09-03,60.89,61.01,60.15,60.92,37.15,872800
2010-09-07,60.52,60.66,60.01,60.13,36.67,862000
2010-09-08,60.21,60.64,60.09,60.39,36.82,913700
2010-09-09,60.96,61.08,58.92,59.46,36.26,1366400
2010-09-10,59.6,59.71,58.92,59.55,36.31,619200
2010-09-13,60.05,60.42,59.46,60.33,36.78,1023600
2010-09-14,60.03,61.06,59.89,60.49,36.88,1155500
2010-09-15,59.78,60.63,59.42,60.51,37.27,835400
2010-09-16,60.42,60.48,59.91,60.32,37.15,698500
2010-09-17,60.47,60.67,59.92,60.39,37.2,972700
2010-09-20,60.73,61.54,60.53,61.41,37.83,1114800
2010-09-21,61.44,61.44,59.85,60.01,36.96,1501300
2010-09-22,59.92,60.43,59.67,59.75,36.8,915900
2010-09-23,59.14,59.44,58.07,58.07,35.77,1130500
2010-09-24,58.79,59.77,58.56,59.62,36.72,935200
2010-09-27,59.56,59.68,58.64,58.87,36.26,742000
2010-09-28,58.81,59.14,57.83,59.07,36.39,1076900
2010-09-29,58.83,58.92,58.28,58.64,36.12,748800
2010-09-30,58.87,59.48,58.42,58.89,36.27,1259500
2010-10-01,59.22,59.34,57.98,58.98,36.33,1027300
2010-10-04,58.66,59.96,58.55,59.93,36.91,1317600
2010-10-05,60.59,62.02,60.04,61.92,38.14,1944100
2010-10-06,61.89,61.9,61.22,61.72,38.02,1018000
2010-10-07,62.09,62.33,61.43,61.63,37.96,1140600
2010-10-08,61.77,61.79,61.19,61.45,37.85,1426600
2010-10-11,61.43,61.71,61.32,61.44,37.84,1020800
2010-10-12,61.12,61.65,60.82,61.55,37.91,1010000
2010-10-13,61.92,62.54,61.54,62.13,38.27,1157600
2010-10-14,61.88,62.37,61.45,61.82,38.08,732200
2010-10-15,62.06,62.41,61.08,61.17,37.68,1170800
2010-10-18,61.08,62.17,61.08,62.16,38.29,1176200
2010-10-19,61.57,62.35,61.19,61.46,37.86,1229400
2010-10-20,61.54,63.13,61.54,62.78,38.67,1297400
2010-10-21,62.99,63.24,62.08,62.52,38.51,953200
2010-10-22,62.46,62.61,59.74,59.78,36.82,3124600
2010-10-25,60.27,61.37,59.95,61.03,37.59,1759700
2010-10-26,60.59,61.85,60.59,61.56,37.92,941200
2010-10-27,61.16,61.63,60.31,60.67,37.37,925000
2010-10-28,61.05,61.2,59.88,60.74,37.41,543700
2010-10-29,60.6,61.3,60.56,61.16,37.67,654100
2010-11-01,61.64,61.9,61.05,61.4,37.82,692500
2010-11-02,61.8,62.05,61.19,61.43,37.84,493800
2010-11-03,61.56,61.59,60.65,61.25,37.73,819600
2010-11-04,62.01,63.39,61.68,63.3,38.99,1243400
2010-11-05,62.93,64.18,62.49,62.92,38.76,1462500
2010-11-08,62.7,63.15,62.13,62.97,38.78,836200
2010-11-09,63.14,63.22,60.73,61.15,37.67,2079600
2010-11-10,61.38,62.16,61.31,62.11,38.26,956800
2010-11-11,61.79,62.48,61.62,61.9,38.13,941400
2010-11-12,61.62,62.08,60.67,61.04,37.6,1018900
2010-11-15,61.16,61.7,60.47,60.57,37.31,958100
2010-11-16,60.11,60.16,57.87,57.98,35.71,2051500
2010-11-17,58.11,59.02,57.78,58.41,35.98,1128800
2010-11-18,59.28,59.59,58.42,58.54,36.06,770200
2010-11-19,58.39,58.87,57.82,58.76,36.2,884600
2010-11-22,58.49,59.27,58.38,59.07,36.39,1121800
2010-11-23,58.39,58.92,58.2,58.49,36.03,1253300
2010-11-24,59.11,59.68,58.83,59.66,36.74,1004500
2010-11-26,59.36,59.68,59.03,59.28,36.51,299600
2010-11-29,58.75,59.23,57.57,59.07,36.39,1375300
2010-11-30,58.43,58.87,58.23,58.55,36.06,1709800
2010-12-01,59.35,59.35,57.77,57.86,35.64,1951400
2010-12-02,57.87,58.04,57.22,57.94,35.69,2129400
2010-12-03,57.67,57.91,57.26,57.68,35.53,992400
2010-12-06,57.52,57.71,56.59,57.62,35.49,1308600
2010-12-07,57.91,58.75,57.91,58.1,35.79,1512700
2010-12-08,58.16,58.66,56.67,57.07,35.16,1565400
2010-12-09,57.28,57.55,56.27,56.39,34.73,1540400
2010-12-10,56.43,57.35,56.38,57.06,35.15,1035100
2010-12-13,57.21,57.79,57.02,57.5,35.42,868800
2010-12-14,57.37,57.38,56.1,56.32,34.69,1996000
2010-12-15,55.86,56.26,55.45,55.69,34.68,2288700
2010-12-16,55.88,56.18,55.42,55.96,34.84,930600
2010-12-17,55.96,56.74,55.96,56.69,35.3,1840200
2010-12-20,56.74,57.61,56.67,57.45,35.78,927900
2010-12-21,57.66,58.31,57.43,58.28,36.29,1019000
