Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,31.37,31.41,31.07,31.07,18.47,7982700
2010-01-04,31.33,31.37,31.03,31.21,18.55,16176600
2010-01-05,31.3,31.33,30.74,31.27,18.59,23722900
2010-01-06,30.61,30.71,29.82,29.94,18.05,37506400
2010-01-07,30.11,30.11,29.57,29.76,17.95,25508200
2010-01-08,29.69,29.81,29.47,29.78,17.96,20658300
2010-01-11,29.98,29.98,29.47,29.9,18.03,21974900
2010-01-12,29.81,29.94,29.72,29.93,18.05,14407500
2010-01-13,29.97,30.05,29.69,29.89,18.03,17108700
2010-01-14,29.84,29.89,29.26,29.28,17.66,23054200
2010-01-15,29.26,29.37,28.56,28.68,17.3,46642200
2010-01-19,28.83,29.37,28.75,29.29,17.66,23935600
2010-01-20,29.29,29.39,28.7,28.8,17.37,30237600
2010-01-21,28.88,29.05,28.38,28.73,17.32,23572400
2010-01-22,28.67,29.01,28.42,28.46,17.16,24228600
2010-01-25,28.89,29.13,28.39,28.77,17.35,21103300
2010-01-26,28.51,28.63,27.9,28.3,17.06,37811500
2010-01-27,28.13,28.32,27.67,28.01,16.89,34965600
2010-01-28,27.98,28.32,27.32,27.51,16.59,35659800
2010-01-29,27.62,27.91,27.4,27.59,16.64,27086800
2010-02-01,27.97,28.0,27.53,27.77,16.75,18225600
2010-02-02,27.72,28.02,27.65,27.88,16.81,17606300
2010-02-03,27.89,27.97,27.22,27.38,16.51,35864000
2010-02-04,27.18,27.24,26.84,26.85,16.19,28760100
2010-02-05,26.85,26.97,26.55,26.95,16.25,25070100
2010-02-08,27.0,27.03,26.61,26.61,16.05,17707500
2010-02-09,26.92,27.27,26.91,26.96,16.26,25553500
2010-02-10,27.0,27.22,26.78,27.08,16.33,16152600
2010-02-11,27.07,27.39,26.9,27.24,16.42,15994700
2010-02-12,27.12,27.22,26.93,27.13,16.36,15161600
2010-02-16,27.4,27.42,27.24,27.37,16.5,12456400
2010-02-17,27.44,27.57,27.23,27.33,16.48,14310100
2010-02-18,27.33,27.44,27.14,27.34,16.49,11936700
2010-02-19,27.22,27.46,27.11,27.22,16.41,19705100
2010-02-22,27.26,27.32,27.1,27.2,16.4,14640500
2010-02-23,27.12,27.15,26.92,26.95,16.25,15712000
2010-02-24,26.98,27.2,26.93,27.16,16.38,13273500
2010-02-25,26.98,27.17,26.82,27.09,16.33,16887600
2010-02-26,27.13,27.21,26.97,27.13,16.36,13582700
2010-03-01,27.17,27.3,27.06,27.19,16.4,17269700
2010-03-02,27.25,27.46,27.1,27.44,16.55,18502000
2010-03-03,27.5,27.52,27.23,27.32,16.48,14241900
