Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,37.19,37.19,36.68,36.72,28.02,2806100
2010-01-04,37.01,37.3,36.64,37.3,28.46,8171000
2010-01-05,37.1,37.16,36.62,37.0,28.23,10843200
2010-01-06,36.16,37.29,35.92,36.72,28.02,8945400
2010-01-07,36.69,37.0,36.47,36.94,28.19,5040700
2010-01-08,36.92,37.07,36.65,36.99,28.22,6139800
2010-01-11,37.0,37.14,36.9,37.05,28.27,4947500
2010-01-12,36.84,36.97,36.6,36.74,28.03,4646300
2010-01-13,36.65,37.16,36.6,37.08,28.29,4526600
2010-01-14,37.16,37.25,36.88,37.11,28.32,5686500
2010-01-15,36.93,37.05,36.46,36.6,27.93,8691800
2010-01-19,36.62,36.87,36.36,36.74,28.03,5621700
2010-01-20,36.6,37.05,36.51,36.95,28.19,5939000
2010-01-21,37.15,37.27,36.22,36.45,27.81,7951700
2010-01-22,36.31,36.8,35.97,35.99,27.46,6976400
2010-01-25,36.22,36.87,35.98,36.67,27.98,6138000
2010-01-26,36.55,36.7,36.11,36.17,27.6,6565500
2010-01-27,36.15,36.83,36.1,36.7,28.0,6706500
2010-01-28,36.75,37.0,36.37,36.4,27.77,5611100
2010-01-29,36.52,37.06,36.0,36.05,27.51,8441900
2010-02-01,36.29,36.41,36.01,36.38,27.76,6073200
2010-02-02,36.35,36.84,36.22,36.78,28.06,7675600
2010-02-03,36.0,36.19,34.23,34.62,26.42,23408700
2010-02-04,34.72,35.1,33.44,33.45,25.52,17080600
2010-02-05,33.45,33.68,33.0,33.31,25.42,12632300
2010-02-08,33.9,33.9,33.27,33.29,25.4,11686000
2010-02-09,33.55,33.84,33.41,33.61,25.64,7249200
2010-02-10,33.55,33.61,33.03,33.3,25.41,6630100
2010-02-11,33.25,33.6,33.04,33.6,25.64,5881800
2010-02-12,33.38,33.63,33.23,33.49,25.55,5645700
2010-02-16,33.55,34.08,33.35,34.08,26.11,5406500
2010-02-17,33.69,34.57,33.65,34.19,26.2,7799400
2010-02-18,34.33,34.75,34.23,34.69,26.58,5142100
2010-02-19,34.65,34.95,34.52,34.86,26.71,4701500
2010-02-22,35.3,35.31,34.71,34.75,26.62,5983800
2010-02-23,34.62,34.81,34.04,34.76,26.63,7834900
2010-02-24,34.96,35.58,34.6,35.5,27.2,7894500
2010-02-25,35.24,36.13,34.96,36.02,27.6,11441400
2010-02-26,35.95,36.07,35.18,35.24,27.0,7104100
2010-03-01,35.23,35.45,34.87,35.42,27.14,6868000
2010-03-02,35.5,35.77,35.2,35.24,27.0,8807600
2010-03-03,35.15,35.97,35.02,35.36,27.09,10597300
2010-03-04,35.41,35.58,34.93,35.0,26.82,8401500
2010-03-05,35.16,35.26,34.93,34.99,26.81,7074800
2010-03-08,35.11,35.14,34.61,34.74,26.62,7873600
2010-03-09,34.68,34.79,34.26,34.39,26.35,7297400
2010-03-10,34.45,34.66,34.2,34.27,26.26,8637100
2010-03-11,34.2,34.31,33.44,33.94,26.0,13188800
2010-03-12,34.11,34.2,33.84,33.93,26.0,6885900
2010-03-15,33.87,34.18,33.72,34.17,26.18,4202200
2010-03-16,34.27,34.58,34.15,34.51,26.44,5480700
2010-03-17,34.57,34.74,34.29,34.48,26.42,5649400
2010-03-18,34.5,34.87,34.41,34.82,26.68,5084600
2010-03-19,34.53,35.0,34.32,34.53,26.46,9662700
2010-03-22,34.57,35.62,34.57,35.33,27.07,10413000
2010-03-23,35.93,36.19,35.49,35.91,27.51,10609100
2010-03-24,35.87,35.9,35.31,35.4,27.12,6244500
2010-03-25,35.52,36.4,35.45,36.33,27.84,9932900
2010-03-26,36.26,36.86,36.15,36.79,28.19,9887400
2010-03-29,36.68,37.55,36.68,37.49,28.72,12950200
2010-03-30,37.47,37.6,37.23,37.42,28.67,6087000
2010-03-31,37.13,37.3,36.9,37.09,28.42,5705700
2010-04-01,37.16,37.78,37.14,37.75,28.92,7946500
2010-04-05,37.69,37.95,37.43,37.83,28.98,6897500
2010-04-06,37.59,37.77,37.3,37.4,28.65,5647200
2010-04-07,37.37,37.49,36.5,36.79,28.19,8565500
2010-04-08,36.6,36.95,36.6,36.85,28.23,5801900
2010-04-09,36.83,37.1,36.65,37.07,28.4,4275800
2010-04-12,36.97,36.98,36.56,36.82,28.21,6269800
2010-04-13,36.63,36.91,36.57,36.81,28.2,4163600
2010-04-14,36.76,36.98,36.55,36.78,28.18,4436200
2010-04-15,36.55,36.72,36.29,36.51,27.97,6351900
2010-04-16,36.39,36.67,35.86,35.86,27.47,9055600
2010-04-19,35.81,36.14,35.69,36.13,27.68,4903900
2010-04-20,36.25,36.33,36.02,36.06,27.63,3830100
2010-04-21,36.02,36.2,35.58,35.87,27.48,4419400
2010-04-22,35.71,36.14,35.59,36.06,27.63,3754800
2010-04-23,36.05,36.14,35.7,35.86,27.47,4655500
2010-04-26,35.73,35.99,35.68,35.69,27.34,3820100
2010-04-27,35.5,35.69,34.77,34.9,26.74,6926200
2010-04-28,34.94,35.49,34.82,35.2,26.97,5425300
2010-04-29,35.39,36.0,35.31,35.87,27.48,6138100
2010-04-30,35.75,36.14,35.13,35.15,26.93,6028600
2010-05-03,35.33,35.7,35.19,35.62,27.29,5126900
2010-05-04,35.23,35.57,34.81,35.13,26.92,8268800
2010-05-05,34.66,36.45,34.66,35.73,27.38,9729300
2010-05-06,35.52,35.73,32.76,34.66,26.56,10542100
2010-05-07,34.6,35.4,34.0,34.87,26.72,13083100
2010-05-10,35.67,36.0,35.2,35.57,27.25,7740400
2010-05-11,35.26,36.44,35.07,36.17,27.71,9309300
2010-05-12,36.28,36.61,36.0,36.57,28.02,5432200
2010-05-13,36.47,36.71,35.84,35.86,27.47,5414900
2010-05-14,35.71,35.85,35.15,35.38,27.11,6152800
2010-05-17,35.36,35.74,34.98,35.71,27.36,6470000
2010-05-18,35.38,35.97,35.13,35.2,27.07,5511800
2010-05-19,35.07,35.21,34.41,34.81,26.77,7426800
2010-05-20,33.68,33.75,32.7,32.71,25.16,16188800
2010-05-21,32.38,33.39,32.3,33.1,25.46,12367300
2010-05-24,33.01,33.2,32.7,32.74,25.18,5063400
2010-05-25,32.02,32.97,31.93,32.91,25.31,8301800
2010-05-26,33.12,33.15,31.79,31.92,24.55,7984200
2010-05-27,32.28,32.41,31.85,32.34,24.87,7458200
2010-05-28,32.32,32.49,31.78,32.04,24.64,7384700
2010-06-01,31.84,32.72,31.54,32.02,24.63,7923500
2010-06-02,32.19,32.85,31.97,32.82,25.24,5810700
2010-06-03,32.59,33.15,31.86,32.35,24.88,7604900
2010-06-04,32.0,32.0,30.65,30.84,23.72,11232100
2010-06-07,30.07,30.61,29.52,30.0,23.07,18641500
2010-06-08,30.0,30.68,29.75,30.61,23.54,13350300
2010-06-09,30.57,30.62,29.35,29.83,22.94,18879200
2010-06-10,30.2,30.2,28.16,29.96,23.04,28450700
2010-06-11,29.35,29.68,29.1,29.48,22.67,17654200
2010-06-14,29.73,29.99,29.49,29.54,22.72,13340800
2010-06-15,29.75,30.18,29.56,30.18,23.21,10332600
2010-06-16,30.01,30.06,29.16,29.24,22.49,12836100
2010-06-17,29.45,29.45,29.05,29.27,22.51,12545500
2010-06-18,31.01,31.38,30.04,30.09,23.14,29568500
2010-06-21,30.53,30.54,29.95,30.14,23.18,13312700
2010-06-22,28.85,28.94,28.07,28.17,21.67,27962000
2010-06-23,28.2,28.39,27.92,28.13,21.64,14108200
2010-06-24,28.11,28.25,27.55,27.59,21.22,10875900
2010-06-25,27.53,27.79,26.89,26.93,20.71,15867700
2010-06-28,27.1,27.29,26.89,26.9,20.69,9148400
2010-06-29,26.68,26.7,26.33,26.49,20.37,20155900
2010-06-30,26.47,26.91,26.26,26.7,20.54,11880100
2010-07-01,26.67,26.8,26.39,26.56,20.43,15035200
2010-07-02,26.69,26.8,26.26,26.36,20.27,12016400
2010-07-06,27.09,27.32,26.45,26.62,20.47,12703100
2010-07-07,26.69,27.15,26.5,27.15,20.88,10504600
2010-07-08,27.47,28.24,27.35,28.12,21.63,11703400
2010-07-09,28.16,28.41,28.05,28.4,21.84,10043300
2010-07-12,28.35,28.47,27.98,28.14,21.64,11137200
2010-07-13,28.46,29.28,28.36,29.11,22.39,14322000
2010-07-14,29.04,29.64,28.89,29.62,22.78,15894600
2010-07-15,29.6,29.96,29.36,29.72,22.86,15238800
2010-07-16,29.68,29.71,29.1,29.21,22.47,12277600
2010-07-19,29.19,29.46,29.02,29.23,22.48,9197100
2010-07-20,29.0,29.8,29.0,29.52,22.71,10533100
2010-07-21,29.69,29.69,28.68,28.86,22.2,11628200
2010-07-22,29.15,29.75,29.0,29.41,22.62,10331100
2010-07-23,29.49,30.25,29.39,30.14,23.18,7388900
2010-07-26,30.06,30.26,29.68,29.88,22.98,8918900
2010-07-27,29.95,29.95,28.97,29.09,22.37,12343500
2010-07-28,28.66,29.27,28.5,28.92,22.24,11898800
2010-07-29,28.98,29.17,28.26,28.32,21.78,11042600
2010-07-30,28.12,28.71,28.0,28.55,21.96,7195900
2010-08-02,29.11,29.23,28.83,29.13,22.41,6968900
2010-08-03,29.06,29.3,28.77,28.82,22.17,5630300
2010-08-04,28.78,28.93,28.33,28.5,21.92,8404700
2010-08-05,28.4,28.45,28.08,28.19,21.68,8516800
2010-08-06,28.0,28.1,27.52,28.0,21.54,9723400
2010-08-09,28.07,28.56,27.85,28.35,21.81,6185300
2010-08-10,28.2,28.44,27.87,28.22,21.71,7653700
2010-08-11,27.82,27.95,27.67,27.73,21.33,8709000
2010-08-12,27.61,28.14,27.6,28.03,21.56,7373000
2010-08-13,27.99,28.32,27.9,28.17,21.67,7032400
2010-08-16,28.05,28.3,27.83,28.19,21.68,6454500
2010-08-17,28.2,28.59,28.05,28.22,21.84,8938100
2010-08-18,28.25,28.34,28.1,28.21,21.83,8618200
2010-08-19,28.16,28.33,27.91,28.16,21.79,7392900
2010-08-20,27.94,28.59,27.94,28.45,22.02,7600900
2010-08-23,28.54,28.85,28.46,28.48,22.04,6688800
2010-08-24,28.06,28.27,27.77,27.95,21.63,6781700
2010-08-25,27.76,27.89,27.33,27.5,21.28,7565000
2010-08-26,27.67,27.67,26.99,27.14,21.0,7558800
2010-08-27,27.27,27.36,26.82,27.32,21.14,8188300
2010-08-30,27.38,27.5,27.19,27.19,21.04,4421200
2010-08-31,27.1,27.17,26.77,26.88,20.8,8897500
2010-09-01,27.06,27.86,27.05,27.69,21.43,7359400
2010-09-02,27.65,28.43,27.48,28.3,21.9,7621100
2010-09-03,28.66,28.95,28.23,28.3,21.9,7388600
2010-09-07,28.16,28.72,28.12,28.49,22.05,6092600
2010-09-08,28.53,28.87,28.52,28.67,22.19,5224800
2010-09-09,28.85,28.96,28.7,28.72,22.23,5409600
2010-09-10,28.76,29.12,28.73,28.96,22.41,4359700
2010-09-13,29.26,29.33,28.95,29.06,22.49,4620700
2010-09-14,29.07,29.42,29.02,29.22,22.61,5103000
2010-09-15,29.23,29.38,28.89,29.21,22.61,6387400
2010-09-16,28.99,29.13,28.83,29.12,22.54,5004500
2010-09-17,29.18,29.32,28.97,29.21,22.61,7284000
2010-09-20,29.25,29.34,29.19,29.24,22.63,10141600
2010-09-21,29.21,29.94,29.15,29.72,23.0,8589700
2010-09-22,29.71,30.0,29.64,29.79,23.06,6767700
2010-09-23,29.54,29.91,29.46,29.51,22.84,5509800
2010-09-24,29.92,30.5,29.76,30.36,23.5,7320800
2010-09-27,30.29,30.79,30.17,30.35,23.49,8678500
2010-09-28,33.1,34.12,32.75,33.81,26.17,31775700
2010-09-29,33.26,33.81,33.25,33.63,26.03,9120100
2010-09-30,33.64,33.87,33.4,33.5,25.93,7314500
2010-10-01,33.74,33.92,33.5,33.68,26.07,7045800
2010-10-04,33.65,33.71,33.04,33.11,25.63,9543600
2010-10-05,33.94,34.55,33.85,33.98,26.3,10942500
2010-10-06,33.95,34.09,33.68,34.06,26.36,5086200
2010-10-07,34.09,34.17,33.78,33.87,26.21,5512300
2010-10-08,33.75,34.05,33.55,33.98,26.3,6421900
2010-10-11,34.01,34.06,33.56,33.75,26.12,4280500
2010-10-12,33.62,34.14,33.5,34.04,26.35,6875500
2010-10-13,34.31,35.18,34.17,34.8,26.93,11031700
2010-10-14,34.83,34.85,34.07,34.49,26.69,6127300
2010-10-15,34.7,34.87,34.31,34.58,26.76,6055600
2010-10-18,34.55,34.63,34.24,34.41,26.63,4260800
2010-10-19,33.97,34.25,33.4,33.63,26.03,7396600
2010-10-20,33.74,34.32,33.65,34.03,26.34,6341700
2010-10-21,34.27,34.63,33.78,34.1,26.39,5186000
2010-10-22,34.18,34.34,33.97,34.07,26.37,2828500
2010-10-25,34.35,34.75,34.14,34.44,26.65,9125100
2010-10-26,34.27,34.39,34.0,34.14,26.42,5299900
2010-10-27,33.91,33.99,33.51,33.95,26.28,4304700
2010-10-28,34.08,34.23,33.78,34.14,26.42,4411100
2010-10-29,34.1,34.19,33.62,33.88,26.22,6886200
2010-11-01,33.96,34.59,33.75,34.05,26.35,7353500
2010-11-02,34.38,34.68,34.32,34.49,26.69,9199800
2010-11-03,34.33,35.52,34.29,35.18,27.23,9881600
2010-11-04,35.39,36.0,35.3,35.95,27.82,8391800
2010-11-05,35.8,36.15,35.01,35.14,27.2,8376200
2010-11-08,35.04,35.2,34.83,35.09,27.16,5501500
2010-11-09,35.09,35.36,35.0,35.24,27.27,5321600
2010-11-10,34.96,35.19,34.58,35.11,27.31,5413900
2010-11-11,34.94,35.23,34.7,35.21,27.39,3993200
2010-11-12,34.94,35.17,34.44,34.83,27.09,5531200
2010-11-15,34.76,34.97,34.46,34.51,26.84,4300200
2010-11-16,34.42,34.6,33.89,34.01,26.45,7368200
2010-11-17,33.9,34.3,33.83,34.01,26.45,5744700
2010-11-18,34.39,34.54,34.38,34.42,26.77,6527700
2010-11-19,34.4,34.79,34.26,34.76,27.04,6418000
2010-11-22,34.66,35.19,34.46,34.89,27.14,4910100
2010-11-23,34.55,34.56,33.83,33.98,26.43,7145800
2010-11-24,34.08,34.35,34.03,34.31,26.69,5088700
2010-11-26,33.89,34.08,33.63,33.68,26.2,2139100
2010-11-29,33.47,34.97,33.38,34.8,27.07,10110900
2010-11-30,34.46,35.0,34.36,34.85,27.11,6333800
2010-12-01,35.28,35.78,35.24,35.67,27.74,8395600
2010-12-02,35.62,36.37,35.61,36.11,28.09,7137400
2010-12-03,36.31,37.27,36.22,36.86,28.67,12252000
2010-12-06,36.68,36.7,36.2,36.35,28.27,5369300
2010-12-07,36.53,36.65,36.11,36.22,28.17,9965200
2010-12-08,36.29,36.56,35.92,36.47,28.37,5407300
2010-12-09,36.97,36.98,36.03,36.37,28.29,6329100
2010-12-10,36.38,36.67,36.16,36.43,28.34,4984900
2010-12-13,36.67,36.76,36.18,36.44,28.34,5404700
2010-12-14,36.54,36.86,36.54,36.75,28.58,5244100
2010-12-15,36.52,37.19,36.52,37.13,28.88,7388800
2010-12-16,37.1,37.78,36.83,37.72,29.34,7539900
2010-12-17,37.64,37.77,37.54,37.58,29.23,15660300
2010-12-20,37.58,37.76,37.22,37.28,29.0,6026200
2010-12-21,37.47,37.52,36.77,36.83,28.65,8179800
2010-12-22,39.75,40.2,38.8,38.85,30.22,23618600
2010-12-23,38.79,39.22,38.66,39.19,30.48,5489000
2010-12-27,38.96,39.29,38.77,38.96,30.3,3339800
2010-12-28,39.1,39.55,38.74,39.47,30.7,7104200
2010-12-29,39.41,39.55,39.2,39.48,30.71,3313000
2010-12-30,39.41,39.41,38.96,39.24,30.52,2210900
2010-12-31,39.16,39.29,38.92,38.96,30.3,2849200
2011-01-03,39.14,39.48,39.06,39.32,30.58,6908800
2011-01-04,39.9,40.05,39.56,39.65,30.84,9603200
2011-01-05,39.53,40.34,39.48,40.2,31.27,8207900
2011-01-06,39.94,40.53,39.82,40.32,31.36,8372500
2011-01-07,40.37,40.49,39.83,40.08,31.17,6303500
2011-01-10,39.8,41.13,39.78,40.95,31.85,9143900
2011-01-11,41.14,41.65,40.75,40.83,31.76,7870300
2011-01-12,41.04,41.34,40.67,41.2,32.05,7165500
2011-01-13,41.16,41.73,41.05,41.64,32.39,6273300
2011-01-14,41.47,41.7,41.34,41.44,32.23,5392900
2011-01-18,41.45,42.0,41.3,41.97,32.64,6344000
2011-01-19,41.69,41.87,41.07,41.28,32.11,5147900
2011-01-20,41.07,41.88,41.07,41.61,32.36,6163000
2011-01-21,41.94,42.2,41.54,41.69,32.43,5515000
2011-01-24,41.6,41.81,41.47,41.49,32.27,5187800
2011-01-25,41.48,41.49,40.89,41.24,32.08,6977700
2011-01-26,41.41,41.64,41.16,41.29,32.12,4807400
2011-01-27,41.39,41.48,40.68,41.07,31.94,6274300
2011-01-28,41.24,41.48,40.27,40.36,31.39,5644700
2011-01-31,40.75,40.83,40.25,40.44,31.45,5584100
2011-02-01,40.63,42.35,40.6,42.23,32.85,8930200
2011-02-02,42.17,42.25,41.6,41.97,32.64,4998000
2011-02-03,42.07,43.18,42.05,42.31,32.91,9296700
2011-02-04,42.48,42.55,42.06,42.37,32.96,4925600
2011-02-07,42.37,42.6,42.16,42.31,32.91,4405500
2011-02-08,42.49,42.91,42.27,42.78,33.27,5058900
2011-02-09,42.64,42.94,42.23,42.66,33.18,5101300
2011-02-10,42.49,42.65,42.1,42.58,33.12,3686000
2011-02-11,42.35,42.59,42.15,42.58,33.12,3724000
2011-02-14,42.61,42.66,42.1,42.17,32.8,3653900
2011-02-15,42.28,42.6,41.91,42.34,32.93,6137900
2011-02-16,42.25,42.47,41.92,42.19,32.95,5997400
2011-02-17,42.06,42.64,41.74,42.61,33.28,3949500
2011-02-18,42.75,42.91,42.63,42.74,33.38,4720400
2011-02-22,42.22,42.54,41.85,42.18,32.94,6423500
2011-02-23,42.25,42.45,41.21,41.23,32.2,9492200
2011-02-24,41.13,41.6,40.79,41.32,32.27,6736600
2011-02-25,41.44,42.06,41.36,41.97,32.78,3506400
2011-02-28,42.77,43.75,42.5,43.34,33.85,12297100
2011-03-01,43.52,44.06,42.69,42.72,33.37,14353300
2011-03-02,42.82,43.24,41.11,41.84,32.68,11699500
2011-03-03,42.05,42.76,41.33,42.53,33.22,9263800
2011-03-04,42.47,42.97,42.01,42.23,32.98,5729300
2011-03-07,42.34,42.68,41.53,41.85,32.69,6265700
2011-03-08,41.93,42.69,41.78,42.39,33.11,4033400
2011-03-09,42.77,43.09,42.18,42.61,33.28,5640300
2011-03-10,42.29,42.45,41.92,41.96,32.77,5322000
2011-03-11,41.75,42.19,41.44,41.93,32.75,5914000
2011-03-14,41.67,41.87,41.3,41.59,32.48,4913800
2011-03-15,40.79,47.11,40.36,41.07,32.08,6633900
2011-03-16,40.78,41.16,40.01,40.61,31.72,7268900
2011-03-17,41.22,41.35,40.78,41.17,32.16,5399000
2011-03-18,41.46,42.3,40.63,40.91,31.95,10883200
2011-03-21,41.47,41.99,41.15,41.97,32.78,11485800
2011-03-22,39.74,40.1,38.45,39.21,30.62,33388000
2011-03-23,39.35,39.88,38.96,39.83,31.11,8861400
2011-03-24,40.0,40.43,39.63,39.95,31.2,6488200
2011-03-25,40.17,40.47,39.29,39.64,30.96,6390300
2011-03-28,39.69,40.11,39.22,39.28,30.68,5477200
2011-03-29,39.65,40.04,39.35,39.93,31.19,4835900
2011-03-30,40.15,40.4,39.91,40.0,31.24,3495400
