Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,44.7,44.95,44.15,44.15,34.66,1552200
2010-01-04,44.4,45.8,44.4,45.26,35.54,3118200
2010-01-05,45.35,47.44,45.05,46.46,36.48,7048900
2010-01-06,46.54,46.9,46.05,46.5,36.51,3996100
2010-01-07,46.4,46.5,45.08,45.59,35.8,3626500
2010-01-08,45.49,45.84,45.15,45.82,35.98,2521700
2010-01-11,45.91,46.45,45.54,45.87,36.02,2787900
2010-01-12,45.59,46.03,44.05,44.69,35.09,4171400
2010-01-13,44.8,45.53,44.04,45.46,35.69,2811200
2010-01-14,45.44,46.16,45.42,45.77,35.94,2097700
2010-01-15,45.76,45.84,43.36,43.98,34.53,4874900
2010-01-19,44.04,45.04,44.04,44.96,35.3,2865100
2010-01-20,44.57,44.65,43.28,44.26,34.75,3707900
2010-01-21,46.44,47.0,44.63,45.29,35.56,9389700
2010-01-22,44.95,44.95,40.7,40.74,31.99,10991300
2010-01-25,41.41,42.15,41.09,41.49,32.58,5392000
2010-01-26,41.48,41.7,40.63,40.86,32.08,4574200
2010-01-27,40.8,41.14,39.96,40.64,31.91,3780100
2010-01-28,40.83,40.83,39.04,39.48,31.0,4555400
2010-01-29,39.8,39.9,37.63,37.99,29.83,6185300
2010-02-01,38.28,39.78,38.19,39.7,31.17,4708300
2010-02-02,39.88,40.61,39.25,40.47,31.78,3502700
2010-02-03,40.23,40.92,40.06,40.49,31.79,2556300
2010-02-04,39.88,39.88,38.43,38.72,30.4,3643200
2010-02-05,38.7,39.61,38.16,39.43,30.96,5567800
2010-02-08,39.79,40.37,39.48,39.65,31.13,3680100
2010-02-09,40.41,40.86,39.81,40.38,31.7,4488400
2010-02-10,40.11,40.63,39.5,40.07,31.46,2744000
2010-02-11,40.16,40.53,39.58,40.29,31.63,3658200
2010-02-12,39.99,40.18,38.85,39.85,31.29,4832000
2010-02-16,40.32,42.6,40.2,42.58,33.43,7252800
2010-02-17,42.87,42.94,41.92,42.64,33.48,4111700
2010-02-18,42.44,43.46,41.95,43.4,34.08,3952000
2010-02-19,43.34,43.79,42.95,43.15,33.88,3839800
2010-02-22,43.27,43.48,42.28,42.37,33.27,4200800
2010-02-23,42.39,42.39,40.49,40.84,32.07,5144900
2010-02-24,41.06,41.46,38.83,38.99,30.61,11328200
