Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,25.23,25.23,24.9,24.92,17.04,1387000
2010-01-04,25.02,25.08,24.76,24.86,17.01,1541800
2010-01-05,24.86,25.0,24.49,24.54,16.79,1626000
2010-01-06,24.56,24.9,24.5,24.79,16.96,1934400
2010-01-07,24.81,24.81,24.56,24.74,16.92,1755800
2010-01-08,24.67,24.94,24.58,24.89,17.02,1292400
2010-01-11,24.98,25.31,24.98,25.25,17.27,1476200
2010-01-12,25.17,25.4,25.07,25.15,17.2,1646000
2010-01-13,25.18,25.39,25.08,25.32,17.32,1189400
2010-01-14,25.32,25.32,25.12,25.26,17.28,939000
2010-01-15,25.11,25.33,24.89,25.14,17.2,1651400
2010-01-19,25.08,25.36,25.0,25.35,17.34,1156000
2010-01-20,25.23,25.26,25.0,25.26,17.28,1406800
2010-01-21,25.2,25.44,24.94,25.08,17.16,2048200
2010-01-22,25.03,25.05,24.49,24.51,16.76,2242600
2010-01-25,24.64,24.76,24.4,24.66,16.87,1374800
2010-01-26,24.55,24.67,24.42,24.5,16.76,1560600
2010-01-27,24.5,24.64,24.1,24.48,16.74,1850000
2010-01-28,24.57,24.59,24.26,24.45,16.72,1961800
2010-01-29,24.47,24.63,24.28,24.47,16.74,2101600
2010-02-01,24.56,24.62,24.25,24.57,16.8,1657200
2010-02-02,24.52,24.81,24.36,24.8,16.96,2154000
2010-02-03,24.71,24.8,24.46,24.53,16.78,1550600
2010-02-04,24.33,24.43,24.09,24.09,16.48,3075200
2010-02-05,24.07,24.39,23.9,24.33,16.64,3570000
2010-02-08,24.36,24.41,24.06,24.06,16.45,1394200
2010-02-09,24.27,24.33,24.0,24.05,16.45,2664800
2010-02-10,23.58,23.93,23.44,23.87,16.46,3099800
2010-02-11,23.83,24.16,23.54,24.14,16.65,2294800
2010-02-12,24.03,24.03,23.72,23.93,16.51,2428000
2010-02-16,24.08,24.41,24.07,24.4,16.83,1408800
2010-02-17,24.5,24.5,24.24,24.33,16.78,1129800
2010-02-18,24.33,24.55,24.26,24.45,16.86,1046400
2010-02-19,24.42,24.99,24.38,24.9,17.17,1490000
2010-02-22,25.01,25.01,24.76,24.83,17.13,773600
2010-02-23,24.81,24.92,24.52,24.55,16.93,2540600
2010-02-24,24.63,24.67,24.3,24.44,16.86,2087400
2010-02-25,24.1,24.35,24.0,24.33,16.78,1461400
2010-02-26,24.41,24.44,24.14,24.22,16.7,1777000
2010-03-01,24.35,24.68,24.32,24.66,17.01,1017400
2010-03-02,24.84,24.97,24.77,24.97,17.22,1794600
2010-03-03,25.0,25.13,24.86,24.92,17.19,1023200
2010-03-04,24.93,24.98,24.74,24.86,17.15,934400
2010-03-05,24.89,25.01,24.85,24.97,17.22,1095200
2010-03-08,24.91,25.05,24.81,25.03,17.26,915200
2010-03-09,25.0,25.13,24.86,24.93,17.19,1007000
2010-03-10,24.91,24.98,24.73,24.94,17.2,1749400
2010-03-11,24.91,25.08,24.78,25.07,17.29,688000
2010-03-12,25.16,25.16,24.92,25.0,17.24,1245000
2010-03-15,25.0,25.1,24.9,25.1,17.32,807400
2010-03-16,25.07,25.4,25.01,25.38,17.5,1041800
2010-03-17,25.45,25.64,25.33,25.59,17.65,1725200
2010-03-18,25.53,25.66,25.38,25.51,17.6,1677600
2010-03-19,25.28,25.7,25.11,25.28,17.44,2707400
2010-03-22,25.19,25.19,24.9,25.11,17.32,1381800
2010-03-23,25.08,25.22,24.99,25.17,17.36,1130000
2010-03-24,25.18,25.23,24.89,24.94,17.21,1001400
2010-03-25,24.99,25.08,24.77,24.8,17.11,1837600
2010-03-26,24.87,25.05,24.78,24.79,17.1,1371800
2010-03-29,24.92,24.94,24.77,24.85,17.14,2601200
2010-03-30,24.85,24.98,24.72,24.73,17.06,2359600
2010-03-31,24.72,24.77,24.56,24.7,17.04,1962400
2010-04-01,24.78,24.97,24.7,24.95,17.21,2614400
2010-04-05,25.02,25.21,24.86,25.21,17.39,1106400
2010-04-06,25.16,25.49,25.08,25.45,17.56,1589800
2010-04-07,25.4,25.42,25.16,25.25,17.42,1063600
2010-04-08,25.14,25.14,24.97,25.09,17.31,995200
2010-04-09,25.07,25.25,24.83,25.24,17.41,791400
2010-04-12,25.27,25.43,25.13,25.42,17.53,991000
2010-04-13,25.38,25.5,25.24,25.48,17.57,1664200
2010-04-14,25.49,25.7,25.42,25.68,17.72,2063800
2010-04-15,25.7,25.7,25.39,25.47,17.57,1892600
2010-04-16,25.42,25.56,25.2,25.28,17.44,1617600
2010-04-19,25.18,25.43,25.16,25.39,17.51,1624400
2010-04-20,25.52,25.69,25.4,25.69,17.72,1086800
2010-04-21,25.65,25.85,25.58,25.83,17.82,1541000
2010-04-22,25.77,25.92,25.63,25.91,17.87,1036400
2010-04-23,25.85,25.99,25.72,25.99,17.93,953800
2010-04-26,25.94,26.0,25.86,25.92,17.88,1051400
2010-04-27,25.84,26.02,25.42,25.44,17.55,1258000
2010-04-28,25.5,25.57,25.31,25.5,17.59,1316200
2010-04-29,25.62,26.12,25.55,26.09,18.0,1948600
2010-04-30,26.16,26.6,26.09,26.25,18.11,2006200
2010-05-03,26.45,26.82,26.25,26.72,18.43,1881800
2010-05-04,26.9,26.9,26.08,26.49,18.27,1871200
2010-05-05,26.43,26.64,26.11,26.3,18.14,1750800
2010-05-06,26.17,26.17,23.84,25.24,17.41,4383400
2010-05-07,25.3,25.52,24.77,25.09,17.31,4555400
