Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,26.74,27.24,26.69,26.99,19.98,28942400
2010-01-04,27.02,27.48,26.82,27.32,20.23,39335700
2010-01-05,27.27,28.24,27.24,28.07,20.78,55416000
2010-01-06,28.03,28.33,27.79,28.11,20.81,33237000
2010-01-07,28.12,29.43,27.92,29.13,21.57,61649000
2010-01-08,28.9,29.35,28.6,28.86,21.37,35508700
2010-01-11,29.09,29.17,28.58,28.8,21.32,24387800
2010-01-12,28.47,28.55,27.5,28.08,20.79,39795000
2010-01-13,27.99,28.76,27.8,28.58,21.16,36715300
2010-01-14,28.5,29.21,28.5,28.99,21.46,31540700
2010-01-15,28.82,28.9,27.88,28.08,20.79,47255900
2010-01-19,27.93,28.47,27.61,28.28,20.94,40815800
2010-01-20,28.02,28.65,27.7,27.82,20.6,75712300
2010-01-21,27.98,28.5,27.18,28.0,20.73,90151500
2010-01-22,27.97,28.41,27.17,27.26,20.18,69506900
2010-01-25,27.45,28.05,27.19,27.66,20.48,48319700
2010-01-26,27.45,28.35,26.92,26.99,19.98,66590800
2010-01-27,26.9,28.24,26.88,28.2,20.88,63074200
2010-01-28,28.28,28.77,27.72,28.45,21.06,62109300
2010-01-29,28.44,29.17,28.38,28.43,21.05,88783700
2010-02-01,28.6,29.09,28.51,28.93,21.42,45240000
2010-02-02,28.96,29.13,28.51,28.79,21.31,50306600
2010-02-03,28.57,28.78,27.98,28.14,20.87,44597600
2010-02-04,27.95,28.08,27.0,27.06,20.07,68235300
2010-02-05,27.3,27.71,26.62,27.42,20.34,68479000
2010-02-08,27.23,27.41,26.4,26.43,19.6,43425800
2010-02-09,26.89,27.14,26.37,26.71,19.81,46845300
2010-02-10,26.61,27.56,26.55,27.18,20.16,42104800
2010-02-11,27.15,27.24,26.71,27.08,20.08,35821600
2010-02-12,26.79,27.04,26.47,26.88,19.93,45333600
2010-02-16,27.19,27.39,26.94,27.39,20.31,36097500
2010-02-17,27.59,27.64,27.09,27.33,20.27,50109700
2010-02-18,27.3,27.57,27.16,27.34,20.28,30287900
2010-02-19,27.08,27.48,27.07,27.37,20.3,32174300
2010-02-22,27.48,28.15,27.38,28.01,20.77,41852200
2010-02-23,27.95,28.0,27.18,27.29,20.24,38755100
2010-02-24,27.45,27.77,27.18,27.66,20.51,35782300
2010-02-25,27.17,27.48,27.04,27.44,20.35,34185600
2010-02-26,27.49,27.5,26.93,27.34,20.28,50819700
2010-03-01,27.45,27.59,27.15,27.35,20.28,34311000
2010-03-02,27.4,28.21,27.37,27.87,20.67,45592200
2010-03-03,27.95,28.45,27.94,28.2,20.91,35902200
2010-03-04,28.35,28.57,28.21,28.43,21.08,30891500
2010-03-05,28.63,29.27,28.55,29.15,21.62,40554100
2010-03-08,29.13,29.35,28.82,28.89,21.43,31311900
2010-03-09,28.78,29.22,28.47,28.98,21.49,31292400
2010-03-10,29.13,29.83,29.1,29.57,21.93,42568300
2010-03-11,29.53,29.76,29.24,29.76,22.07,32127400
2010-03-12,29.83,29.94,29.49,29.63,21.97,36671500
2010-03-15,29.48,29.89,29.26,29.89,22.17,26911900
2010-03-16,29.93,30.32,29.74,30.28,22.46,40201400
2010-03-17,30.41,30.67,30.26,30.55,22.66,33176200
2010-03-18,30.47,30.56,29.85,30.29,22.46,33984900
2010-03-19,30.38,30.54,29.96,30.38,22.53,53781800
2010-03-22,30.09,30.59,30.05,30.41,22.55,28594000
2010-03-23,30.47,31.12,30.38,31.08,23.05,39320200
2010-03-24,30.84,31.28,30.67,30.86,22.89,36135600
2010-03-25,31.03,31.99,30.9,31.06,23.03,47424300
2010-03-26,31.21,31.77,31.0,31.22,23.15,36079700
2010-03-29,31.35,31.45,30.9,31.1,23.06,25280200
2010-03-30,31.1,31.3,30.8,30.84,22.87,26937900
2010-03-31,30.58,31.16,30.58,31.12,23.08,28384000
2010-04-01,31.4,31.6,31.13,31.37,23.26,33041400
2010-04-05,31.49,31.75,31.26,31.51,23.37,30821900
2010-04-06,31.36,32.39,31.35,32.28,23.94,39500100
2010-04-07,32.28,32.49,31.77,31.99,23.72,34514700
2010-04-08,31.79,32.41,31.56,32.23,23.9,32203600
2010-04-09,32.4,32.65,31.92,32.3,23.95,27106200
2010-04-12,32.4,32.7,32.27,32.42,24.04,25108400
2010-04-13,32.16,32.24,31.73,32.15,23.84,38042000
2010-04-14,32.46,33.42,32.35,33.28,24.68,54445900
2010-04-15,33.23,33.89,33.12,33.51,24.85,47891800
2010-04-16,33.21,33.25,31.66,32.56,24.15,89843800
2010-04-19,32.62,33.26,32.13,33.02,24.49,54879400
2010-04-20,33.19,33.89,33.0,33.69,24.99,46816100
2010-04-21,32.59,34.25,32.51,33.01,24.48,96214600
2010-04-22,32.7,33.72,32.56,33.58,24.9,49765400
2010-04-23,33.7,33.79,33.2,33.48,24.83,30999200
2010-04-26,33.36,33.45,32.59,32.72,24.27,36186000
2010-04-27,32.2,33.07,31.65,31.72,23.52,52674300
2010-04-28,32.07,32.65,31.97,32.45,24.07,39027300
2010-04-29,32.79,33.4,32.73,33.23,24.64,31021400
2010-04-30,33.25,33.82,32.98,33.11,24.56,53446100
2010-05-03,33.22,34.09,33.21,33.88,25.13,37442300
2010-05-04,33.41,33.97,32.72,32.94,24.43,53828300
2010-05-05,32.63,33.18,31.72,32.66,24.26,45183200
2010-05-06,32.44,32.75,29.31,31.18,23.16,78743100
2010-05-07,30.88,31.75,30.2,30.82,22.89,66958000
2010-05-10,32.25,33.08,32.16,32.97,24.49,67195800
2010-05-11,32.51,33.67,32.42,32.91,24.44,47883200
2010-05-12,33.18,33.81,33.06,33.66,25.0,39616100
2010-05-13,33.5,33.83,33.08,33.08,24.57,33791100
2010-05-14,32.76,32.88,31.76,32.04,23.8,57390600
2010-05-17,32.08,32.24,31.14,31.97,23.75,47043700
2010-05-18,32.28,32.35,30.35,30.59,22.72,56666700
2010-05-19,29.95,30.28,29.09,30.08,22.34,72538500
2010-05-20,29.44,30.0,28.65,28.69,21.31,78027500
2010-05-21,28.05,30.3,28.05,30.11,22.36,88191700
2010-05-24,29.57,29.75,28.53,28.71,21.32,64867000
2010-05-25,27.71,28.91,27.44,28.9,21.47,55196200
2010-05-26,29.23,29.34,27.7,28.04,20.83,62366800
2010-05-27,28.71,29.48,28.5,29.41,21.84,48871900
2010-05-28,29.47,29.5,28.54,28.69,21.31,40885500
2010-06-01,28.68,29.2,28.19,28.23,20.97,39475500
2010-06-02,28.56,29.2,28.32,29.18,21.67,32478900
2010-06-03,29.36,29.48,28.52,28.86,21.44,30888500
2010-06-04,28.28,28.45,27.65,27.78,20.63,50696800
2010-06-07,28.01,28.11,27.26,27.29,20.27,36969800
2010-06-08,27.46,27.81,26.66,27.76,20.62,47134900
2010-06-09,27.95,27.96,26.9,27.03,20.08,37988200
2010-06-10,27.52,28.24,27.4,28.13,20.89,41612900
2010-06-11,27.74,27.95,27.35,27.84,20.68,39468100
2010-06-14,27.8,27.97,27.31,27.4,20.35,45506200
2010-06-15,27.59,27.93,27.5,27.91,20.73,45128400
2010-06-16,27.75,28.25,27.67,28.12,20.89,28707100
2010-06-17,28.1,28.19,27.53,27.93,20.74,30739400
2010-06-18,28.04,28.23,27.74,28.07,20.85,39496700
2010-06-21,28.44,28.5,27.79,27.94,20.75,30005400
2010-06-22,28.03,28.33,27.43,27.46,20.4,33694800
2010-06-23,27.38,27.76,27.15,27.32,20.29,36030500
2010-06-24,27.05,27.1,26.28,26.86,19.95,66950600
2010-06-25,27.15,27.61,26.85,27.05,20.09,78977700
2010-06-28,27.24,27.34,26.82,27.03,20.08,31717000
2010-06-29,26.57,26.66,25.79,25.93,19.26,55568200
2010-06-30,26.05,26.45,25.52,25.6,19.01,37501000
2010-07-01,25.54,25.94,24.6,25.18,18.7,58947800
2010-07-02,25.4,25.68,24.76,24.88,18.48,32231100
2010-07-06,25.46,25.64,24.79,25.15,18.68,37248300
2010-07-07,25.28,26.73,25.14,26.66,19.8,48830500
2010-07-08,27.06,27.06,26.1,26.64,19.79,38228800
2010-07-09,26.5,27.04,26.4,27.0,20.05,24905000
2010-07-12,26.93,27.13,26.56,27.06,20.1,18761700
2010-07-13,27.37,28.08,27.32,27.94,20.75,31658500
2010-07-14,27.7,27.78,27.25,27.66,20.54,31305800
2010-07-15,27.85,28.16,27.02,27.81,20.66,48127100
2010-07-16,27.44,27.47,26.16,26.24,19.49,55456400
2010-07-19,26.27,26.4,25.62,26.02,19.33,34667100
2010-07-20,25.47,25.92,25.3,25.91,19.24,47672300
2010-07-21,27.53,27.6,25.97,26.06,19.36,70914600
2010-07-22,26.62,27.49,26.55,27.39,20.34,53000300
2010-07-23,27.33,27.55,27.0,27.42,20.37,25737000
2010-07-26,27.45,27.92,27.23,27.91,20.73,22724200
2010-07-27,28.41,28.77,28.24,28.39,21.09,38411500
2010-07-28,28.25,28.54,27.92,28.07,20.85,23935100
2010-07-29,28.32,28.49,27.48,27.69,20.57,30045500
2010-07-30,27.27,27.99,27.25,27.73,20.6,27490900
2010-08-02,28.29,28.58,27.95,28.57,21.22,28005100
2010-08-03,28.45,28.49,27.94,28.12,20.89,29544200
2010-08-04,28.17,28.25,27.7,27.93,20.78,28936700
2010-08-05,27.71,27.96,27.56,27.88,20.74,21881200
2010-08-06,27.49,27.77,27.24,27.75,20.65,38637900
2010-08-09,27.9,28.27,27.52,28.23,21.01,29199300
2010-08-10,27.94,28.07,27.51,27.77,20.66,29837400
2010-08-11,27.26,27.39,26.26,26.3,19.57,39624100
2010-08-12,26.0,26.39,25.87,26.0,19.35,31944800
2010-08-13,25.99,26.3,25.81,25.84,19.23,25494200
2010-08-16,25.67,25.91,25.52,25.68,19.11,24593600
2010-08-17,25.96,26.01,25.21,25.34,18.85,49481000
2010-08-18,25.3,25.67,25.09,25.38,18.88,38076300
2010-08-19,25.1,25.36,24.27,24.43,18.18,51516800
2010-08-20,24.43,24.71,24.27,24.6,18.3,40025600
2010-08-23,24.86,24.88,24.19,24.23,18.03,33766900
2010-08-24,23.96,24.05,23.54,23.64,17.59,55658300
2010-08-25,23.41,23.65,23.02,23.6,17.56,55554200
2010-08-26,23.73,24.1,23.4,23.49,17.48,41212900
2010-08-27,23.64,24.0,23.47,24.0,17.86,45099500
2010-08-30,23.93,23.98,23.23,23.25,17.3,37964800
2010-08-31,23.18,23.68,23.03,23.55,17.52,35713300
2010-09-01,23.91,24.75,23.76,24.66,18.35,53882000
2010-09-02,24.68,25.11,24.62,25.1,18.68,38196400
2010-09-03,25.75,26.13,25.59,25.84,19.23,42741400
2010-09-07,25.57,25.68,24.91,24.92,18.54,30986700
2010-09-08,25.03,25.4,25.03,25.22,18.77,22687800
2010-09-09,25.71,26.01,25.22,25.69,19.12,28728700
2010-09-10,25.83,25.97,25.67,25.75,19.16,19893500
2010-09-13,26.37,26.79,26.25,26.5,19.72,39588200
2010-09-14,26.3,26.33,25.89,26.06,19.39,29814000
2010-09-15,25.72,26.44,25.61,26.34,19.6,32614200
2010-09-16,26.16,26.28,25.9,26.06,19.39,28999400
2010-09-17,26.37,26.37,25.87,26.01,19.35,34400600
2010-09-20,26.09,26.65,25.92,26.56,19.76,30529000
2010-09-21,26.63,26.96,26.29,26.38,19.63,32217500
2010-09-22,26.37,26.48,25.72,25.81,19.2,32251200
2010-09-23,25.3,25.67,25.04,25.04,18.63,59315100
2010-09-24,25.46,25.73,25.33,25.59,19.04,46480600
2010-09-27,25.72,25.92,25.49,25.53,19.0,28381000
2010-09-28,25.58,25.87,25.11,25.35,18.86,38697900
2010-09-29,25.21,25.37,24.91,25.04,18.63,37676000
2010-09-30,25.24,25.63,25.02,25.12,18.69,37365700
2010-10-01,25.3,25.69,25.12,25.56,19.02,32117900
2010-10-04,25.51,25.79,25.22,25.38,18.88,25645400
2010-10-05,25.67,26.35,25.4,26.25,19.53,42788700
2010-10-06,26.22,26.49,26.13,26.3,19.57,31852900
2010-10-07,26.47,26.58,25.84,26.0,19.35,27293900
2010-10-08,26.19,26.25,25.72,25.95,19.31,29467900
2010-10-11,25.96,26.1,25.46,25.65,19.09,24637400
2010-10-12,25.44,26.04,25.3,25.98,19.33,37344700
2010-10-13,26.23,26.34,25.63,25.81,19.2,41846800
2010-10-14,25.45,25.49,24.2,24.72,18.39,117397100
2010-10-15,25.0,25.0,23.37,23.58,17.55,144985700
2010-10-18,23.69,24.88,23.64,24.87,18.51,66672500
2010-10-19,24.67,25.32,24.39,24.55,18.27,72213100
2010-10-20,24.27,25.97,24.17,25.6,19.05,101499400
2010-10-21,25.77,26.41,23.87,26.03,19.37,52489800
2010-10-22,26.03,26.25,25.75,26.11,19.43,26633200
2010-10-25,26.37,26.42,25.52,25.72,19.14,36779700
2010-10-26,25.6,25.99,25.48,25.91,19.28,30595600
2010-10-27,25.69,26.0,25.6,25.75,19.16,35352000
2010-10-28,25.84,25.96,25.61,25.94,19.3,23976400
2010-10-29,25.82,26.13,25.67,26.06,19.39,24018000
2010-11-01,26.03,26.1,25.6,25.93,19.29,24764600
2010-11-02,26.0,26.05,25.78,25.97,19.32,25101700
2010-11-03,25.74,26.5,25.69,26.46,19.73,32381400
2010-11-04,26.81,27.5,26.63,27.46,20.47,57381100
2010-11-05,27.56,29.36,27.55,29.22,21.78,79752600
2010-11-08,28.91,29.28,28.51,29.04,21.65,35734000
2010-11-09,29.04,29.11,28.04,28.13,20.97,37178800
2010-11-10,28.08,28.62,27.88,28.58,21.31,37250900
2010-11-11,28.36,28.57,27.98,28.19,21.02,23280400
2010-11-12,28.01,28.04,27.4,27.54,20.53,27040000
2010-11-15,27.62,28.21,27.57,27.65,20.61,23160300
2010-11-16,27.5,27.63,26.85,27.19,20.27,45295900
2010-11-17,27.18,27.43,26.76,26.86,20.02,31956700
2010-11-18,27.24,27.71,27.11,27.51,20.51,30765200
2010-11-19,27.43,27.55,27.09,27.49,20.49,24750900
2010-11-22,27.26,27.36,26.78,26.95,20.09,24825700
2010-11-23,26.64,26.95,26.53,26.8,19.98,30165900
2010-11-24,26.92,27.14,26.75,27.11,20.21,22038200
2010-11-26,26.92,27.15,26.65,26.65,19.87,9239700
2010-11-29,26.58,27.35,26.51,27.2,20.28,31181000
2010-11-30,26.88,27.43,26.85,27.21,20.29,33064700
2010-12-01,27.58,27.8,27.2,27.53,20.52,35338900
2010-12-02,27.63,28.78,27.59,28.78,21.46,43197400
2010-12-03,28.35,29.13,28.3,29.05,21.66,36853100
2010-12-06,28.86,29.1,28.73,28.74,21.43,27255700
2010-12-07,29.09,29.25,28.42,28.47,21.22,30166400
2010-12-08,28.55,29.37,28.5,29.37,21.9,31376300
2010-12-09,29.55,30.11,29.49,30.07,22.42,45744200
2010-12-10,30.32,30.56,30.16,30.27,22.57,40143400
2010-12-13,30.49,30.57,30.0,30.22,22.53,30423700
2010-12-14,30.13,30.34,29.66,29.82,22.23,26799300
2010-12-15,29.78,30.13,29.65,29.79,22.21,36800800
2010-12-16,29.84,30.36,29.7,30.02,22.38,34396900
2010-12-17,29.99,30.24,29.71,29.96,22.34,37736800
2010-12-20,30.02,30.28,29.85,30.1,22.44,22290400
2010-12-21,30.12,30.89,30.06,30.82,22.98,25481400
2010-12-22,30.88,31.61,30.86,31.31,23.34,29063200
2010-12-23,31.23,31.36,30.86,30.99,23.1,16954800
2010-12-27,30.91,31.34,30.78,31.21,23.27,13823700
2010-12-28,31.06,31.3,31.0,31.2,23.26,14863300
2010-12-29,31.23,31.28,30.98,31.02,23.13,12280700
2010-12-30,31.04,31.12,30.7,30.82,22.98,11675700
2010-12-31,30.72,31.03,30.66,30.99,23.1,12108400
2011-01-03,31.3,31.66,31.16,31.58,23.54,34397100
2011-01-04,31.65,31.94,31.49,31.65,23.6,30341100
2011-01-05,31.41,32.5,31.4,32.37,24.13,43245600
2011-01-06,32.15,32.47,32.12,32.15,23.97,32500000
2011-01-07,32.23,32.23,30.64,31.5,23.48,81572300
2011-01-10,31.17,31.45,30.97,31.2,23.26,30263400
2011-01-11,31.69,31.69,31.04,31.4,23.41,27230700
2011-01-12,31.73,32.15,31.62,32.01,23.86,29181000
2011-01-13,32.13,32.14,31.7,31.89,23.77,25139400
2011-01-14,31.82,32.81,31.82,32.75,24.42,34358900
2011-01-18,32.78,32.99,32.06,32.49,24.22,35506000
2011-01-19,32.06,32.77,31.65,31.81,23.71,51635900
2011-01-20,32.0,32.4,31.62,31.89,23.77,34435600
2011-01-21,32.27,32.71,32.05,32.51,24.24,35549000
2011-01-24,32.5,32.71,32.45,32.7,24.38,27472000
2011-01-25,32.52,32.71,31.99,32.7,24.38,28232300
2011-01-26,32.74,32.83,32.41,32.45,24.19,25866200
2011-01-27,32.21,32.55,32.07,32.5,24.23,23077200
2011-01-28,32.59,32.8,31.79,31.84,23.74,30345800
2011-01-31,31.98,32.5,31.73,32.42,24.17,23646400
2011-02-01,32.61,33.49,32.53,33.44,24.93,31359000
2011-02-02,33.15,33.27,32.68,32.72,24.43,24766100
2011-02-03,32.66,32.97,32.5,32.75,24.45,18950200
2011-02-04,32.71,32.89,32.37,32.76,24.46,18236900
2011-02-07,33.0,33.55,32.94,33.32,24.88,21356800
2011-02-08,33.29,34.25,33.2,34.1,25.46,39820700
2011-02-09,33.23,33.66,32.74,33.13,24.74,71834200
2011-02-10,33.07,33.43,32.75,33.0,24.64,31174900
2011-02-11,32.69,33.89,32.65,33.76,25.21,40581700
2011-02-14,33.63,34.06,33.59,33.87,25.29,17735100
2011-02-15,33.94,34.19,33.58,33.68,25.15,24395000
2011-02-16,33.71,33.78,32.48,33.3,24.86,86403000
2011-02-17,33.06,33.2,32.88,32.95,24.6,26621100
2011-02-18,33.01,33.07,32.34,32.64,24.37,43900100
2011-02-22,31.97,32.24,31.13,31.38,23.43,59143100
2011-02-23,31.42,31.68,30.8,31.5,23.52,38562600
2011-02-24,31.08,31.59,30.94,31.44,23.47,35604200
2011-02-25,32.34,32.74,32.25,32.4,24.19,46480100
2011-02-28,32.52,32.67,32.04,32.26,24.09,30717000
2011-03-01,32.34,32.46,31.6,31.65,23.63,34960100
2011-03-02,31.4,31.95,29.82,31.55,23.56,31044700
2011-03-03,31.95,32.53,31.93,32.41,24.2,31246600
2011-03-04,32.28,32.36,31.57,31.91,23.82,39680800
2011-03-07,32.19,32.37,31.61,31.72,23.68,23555800
2011-03-08,31.95,32.78,31.85,32.51,24.27,33966900
2011-03-09,32.48,32.97,32.23,32.8,24.49,24760800
2011-03-10,32.31,32.58,32.01,32.06,23.94,29742100
2011-03-11,31.96,32.48,31.94,32.38,24.18,22893500
2011-03-14,31.99,32.24,31.74,32.1,23.97,27021900
2011-03-15,31.45,32.31,31.2,32.27,24.09,42774600
2011-03-16,32.29,32.38,31.1,31.23,23.32,48008900
2011-03-17,31.62,31.7,30.63,31.36,23.41,50554400
2011-03-18,31.84,32.37,31.62,31.83,23.76,63760300
2011-03-21,32.24,32.25,31.46,31.88,23.8,32893300
2011-03-22,31.84,31.86,31.5,31.51,23.53,24174100
2011-03-23,31.44,31.52,30.92,31.45,23.48,25385700
2011-03-24,31.22,31.61,31.06,31.54,23.6,20992300
2011-03-25,31.5,32.22,31.39,31.94,23.9,23474900
2011-03-28,32.03,32.04,31.6,31.61,23.65,17533000
2011-03-29,31.61,31.61,31.26,31.59,23.64,21738700
2011-03-30,31.81,32.08,31.6,31.91,23.88,19395700
2011-03-31,31.61,31.8,31.53,31.71,23.73,21679800
2011-04-01,32.09,32.27,31.82,32.06,23.99,24788900
2011-04-04,31.98,32.13,31.52,31.8,23.8,24425900
2011-04-05,31.77,32.27,31.61,31.99,23.94,23086800
2011-04-06,32.12,32.52,31.87,32.4,24.24,34716200
2011-04-07,32.37,32.63,32.03,32.17,24.07,30236500
2011-04-08,32.5,32.53,31.56,31.62,23.66,25826800
2011-04-11,31.62,31.81,31.27,31.4,23.5,27145200
2011-04-12,31.16,31.69,31.02,31.4,23.5,22836800
2011-04-13,31.54,31.59,30.65,30.68,22.96,38994300
2011-04-14,30.55,30.59,30.1,30.15,22.56,39664600
2011-04-15,30.31,30.47,29.86,29.89,22.37,78436200
2011-04-18,29.5,29.88,29.35,29.52,22.09,44730100
2011-04-19,29.68,30.15,29.6,30.07,22.5,40190900
2011-04-20,29.27,29.43,28.21,28.83,21.57,143256200
2011-04-21,28.96,29.04,28.3,28.54,21.36,67291500
2011-04-25,28.5,28.8,28.46,28.56,21.37,32213300
2011-04-26,28.68,28.9,28.42,28.87,21.6,34600000
2011-04-27,28.94,29.38,28.85,29.27,21.9,31409900
2011-04-28,29.1,29.37,29.1,29.27,21.9,37234200
2011-04-29,29.21,29.42,28.99,29.11,21.78,27800000
2011-05-02,29.34,29.36,28.94,29.13,21.8,30771000
2011-05-03,28.89,29.53,28.85,29.51,22.08,31819500
