Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,70.6,70.6,69.77,69.88,54.73,261100
2010-01-04,70.78,70.91,69.85,70.91,55.53,348000
2010-01-05,70.6,71.58,70.2,70.75,55.41,339500
2010-01-06,70.86,72.0,70.28,71.89,56.3,585000
2010-01-07,72.13,72.58,71.31,71.68,56.14,328600
2010-01-08,71.47,71.79,71.31,71.6,56.07,279300
2010-01-11,71.71,72.58,71.44,72.32,56.63,254200
2010-01-12,71.71,72.95,71.44,72.5,56.78,417000
2010-01-13,72.5,73.03,72.24,72.66,56.9,193300
2010-01-14,72.42,73.09,72.26,72.5,56.78,272400
2010-01-15,72.32,72.79,71.55,71.66,56.12,226700
2010-01-19,71.47,72.77,71.36,72.48,56.76,118300
2010-01-20,72.34,73.64,72.26,73.3,57.4,294900
2010-01-21,73.64,73.88,72.58,72.72,56.95,183400
2010-01-22,71.89,72.37,71.42,71.44,55.95,344200
2010-01-25,71.81,72.26,71.21,71.58,56.05,672700
2010-01-26,71.23,71.39,70.28,70.89,55.51,608000
2010-01-27,70.62,70.86,69.19,70.52,55.22,502600
2010-01-28,70.62,70.73,69.32,69.35,54.31,313400
2010-01-29,69.38,75.31,69.06,69.48,54.41,354200
2010-02-01,69.75,70.23,69.62,69.93,54.77,294300
2010-02-02,69.72,71.81,69.72,71.42,55.93,564600
2010-02-03,71.31,73.03,71.13,72.64,56.88,485900
2010-02-04,71.92,75.44,71.76,74.78,58.56,732600
2010-02-05,74.46,74.97,73.93,74.46,58.31,819100
2010-02-08,74.57,74.65,73.59,73.59,57.63,368000
2010-02-09,73.91,74.07,73.46,73.83,57.82,253900
2010-02-10,74.12,74.23,73.4,73.67,57.69,150400
2010-02-11,73.32,73.91,73.25,73.72,57.73,250900
2010-02-12,73.27,73.72,73.27,73.51,57.57,173300
2010-02-16,73.54,73.96,73.09,73.85,57.84,243200
2010-02-17,74.41,75.23,74.25,74.83,58.6,337100
2010-02-18,74.44,74.89,74.25,74.65,58.46,154100
2010-02-19,74.44,76.4,74.44,76.03,59.54,341500
2010-02-22,76.32,76.74,76.21,76.72,60.08,215200
2010-02-23,76.5,79.21,76.4,77.51,60.7,641500
2010-02-24,77.4,79.02,77.3,77.85,60.97,389500
2010-02-25,77.19,78.28,77.06,77.93,61.03,470500
2010-02-26,78.07,78.91,77.93,78.89,61.78,354200
2010-03-01,78.86,80.16,78.7,79.92,62.59,345300
2010-03-02,80.19,81.09,79.39,80.32,62.9,287800
2010-03-03,80.72,81.32,79.84,79.97,62.63,323900
2010-03-04,80.16,80.69,79.76,80.69,63.19,265700
2010-03-05,80.72,81.25,80.16,81.17,63.56,243800
2010-03-08,81.4,82.3,80.87,81.48,63.81,415700
2010-03-09,81.22,83.44,81.22,82.81,64.85,390300
2010-03-10,82.78,83.07,82.36,82.68,64.75,206900
