Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,16.36,16.52,16.29,16.43,13.42,1300800
2010-01-04,16.53,16.55,16.31,16.34,13.35,2851900
2010-01-05,16.31,16.31,16.18,16.28,13.3,1715700
2010-01-06,16.27,16.36,16.16,16.31,13.32,1798800
2010-01-07,16.27,16.41,16.13,16.38,13.38,1486500
2010-01-08,16.31,16.38,16.25,16.37,13.37,1043500
2010-01-11,16.39,16.41,16.2,16.4,13.39,859000
2010-01-12,16.29,16.5,16.29,16.47,13.45,1368700
2010-01-13,16.55,16.79,16.48,16.77,13.7,1594500
2010-01-14,16.7,16.77,16.51,16.63,13.59,1594000
2010-01-15,16.57,16.71,16.57,16.62,13.57,1667200
2010-01-19,16.62,16.73,16.39,16.53,13.5,2484700
2010-01-20,16.45,16.63,16.43,16.57,13.53,1389900
2010-01-21,16.62,16.73,16.49,16.67,13.62,2739100
2010-01-22,16.75,16.78,16.39,16.47,13.45,1789900
2010-01-25,16.61,16.64,16.39,16.53,13.5,908100
2010-01-26,16.45,16.67,16.41,16.47,13.45,859300
2010-01-27,16.43,16.6,16.26,16.47,13.45,1461400
2010-01-28,16.49,16.49,16.27,16.31,13.32,1098700
2010-01-29,16.31,16.39,16.22,16.22,13.25,2099200
2010-02-01,16.31,16.36,16.17,16.31,13.32,1480900
2010-02-02,16.31,16.36,16.25,16.31,13.32,1626000
2010-02-03,16.25,16.26,16.12,16.14,13.18,1199200
2010-02-04,16.07,16.27,16.05,16.07,13.13,1682800
2010-02-05,16.04,16.27,15.93,16.12,13.17,1618000
2010-02-08,16.09,16.25,15.93,16.15,13.19,1442500
2010-02-09,16.34,16.83,16.28,16.61,13.57,2517300
2010-02-10,16.61,16.69,16.45,16.64,13.59,1322100
2010-02-11,16.59,16.74,16.55,16.69,13.63,1561800
2010-02-12,16.59,16.73,16.45,16.73,13.66,2340300
2010-02-16,16.77,16.85,16.59,16.81,13.73,1161400
2010-02-17,16.81,16.89,16.7,16.77,13.69,861000
2010-02-18,16.77,17.03,16.74,17.03,13.91,931200
2010-02-19,16.97,17.05,16.91,17.03,13.91,725700
2010-02-22,17.03,17.09,16.93,17.04,13.92,662800
2010-02-23,17.05,17.17,16.99,17.06,13.93,994200
2010-02-24,17.12,17.27,17.04,17.18,14.03,1219600
2010-02-25,17.04,17.29,16.95,17.27,14.11,1406200
2010-02-26,17.29,17.31,17.12,17.16,14.02,952200
2010-03-01,17.15,17.27,17.13,17.27,14.11,562800
2010-03-02,17.3,17.38,17.26,17.33,14.15,782200
2010-03-03,17.32,17.49,17.25,17.4,14.21,1133700
2010-03-04,17.39,17.48,17.35,17.4,14.21,816400
2010-03-05,17.5,17.61,17.35,17.61,14.38,1342900
2010-03-08,17.65,17.83,17.57,17.82,14.55,1159500
2010-03-09,17.49,17.65,17.47,17.5,14.29,1689000
2010-03-10,17.47,17.53,17.33,17.43,14.24,1202200
2010-03-11,17.39,17.55,17.35,17.51,14.3,1010200
2010-03-12,17.59,17.59,17.32,17.39,14.21,914500
2010-03-15,17.33,17.33,17.16,17.25,14.09,1123800
2010-03-16,17.27,17.27,17.05,17.19,14.04,1033600
