Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,19.94,19.96,19.59,19.6,17.64,117400
2010-01-04,19.78,19.86,19.66,19.74,17.76,232800
2010-01-05,19.76,19.76,19.38,19.49,17.54,245800
2010-01-06,19.43,19.52,19.21,19.3,17.37,272800
2010-01-07,19.29,19.39,19.08,19.35,17.42,130600
2010-01-08,19.23,19.44,19.23,19.35,17.42,146200
2010-01-11,19.45,19.45,19.15,19.26,17.34,282600
2010-01-12,19.18,19.28,19.11,19.19,17.28,203400
2010-01-13,19.21,19.34,19.02,19.24,17.32,341000
2010-01-14,19.17,19.32,19.09,19.26,17.33,280000
2010-01-15,19.17,19.25,18.78,19.08,17.25,295800
2010-01-19,19.18,19.48,19.14,19.41,17.54,217800
2010-01-20,19.31,19.42,19.02,19.23,17.38,225800
2010-01-21,19.27,19.27,18.8,18.86,17.05,223000
2010-01-22,18.85,18.94,18.56,18.58,16.79,129200
2010-01-25,18.66,18.66,18.28,18.35,16.58,174400
2010-01-26,18.3,18.38,18.16,18.17,16.42,198400
2010-01-27,18.03,18.3,18.0,18.25,16.5,317800
2010-01-28,18.28,18.28,17.87,17.98,16.25,282400
2010-01-29,18.01,18.23,18.0,18.17,16.42,220800
2010-02-01,18.19,18.19,17.92,18.11,16.37,164000
2010-02-02,18.09,18.41,18.0,18.34,16.58,215400
2010-02-03,18.26,18.32,18.05,18.21,16.46,198400
2010-02-04,18.12,18.12,17.72,17.75,16.04,221200
2010-02-05,17.77,17.97,17.53,17.95,16.22,362600
2010-02-08,17.92,17.92,17.73,17.75,16.05,345800
2010-02-09,17.97,18.12,17.72,18.07,16.33,370600
2010-02-10,17.97,17.98,17.67,17.89,16.17,166200
2010-02-11,17.79,18.17,17.61,18.16,16.41,221200
2010-02-12,18.0,18.25,17.96,18.25,16.49,260600
2010-02-16,18.34,18.4,18.02,18.4,16.62,117800
2010-02-17,18.41,18.49,18.34,18.49,16.71,166400
2010-02-18,18.5,19.59,18.5,19.5,17.63,534800
2010-02-19,19.5,19.5,19.01,19.11,17.27,363400
2010-02-22,19.23,19.28,18.99,19.01,17.18,264200
2010-02-23,19.08,19.31,19.04,19.25,17.39,496800
2010-02-24,19.25,19.46,19.17,19.33,17.47,199800
2010-02-25,19.14,19.58,19.13,19.57,17.69,304800
2010-02-26,19.64,19.75,19.45,19.48,17.6,383600
2010-03-01,19.59,20.13,19.54,20.07,18.14,596000
2010-03-02,20.04,20.35,19.97,20.27,18.32,482600
2010-03-03,20.36,20.41,20.23,20.24,18.29,204000
2010-03-04,20.22,20.25,20.04,20.25,18.3,128400
2010-03-05,20.32,20.46,20.19,20.43,18.47,194400
2010-03-08,20.37,20.49,20.25,20.28,18.33,109200
2010-03-09,20.18,20.4,20.15,20.36,18.41,139400
