Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,58.93,59.6,58.21,58.23,38.2,1090200
2010-01-04,61.24,64.15,60.92,63.96,41.96,4741400
2010-01-05,65.18,68.33,64.95,67.85,44.52,5644300
2010-01-06,67.07,68.16,66.4,66.96,43.93,2738800
2010-01-07,66.48,68.48,66.08,68.39,44.87,2388500
2010-01-08,67.69,68.39,67.13,67.9,44.55,1539800
2010-01-11,68.02,69.11,67.4,67.68,44.4,1909000
2010-01-12,67.47,68.88,66.78,67.98,44.6,3306500
2010-01-13,68.42,69.7,67.44,69.4,45.53,2959300
2010-01-14,69.02,72.38,69.02,72.11,47.31,4431900
2010-01-15,71.98,72.85,69.67,70.5,46.25,2742300
2010-01-19,70.2,71.55,70.08,71.32,46.79,1326000
2010-01-20,70.32,70.72,67.2,68.16,44.72,3639200
2010-01-21,68.16,68.98,65.25,65.37,42.89,2756800
2010-01-22,65.21,66.1,63.6,63.95,41.96,2227900
2010-01-25,65.0,65.51,62.75,63.59,41.72,2048000
2010-01-26,62.85,64.09,62.69,62.85,41.24,1623100
2010-01-27,62.75,63.21,60.82,62.76,41.18,2616200
2010-01-28,63.37,64.37,61.6,61.77,40.53,2331500
2010-01-29,62.6,64.08,61.66,61.88,40.6,2626500
2010-02-01,62.3,65.64,62.3,65.54,43.0,2510900
2010-02-02,65.12,65.64,63.55,64.84,42.54,1950000
2010-02-03,64.08,64.28,63.14,64.24,42.15,1976800
2010-02-04,63.42,63.76,60.75,60.84,39.92,2245400
2010-02-05,61.39,62.13,59.7,61.37,40.26,2634800
2010-02-08,61.65,62.76,60.03,60.76,39.86,1496200
2010-02-09,62.03,62.59,60.6,61.63,40.44,1838500
2010-02-10,61.5,62.39,60.85,61.4,40.28,1256000
2010-02-11,61.28,65.35,60.99,64.96,42.62,2880900
2010-02-12,63.74,63.88,62.24,63.04,41.36,3141400
2010-02-16,63.98,65.12,63.78,64.91,42.59,1977000
2010-02-17,65.48,65.75,63.54,64.41,42.26,1679100
2010-02-18,63.29,63.33,61.46,62.01,40.68,3167400
2010-02-19,61.66,63.13,61.35,62.25,40.84,2159100
2010-02-22,62.61,63.56,62.52,63.02,41.35,1679400
2010-02-23,63.1,63.87,62.24,63.68,41.78,3269700
2010-02-24,63.91,64.6,62.76,63.35,41.56,3057100
2010-02-25,62.39,63.01,61.54,62.8,41.2,3694500
2010-02-26,62.49,64.5,61.18,63.57,41.71,3955800
2010-03-01,64.52,66.8,64.03,66.22,43.45,3104700
2010-03-02,67.0,67.25,66.27,66.87,43.87,2190100
2010-03-03,66.98,67.55,66.16,66.37,43.54,1960500
2010-03-04,66.57,66.77,65.29,65.89,43.23,1430300
2010-03-05,66.55,68.06,66.33,67.74,44.44,1815000
2010-03-08,68.08,69.94,67.56,68.99,45.26,2215700
2010-03-09,68.7,71.47,68.35,69.77,45.78,3054100
2010-03-10,69.93,71.89,69.06,70.96,46.56,2586700
2010-03-11,70.28,71.23,69.81,71.19,46.71,1938600
2010-03-12,71.79,72.44,70.7,71.47,46.89,1888700
2010-03-15,70.42,71.19,69.29,70.47,46.23,2047000
2010-03-16,70.96,73.8,70.28,73.63,48.31,3435000
2010-03-17,74.15,75.33,72.47,72.81,47.77,3254200
2010-03-18,72.52,72.78,71.71,72.01,47.25,1713200
2010-03-19,72.73,72.8,71.39,71.75,47.07,2490000
2010-03-22,70.9,76.89,70.26,76.54,50.22,4878700
2010-03-23,76.91,77.41,74.69,76.33,50.08,3299600
2010-03-24,75.85,77.25,75.3,75.81,49.74,3633000
2010-03-25,76.31,77.19,74.3,74.41,48.82,3156500
2010-03-26,75.02,77.95,74.81,76.63,50.28,3085700
2010-03-29,77.15,77.63,75.86,76.85,50.42,2360800
2010-03-30,76.87,77.93,76.11,77.25,50.68,2786400
2010-03-31,76.52,76.94,75.39,75.83,49.75,2959100
2010-04-01,76.21,77.84,75.25,77.4,50.78,3374300
2010-04-05,77.8,82.35,77.79,82.28,53.98,3756800
2010-04-06,82.08,83.2,81.32,81.74,53.63,3300000
2010-04-07,81.27,83.15,80.68,81.66,53.58,2535700
2010-04-08,81.35,86.91,80.86,86.23,56.57,5253800
2010-04-09,86.67,87.41,84.55,87.17,57.19,3797000
2010-04-12,87.3,88.35,86.53,86.9,57.01,2865700
2010-04-13,87.05,88.68,86.59,88.04,57.76,2695300
2010-04-14,88.36,88.97,85.54,86.41,56.69,4438400
2010-04-15,85.48,87.42,84.81,86.01,56.43,3168300
2010-04-16,85.84,86.58,82.9,83.82,54.99,3162900
2010-04-19,83.5,85.5,80.8,82.91,54.4,3611400
2010-04-20,85.5,86.89,84.23,86.57,56.8,3399600
2010-04-21,87.11,87.19,84.26,85.93,56.38,2585300
2010-04-22,84.74,90.08,84.2,89.92,59.0,3898700
2010-04-23,89.81,92.64,89.0,89.5,58.72,3740700
2010-04-26,90.82,92.33,89.64,92.12,60.44,3659500
2010-04-27,91.63,91.82,87.89,88.4,58.0,3280400
2010-04-28,90.47,90.75,87.26,88.77,58.24,2232300
2010-04-29,89.92,93.48,89.63,93.15,61.12,3553200
2010-04-30,91.49,93.99,87.87,88.24,57.89,4283600
2010-05-03,89.35,92.0,88.0,91.88,60.28,3624600
2010-05-04,90.41,90.47,86.57,87.67,57.52,3986100
2010-05-05,85.98,88.97,83.8,85.57,56.14,3776900
2010-05-06,85.01,86.67,71.0,80.55,52.85,6139400
2010-05-07,82.46,83.47,75.9,76.98,50.51,7202800
2010-05-10,82.64,83.62,81.6,82.86,54.54,3115300
2010-05-11,81.22,86.11,80.71,84.28,55.48,3403800
2010-05-12,85.49,86.21,84.75,85.78,56.46,2110100
2010-05-13,85.43,87.84,84.53,84.72,55.77,1989700
2010-05-14,83.44,83.86,81.12,82.21,54.11,2191100
2010-05-17,81.75,83.2,78.65,81.36,53.55,2979200
2010-05-18,83.15,85.75,80.32,80.77,53.17,3681300
2010-05-19,79.82,82.82,78.17,80.41,52.93,3265600
2010-05-20,77.54,78.77,74.0,74.8,49.24,4921100
2010-05-21,73.08,79.18,72.53,78.68,51.79,4073500
2010-05-24,79.47,80.73,76.49,76.7,50.49,2405700
2010-05-25,73.72,79.97,72.78,79.57,52.38,4174900
2010-05-26,80.95,81.89,78.01,78.58,51.72,3925300
2010-05-27,81.28,84.62,80.38,84.49,55.61,3221400
2010-05-28,84.22,85.99,81.88,83.88,55.21,2879200
2010-06-01,82.58,84.88,81.41,81.53,53.67,2540900
2010-06-02,82.58,83.22,81.0,83.19,54.76,2404500
2010-06-03,83.52,85.0,82.37,84.16,55.4,1999000
2010-06-04,81.81,84.1,79.0,79.81,52.53,3096600
2010-06-07,80.65,81.0,75.37,75.6,49.76,2586600
2010-06-08,76.76,78.25,74.57,77.96,51.32,3709000
2010-06-09,78.9,80.55,76.45,77.14,50.78,4119800
2010-06-10,78.84,81.42,78.52,81.34,53.54,3020300
2010-06-11,80.06,82.85,79.66,82.83,54.52,1837300
2010-06-14,83.82,85.44,82.2,82.57,54.35,2948300
2010-06-15,83.1,85.23,82.6,84.9,55.88,2834400
2010-06-16,84.03,86.85,84.03,85.55,56.31,2592500
2010-06-17,86.0,86.52,84.2,85.55,56.31,1975700
2010-06-18,85.53,86.3,84.55,85.03,55.97,2148100
2010-06-21,86.97,88.5,86.05,86.86,57.17,2912500
2010-06-22,87.43,88.0,84.33,84.45,55.59,2168600
2010-06-23,84.85,86.57,83.63,85.77,56.46,1827100
2010-06-24,86.74,88.42,85.82,86.03,56.63,3908500
2010-06-25,86.31,89.13,85.42,89.04,58.61,4954400
2010-06-28,89.1,89.64,85.0,85.1,56.02,2803900
2010-06-29,82.74,83.0,78.14,78.55,51.7,5325300
2010-06-30,79.37,80.93,75.83,76.27,50.2,3424700
2010-07-01,77.0,77.84,73.29,76.13,50.11,3886500
2010-07-02,76.94,76.96,73.12,74.79,49.23,2525000
2010-07-06,76.2,77.48,74.03,74.96,49.34,2301300
2010-07-07,75.88,78.7,75.17,78.5,51.67,2754300
2010-07-08,79.34,80.1,76.91,78.85,51.9,2045100
2010-07-09,78.95,80.43,78.7,79.6,52.4,2636400
2010-07-12,79.32,80.0,76.6,77.81,51.22,2251600
