Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,25.31,25.49,25.13,25.14,20.26,1790200
2010-01-04,25.25,25.36,25.2,25.23,20.33,2962200
2010-01-05,25.25,25.28,25.03,25.14,20.26,3298700
2010-01-06,25.13,25.28,24.92,24.96,20.11,4178900
2010-01-07,24.85,25.03,24.8,24.95,20.11,2452400
2010-01-08,24.95,25.03,24.8,24.96,20.11,3772300
2010-01-11,25.08,25.56,24.95,25.39,20.46,5790100
2010-01-12,25.53,25.92,25.39,25.87,20.85,6634500
2010-01-13,25.76,25.95,25.54,25.8,20.91,5638000
2010-01-14,25.82,26.11,25.66,26.08,21.14,4147900
2010-01-15,26.07,26.11,25.53,25.64,20.79,6315900
2010-01-19,25.63,25.73,25.51,25.63,20.77,4951200
2010-01-20,25.44,25.59,25.15,25.27,20.48,4666600
2010-01-21,25.33,25.46,25.02,25.14,20.38,5409500
2010-01-22,24.94,25.16,24.63,24.65,19.98,5496200
2010-01-25,24.8,24.87,24.63,24.64,19.98,5121200
2010-01-26,24.51,24.82,24.48,24.68,20.0,3479800
2010-01-27,24.69,25.09,24.59,25.03,20.28,5000000
2010-01-28,25.15,25.32,24.66,24.69,20.01,5245000
2010-01-29,24.82,25.04,24.58,24.59,19.93,4092300
2010-02-01,24.77,25.49,24.72,25.46,20.64,5443100
2010-02-02,25.46,25.83,25.3,25.75,20.87,4649500
2010-02-03,25.54,25.59,25.14,25.41,20.59,5113800
2010-02-04,25.08,25.3,23.96,24.01,19.46,13879100
2010-02-05,24.08,24.18,23.54,23.71,19.22,10415900
2010-02-08,23.82,23.88,23.47,23.52,19.07,6890300
2010-02-09,23.65,23.87,23.36,23.77,19.27,10736500
2010-02-10,23.72,23.95,23.68,23.84,19.32,5846600
2010-02-11,23.82,24.03,23.67,24.0,19.46,5190700
2010-02-12,23.75,24.1,23.63,23.98,19.44,8109800
2010-02-16,24.01,24.19,23.98,24.16,19.58,5279600
2010-02-17,24.24,24.35,24.12,24.2,19.61,3859000
2010-02-18,24.21,24.35,24.12,24.21,19.62,4080200
2010-02-19,24.1,24.31,24.05,24.29,19.69,4105900
2010-02-22,24.3,24.33,24.08,24.21,19.63,4423500
2010-02-23,24.2,24.28,24.01,24.14,19.57,4232800
2010-02-24,24.25,24.31,24.05,24.23,19.64,3992400
2010-02-25,24.0,24.26,23.91,24.23,19.64,7090600
2010-02-26,24.25,24.34,24.15,24.24,19.65,3504000
2010-03-01,24.28,24.44,24.16,24.36,19.74,3931900
2010-03-02,24.47,24.55,24.36,24.5,19.86,6773400
2010-03-03,24.56,24.64,24.34,24.42,19.8,3866800
2010-03-04,24.51,24.6,24.26,24.46,19.82,4118800
2010-03-05,24.54,25.1,24.42,25.07,20.32,7705300
2010-03-08,25.23,25.63,25.18,25.46,20.63,6864300
2010-03-09,26.02,26.59,25.92,26.31,21.33,14821800
2010-03-10,26.38,26.58,26.22,26.51,21.49,7121200
2010-03-11,26.44,26.87,26.39,26.82,21.74,5115200
2010-03-12,26.96,27.03,26.66,26.94,21.83,6842600
