Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,59.65,59.89,59.05,59.11,54.63,562300
2010-01-04,59.31,60.14,59.31,60.02,55.47,782400
2010-01-05,61.32,61.98,60.65,61.92,57.23,1718100
2010-01-06,62.06,62.12,61.47,61.9,57.21,1277300
2010-01-07,62.85,63.7,62.16,63.32,58.52,1683500
2010-01-08,61.81,62.84,61.1,61.99,57.29,2149500
2010-01-11,62.4,63.81,62.2,63.36,58.56,1426000
2010-01-12,63.2,63.56,61.73,62.14,57.43,1476200
2010-01-13,62.26,62.79,61.73,62.55,57.81,766400
2010-01-14,62.4,62.87,62.15,62.73,57.98,755300
2010-01-15,62.49,62.69,61.45,61.75,57.07,1431500
2010-01-19,61.94,63.74,61.9,63.71,58.88,1656600
2010-01-20,63.7,64.77,62.04,62.53,57.79,1544600
2010-01-21,62.53,63.0,61.19,61.35,56.7,1038000
2010-01-22,62.1,63.01,60.56,60.59,56.0,1666600
2010-01-25,61.22,62.15,60.53,60.84,56.23,1886100
2010-01-26,60.68,61.16,60.42,60.66,56.06,1369400
2010-01-27,60.47,60.47,58.89,59.88,55.34,1655100
2010-01-28,58.25,59.28,56.53,56.85,52.54,3494800
2010-01-29,56.94,56.97,55.35,56.32,52.05,3514500
2010-02-01,56.46,57.09,55.57,57.03,52.71,2072500
2010-02-02,57.11,58.52,56.95,58.3,53.88,2173500
2010-02-03,58.17,58.17,57.06,57.13,52.8,1272100
2010-02-04,56.59,56.88,55.57,55.62,51.4,1619000
2010-02-05,55.5,55.59,54.72,55.43,51.23,1726900
2010-02-08,55.21,56.31,55.21,55.42,51.22,1338200
2010-02-09,55.89,56.53,55.57,56.08,51.83,1519000
2010-02-10,56.01,57.22,55.9,56.68,52.38,2530800
2010-02-11,56.42,57.94,56.42,57.6,53.23,2396300
2010-02-12,57.05,57.43,56.56,57.24,52.9,1156600
2010-02-16,57.47,58.36,57.34,58.36,53.94,1000200
2010-02-17,58.42,58.54,58.02,58.34,53.92,984200
2010-02-18,58.12,58.49,57.99,58.4,53.97,767000
2010-02-19,58.29,58.62,57.65,58.1,53.7,1072400
2010-02-22,58.1,58.31,57.73,58.14,53.73,701500
2010-02-23,57.94,58.02,57.02,57.38,53.03,820800
2010-02-24,57.47,57.91,57.21,57.44,53.09,1071600
2010-02-25,57.07,57.32,56.48,57.24,52.9,1054200
2010-02-26,57.22,57.76,57.0,57.33,52.98,917500
2010-03-01,57.43,58.57,57.28,58.23,53.82,1132300
2010-03-02,58.44,59.32,58.23,59.06,54.58,964100
2010-03-03,59.0,59.24,58.72,59.04,54.57,869200
2010-03-04,59.15,59.15,58.5,58.78,54.33,1172500
2010-03-05,58.87,60.3,58.79,60.1,55.55,1614200
2010-03-08,60.13,60.52,59.51,59.55,55.04,1025400
2010-03-09,59.18,59.48,59.04,59.11,54.63,1202800
2010-03-10,58.94,59.07,58.5,58.86,54.4,1256400
2010-03-11,58.65,58.76,56.1,57.03,52.71,9028000
2010-03-12,57.44,59.3,57.44,59.24,54.75,4746800
2010-03-15,58.98,59.35,58.01,58.24,53.83,2643900
2010-03-16,58.45,58.65,57.39,57.81,53.43,1964500
2010-03-17,57.84,58.0,57.41,57.64,53.27,2172400
2010-03-18,57.63,57.79,57.33,57.44,53.09,1729100
2010-03-19,56.97,57.58,56.23,56.97,52.65,2438600
2010-03-22,57.01,58.27,56.82,58.2,53.79,3306600
2010-03-23,58.27,58.61,57.57,58.46,54.03,1468100
2010-03-24,58.19,58.63,57.96,58.05,53.65,993800
2010-03-25,58.35,58.35,57.46,57.48,53.12,1327800
2010-03-26,57.7,57.98,57.15,57.31,52.97,1223700
2010-03-29,57.39,58.68,57.34,58.61,54.17,1474700
2010-03-30,58.54,59.11,58.28,59.03,54.56,1754500
2010-03-31,58.9,59.43,58.71,59.2,54.71,1962400
2010-04-01,59.42,59.99,59.33,59.99,55.44,1508300
2010-04-05,60.09,60.26,59.35,59.5,54.99,1140700
2010-04-06,59.27,59.66,58.8,58.95,54.48,1856500
2010-04-07,58.83,59.45,58.5,59.08,54.6,1993700
2010-04-08,58.88,59.23,58.6,59.08,54.6,1357900
2010-04-09,58.99,59.56,58.8,59.55,55.04,1064300
2010-04-12,59.55,59.81,59.29,59.34,54.84,734800
2010-04-13,59.27,60.15,59.06,60.09,55.54,1317800
2010-04-14,60.02,61.12,59.73,61.03,56.4,2212300
2010-04-15,61.48,62.34,60.77,61.0,56.38,2644200
2010-04-16,60.85,61.11,59.8,60.48,55.9,1965200
2010-04-19,60.23,60.53,59.66,60.37,55.79,1178000
2010-04-20,60.66,61.29,60.66,61.18,56.54,1973100
2010-04-21,61.09,61.09,59.86,60.22,55.66,2520700
2010-04-22,59.29,60.64,58.5,60.62,56.03,2803000
2010-04-23,60.66,61.12,60.31,60.97,56.35,2322600
2010-04-26,62.16,62.5,61.02,61.14,56.51,3616400
2010-04-27,60.95,61.68,60.63,60.82,56.21,2433500
2010-04-28,61.13,61.93,60.73,61.45,56.79,2461200
2010-04-29,61.87,61.97,61.38,61.61,56.94,2769000
