Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,28.32,28.87,28.22,28.35,28.35,184800
2010-01-04,28.47,28.7,28.07,28.67,28.67,168800
2010-01-05,28.55,29.37,28.54,28.62,28.62,168800
2010-01-06,27.41,28.49,27.32,28.4,28.4,385300
2010-01-07,28.23,28.3,27.61,27.69,27.69,183600
2010-01-08,27.58,27.61,27.28,27.6,27.6,266500
2010-01-11,27.64,27.84,27.29,27.69,27.69,104100
2010-01-12,27.53,27.87,27.33,27.66,27.66,120400
2010-01-13,27.66,28.08,27.47,28.05,28.05,155900
2010-01-14,28.04,28.31,27.86,28.13,28.13,119000
2010-01-15,28.04,28.09,27.8,27.91,27.91,107200
2010-01-19,27.86,28.47,27.86,28.47,28.47,105600
2010-01-20,28.21,28.32,28.0,28.24,28.24,149700
2010-01-21,28.31,28.77,28.08,28.32,28.32,142200
2010-01-22,28.24,28.42,27.31,27.45,27.45,310000
2010-01-25,27.7,27.95,27.33,27.53,27.53,280500
2010-01-26,27.57,27.62,27.33,27.37,27.37,117800
2010-01-27,27.35,27.56,26.96,26.97,26.97,224100
2010-01-28,26.93,26.93,26.43,26.72,26.72,160500
2010-01-29,26.77,27.04,26.1,26.1,26.1,358100
2010-02-01,26.2,26.78,26.13,26.74,26.74,205000
2010-02-02,26.7,27.28,26.64,27.11,27.11,183800
2010-02-03,27.07,27.3,26.91,26.92,26.92,162000
2010-02-04,26.77,27.01,26.42,26.42,26.42,123400
2010-02-05,26.38,27.19,26.3,26.97,26.97,318800
2010-02-08,26.94,27.39,26.54,27.34,27.34,581300
2010-02-09,27.02,28.15,26.61,28.08,28.08,824200
2010-02-10,28.8,28.81,28.05,28.68,28.68,519300
2010-02-11,28.75,29.58,28.67,29.28,29.28,580900
2010-02-12,29.21,29.36,28.8,29.33,29.33,431300
2010-02-16,29.54,29.55,29.28,29.53,29.53,260200
2010-02-17,29.51,29.77,29.26,29.66,29.66,254500
2010-02-18,29.74,29.85,29.56,29.73,29.73,203300
2010-02-19,29.73,29.89,29.66,29.8,29.8,119100
2010-02-22,29.78,29.81,29.46,29.51,29.51,121900
2010-02-23,29.44,29.5,28.98,29.06,29.06,153400
2010-02-24,29.06,29.26,28.82,29.09,29.09,77100
2010-02-25,28.68,29.04,28.62,29.0,29.0,136900
2010-02-26,29.04,29.04,28.43,28.57,28.57,167800
2010-03-01,28.56,29.56,28.56,29.49,29.49,165400
2010-03-02,29.48,29.73,29.34,29.62,29.62,196100
2010-03-03,29.7,29.85,29.44,29.51,29.51,321100
2010-03-04,29.62,29.62,28.84,28.89,28.89,386400
2010-03-05,29.07,29.5,28.88,28.98,28.98,404000
2010-03-08,28.9,29.28,28.87,29.06,29.06,217400
2010-03-09,28.77,29.18,28.45,29.09,29.09,239700
2010-03-10,28.98,29.26,28.75,29.1,29.1,364200
2010-03-11,29.05,29.34,28.9,29.31,29.31,379300
2010-03-12,29.28,29.79,29.02,29.79,29.79,214300
2010-03-15,29.7,30.72,29.61,30.08,30.08,556800
2010-03-16,30.06,30.21,29.89,30.02,30.02,186900
2010-03-17,30.14,30.33,30.0,30.15,30.15,160400
2010-03-18,30.25,30.39,30.05,30.15,30.15,134200
2010-03-19,30.08,30.32,29.44,29.68,29.68,312700
2010-03-22,29.47,30.26,29.4,30.13,30.13,111700
2010-03-23,30.07,30.07,29.67,29.95,29.95,182600
2010-03-24,29.75,29.8,29.33,29.41,29.41,123100
2010-03-25,29.66,29.71,29.03,29.03,29.03,178800
2010-03-26,29.16,29.35,28.78,29.32,29.32,163700
2010-03-29,29.48,29.63,29.12,29.43,29.43,119100
2010-03-30,29.35,29.84,29.14,29.58,29.58,109400
2010-03-31,29.58,30.06,29.43,29.6,29.6,175400
2010-04-01,29.8,30.22,29.69,29.93,29.93,130200
2010-04-05,29.94,30.52,29.68,30.46,30.46,98300
2010-04-06,30.24,30.77,30.0,30.62,30.62,71000
2010-04-07,30.5,30.62,30.03,30.23,30.23,171000
2010-04-08,30.04,30.04,28.5,29.31,29.31,567000
2010-04-09,29.31,29.43,28.96,29.42,29.42,328900
2010-04-12,29.49,29.61,29.31,29.61,29.61,114200
2010-04-13,29.54,29.6,29.32,29.56,29.56,91700
2010-04-14,29.76,30.47,29.76,30.23,30.23,172100
2010-04-15,30.11,30.48,29.85,30.38,30.38,147400
2010-04-16,30.2,30.93,30.1,30.8,30.8,263000
2010-04-19,30.78,30.96,29.96,30.47,30.47,244600
2010-04-20,30.53,31.0,30.31,30.61,30.61,159700
2010-04-21,30.54,30.83,30.31,30.5,30.5,96000
2010-04-22,30.22,30.64,29.97,30.56,30.56,124500
2010-04-23,30.43,30.49,29.85,30.36,30.36,213700
2010-04-26,30.33,30.88,30.18,30.69,30.69,151000
2010-04-27,30.5,30.77,29.98,30.01,30.01,119600
2010-04-28,30.08,30.26,29.85,29.87,29.87,148200
2010-04-29,30.04,30.47,29.83,30.32,30.32,175700
2010-04-30,30.39,30.45,28.92,29.05,29.05,337000
2010-05-03,29.23,29.38,28.55,28.66,28.66,497800
2010-05-04,30.04,30.56,28.18,29.01,29.01,1263200
